Product code,Product label,China's imports from Russian Federation-Value in 2012,China's imports from Russian Federation-Value in 2013,China's imports from Russian Federation-Value in 2014,China's imports from Russian Federation-Value in 2015,China's imports from Russian Federation-Value in 2016,China's imports from Russian Federation-Value in 2017,China's imports from Russian Federation-Value in 2018,China's imports from Russian Federation-Value in 2019,China's imports from Russian Federation-Value in 2020,China's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ...",840,1425,79,64,315,12244,75884,76391,97871,163024,,690839,576194,623176,436067,427916,468156,653587,553986,356043,402378,,83533,67091,27301,30600,29813,169064,295148,243459,267559,336309
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",495465,485491,120270,15934,43401,38420,171886,133080,84133,161578,,9593,759,5464,46594,13969,18143,26322,15826,5303,75082,,3850889,2673852,1309098,838350,1202267,1770203,2418968,2050937,1849224,5262362
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,0,0,0,0,581,273,14,55526,157841,,40813,50150,30352,24865,20318,21272,25322,20602,116370,278772,,45783,24288,15296,28796,27417,245453,479255,533893,1362723,1295347
271600,Electrical energy,123124,186582,164418,175463,155825,139382,138727,137650,135556,157630,,1019251,992055,737474,719069,660025,640033,808899,911300,488773,1327372,,351481,395235,337405,336622,319770,310312,254554,186100,177663,220044
150710,"Crude soya-bean oil, whether or not degummed",680,0,0,17733,51156,90724,121928,99432,203237,156233,,128567,159685,269448,265722,304168,348387,339757,332716,410847,493599,,2273124,1268361,1090657,636371,434952,514189,409008,569415,706757,1041600
271311,"Petroleum coke, non-calcined",0,0,0,514,11442,36485,80724,90653,94706,151254,,654,2951,871,3194,9806,61341,136815,103408,100046,176017,,881621,1092626,620324,545019,337744,860374,1361469,1049139,949869,2152924
230120,"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...",82284,99541,85006,112210,102085,93296,97898,97388,119383,144195,,58063,72646,71656,84454,79753,73500,87737,86134,109916,145487,,1693453,1676179,1561893,1797562,1617134,2224034,2228402,1974690,1965033,2603297
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",45736,48067,22548,9943,19280,28051,31593,50969,82636,119747,,40575,42198,18734,16671,40788,211242,63324,91529,98702,119939,,205761,214404,164861,129808,140240,218016,282262,360082,902493,1171459
740319,"Copper, refined, unwrought (excluding copper in the form of billets, wire-bars, cathodes and ...",0,0,410,0,0,997,5271,240,52029,114923,,25463,11406,4017,2411,1244,4385,1554,2405,3397,15280,,13757,44030,34572,66397,72413,47303,169693,266908,642168,966295
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving grades)",101951,49519,54521,56017,53538,60485,125675,81034,78614,113866,,193511,150212,170204,141157,147956,159841,292192,190753,152871,291830,,372489,295934,315635,311255,344771,378500,644597,499830,533199,679635
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",68907,68501,75489,61395,65584,60161,99616,65617,95560,113831,,146753,159012,112072,140877,142912,139586,190796,112788,196595,318775,,309774,338069,365325,334826,358996,425557,705351,484276,600253,443182
440323,"Fir """"Abies spp."""" and spruce """"Picea spp."""" in the rough, of which the smallest cross-sectional ...""",0,0,0,0,0,308830,284813,167431,98272,111840,,0,0,0,0,0,331204,320166,194004,127072,130847,,0,0,0,0,0,641834,612452,1194710,1968099,2432304
440796,"Birch """"Betula spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",0,0,0,0,0,110749,140840,122382,81156,109491,,0,0,0,0,5,107060,145534,140810,120336,163142,,0,0,0,0,0,127756,159197,132535,91587,122730
20230,"Frozen, boneless meat of bovine animals",0,0,0,0,0,0,0,0,33175,103473,,148,5662,6600,6231,6027,8779,11104,21248,66870,162040,,223678,1036688,1007759,1990808,2194791,2703065,4240397,7195690,9003778,9573775
901320,Lasers (excluding laser diodes),41598,42335,58572,80807,100896,100023,114724,124878,108960,99685,,67350,54674,74995,106717,128800,311359,200993,159328,112973,136968,,710767,764269,1052859,1132930,1302809,2093026,3361915,3232168,3644138,2982809
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",333624,235468,120493,180648,124544,104737,121380,129170,123885,98967,,1914115,1731844,1486658,1422234,1164687,1370599,1561903,1467433,1273758,2024941,,753927,753342,640066,826319,554261,461285,669006,661968,619917,599578
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,2286,0,2083,152803,98205,,0,0,0,0,0,568,729,1259,13228,217209,,0,0,0,0,0,4057607,5792488,6136819,6240773,6517305
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",433314,266107,143757,129153,122092,194373,136345,155211,134561,96369,,511376,476000,359630,286624,253222,387762,443292,341558,254538,327684,,1813705,1075923,504202,362204,277854,429387,349423,306231,288653,166295
720241,"Ferro-chromium, containing by weight > 4% of carbon",18898,1422,6965,11319,11567,82565,9062,7384,5767,95449,,231987,195518,156465,92892,73841,214726,162311,145025,138217,259542,,1761420,2019010,2048902,2418218,2278728,3184579,2685570,2958161,2631219,2948201
120400,"Linseed, whether or not broken",1,0,0,0,13889,19925,30954,84921,43501,91260,,187364,170756,151839,136134,206182,189424,147334,219227,230375,442779,,91858,118756,179404,204794,206274,151163,179644,184207,171186,219443
440325,"Coniferous wood in the rough, of which the smallest cross-sectional dimension is =>15 cm, whether ...",0,0,0,0,0,1265,1535,730,343,82750,,0,0,0,0,2,221867,224328,170428,139632,94256,,0,0,0,0,0,676450,676693,534586,352367,679736
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",89717,75214,129309,87891,60521,103037,72172,68540,62996,82709,,230215,265764,258197,196047,154906,264725,212968,188139,285370,401829,,2247816,2662177,3321554,2864059,2514333,3021641,3501080,3488733,3361086,3947756
180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",4,39,622,4921,2824,20500,59398,78524,81187,80926,,182863,202959,216638,107549,106475,128030,142035,157431,144925,169089,,50615,66326,91734,90442,60368,71332,113597,129130,134392,122653
440799,"Wood, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ...""",140554,119841,154431,173770,193291,108100,98410,92724,65123,77719,,73967,69724,106870,138963,142231,43975,46559,44409,34642,35490,,1703226,2023181,2621688,2336217,2543710,773857,701969,430670,348520,396484
880212,Helicopters of an unladen weight > 2.000 kg (excl. unmanned of heading 8806),7000,29190,63504,66602,85023,84322,82697,47000,63572,77609,,20818,305679,303531,0,0,0,0,0,0,0,,134431,354153,186203,438490,218136,261030,280920,186442,224476,171152
750110,Nickel mattes,0,0,0,0,0,0,11215,84805,60662,75024,,8,0,0,8855,238243,613819,794161,1038833,1062970,1078437,,259459,275096,239367,124904,97435,154037,168507,139183,99524,138858
30312,"Frozen Pacific salmon (excluding sockeye salmon """"red salmon"""")""""",95838,123708,84126,59139,221989,112640,392326,159768,114975,74419,,123282,148686,93715,81954,219830,156162,404021,218758,255317,168530,,279379,380624,400000,327437,398447,439932,572109,325698,180821,176003
