Product code,Product label,Viet Nam's imports from Saudi Arabia-Value in 2012,Viet Nam's imports from Saudi Arabia-Value in 2013,Viet Nam's imports from Saudi Arabia-Value in 2014,Viet Nam's imports from Saudi Arabia-Value in 2015,Viet Nam's imports from Saudi Arabia-Value in 2016,Viet Nam's imports from Saudi Arabia-Value in 2017,Viet Nam's imports from Saudi Arabia-Value in 2018,Viet Nam's imports from Saudi Arabia-Value in 2019,Viet Nam's imports from Saudi Arabia-Value in 2020,Viet Nam's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
160561,"Sea cucumbers, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13
160563,"Jellyfish, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,1,44,11,23,21,16,27,16,13
170112,Raw beet sugar (excluding added flavouring or colouring),0,0,0,0,0,0,0,0,0,,,56661,16470,470,80,46266,39167,27282,13053,0,32,,0,12,1,0,0,1,1,0,0,31
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",0,0,0,0,0,0,0,0,0,,,212191,149618,144026,134394,132687,112857,99535,128978,161754,266600,,38353,35745,20874,30917,64712,34258,29717,25459,432628,471460
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",0,0,0,0,0,0,0,9,27,,,17978,24602,21470,24035,14794,18283,30790,31775,34240,27307,,25499,33862,34065,30721,35835,40631,54682,65441,55327,59273
180400,"Cocoa butter, fat and oil",0,0,0,0,0,0,0,0,0,,,0,0,0,134,35,3,61,0,0,0,,162,235,303,261,271,717,1100,1082,999,1625
180610,"Cocoa powder, sweetened",0,0,0,0,0,0,0,0,0,,,2067,1218,3253,8424,10762,12009,7068,2102,530,527,,185,371,348,266,504,723,598,476,769,646
180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",0,0,0,0,0,0,0,0,0,,,4542,1243,9331,5694,3541,1813,87,778,845,1744,,5367,7148,5799,6092,6899,9323,10848,9823,5404,4744
200290,"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding whole or ...",0,0,0,0,0,0,0,0,0,,,10660,6522,7765,8557,12924,9697,6942,10580,16339,11984,,2616,3823,4618,6969,7400,7765,7904,9475,10501,7734
200310,"Mushrooms of the genus """"Agaricus"""", prepared or preserved otherwise than by vinegar or acetic ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,5,12,11,17,60,0,0,,41,17,34,234,191,220,302,325,213,934
200510,"Homogenised vegetables put up for retail sale as infant food or for dietetic purposes, in containers ...",0,0,0,0,0,0,0,0,0,,,0,0,0,22,1783,225,591,258,310,161,,12,1117,16,10,6,13,20,9,197,70
200570,"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,0,0,0,0,0,0,0,0,,,49,153,54,42,78,93,70,0,1344,444,,289,350,457,466,539,786,847,1035,873,1102
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",0,0,0,0,0,0,0,0,0,,,4218,6210,6118,6724,6157,5144,6353,3143,4339,5164,,147,206,1184,731,1589,1488,2282,2637,5339,130301
200840,"Pears, prepared or preserved, whether or not containing added sugar or other sweetening matter ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,,21,13,21,28,24,20,14,146,82,112
200931,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20¡ÆC, whether or not containing ...",0,0,0,0,0,0,0,0,0,,,1522,453,255,557,326,442,2839,4015,1005,916,,0,0,3,9,85,91,50,98,121,93
