Product code,Product label,India's imports from Japan-Value in 2012,India's imports from Japan-Value in 2013,India's imports from Japan-Value in 2014,India's imports from Japan-Value in 2015,India's imports from Japan-Value in 2016,India's imports from Japan-Value in 2017,India's imports from Japan-Value in 2018,India's imports from Japan-Value in 2019,India's imports from Japan-Value in 2020,India's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
560393,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 70 ...",32,32,55,47,249,338,673,1722,2329,5004,,98311,87058,101484,88625,100704,106090,130973,145051,156434,184844,,6145,5762,6453,6820,6241,9060,10566,11687,10884,19845
848291,"Balls, needles and rollers for bearings (excluding steel balls of heading 7326)",6990,6634,5446,4688,4298,4338,5527,3661,3153,5000,,233512,203068,201781,181352,173417,193924,196088,169056,137621,192551,,44867,36506,45370,46161,55621,54416,75204,70164,52280,85103
370210,"Photographic film in rolls, unexposed, for X-ray (excluding of paper, paperboard or textiles)",10907,11522,10641,10002,6009,4043,5739,2949,3732,4953,,56844,61735,44040,31843,26024,28388,32458,31204,31257,43411,,36610,33163,27391,17711,10357,7861,10777,6586,7474,7375
390740,"Polycarbonates, in primary forms",4403,1491,1027,1227,1552,1784,4577,4029,2810,4944,,670290,584634,577516,560652,618405,692521,742390,721601,781410,807155,,321011,305753,318601,310096,317578,352401,513877,409211,316744,566229
870821,Safety seat belts for motor vehicles,359,303,485,187,316,276,149,926,605,4942,,49955,35107,30815,29289,31176,24089,24920,26230,16870,23754,,10243,11512,13886,13838,12434,16404,23119,21320,14488,24567
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",15318,8567,4696,8004,8174,9391,7772,7638,5929,4919,,73337,68482,68532,67175,53289,41407,54766,49456,27647,33855,,150481,85044,65383,59794,70395,75161,83137,95142,69360,53183
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",2345,0,0,6,94,0,115,4516,7051,4911,,1011291,984617,839448,625891,544038,801176,811752,954012,1260605,2341477,,1173900,819814,899632,780264,668963,792495,902141,966353,854300,1524490
841231,"Pneumatic power engines and motors, linear-acting, """"cylinders""""""""",3911,3330,2290,2441,2992,3237,4840,5146,3279,4895,,205602,183010,209382,188894,216010,278476,258944,213636,192350,230341,,9056,8162,7893,8938,9449,13076,16261,17939,19681,30903
903300,"Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ...",20710,19789,10203,13690,14681,10712,7495,5360,3116,4866,,154595,125373,90688,74257,82471,90418,95542,81074,63732,75014,,331209,275680,202459,195259,226699,220605,164838,124328,101887,137992
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,2074,3871,6117,7965,8867,21661,12799,7379,2783,4852,,672118,637423,609347,613445,800398,975239,986973,804725,640910,770093,,66996,98371,122860,131901,125060,160640,171899,164854,152014,249503
841290,"Parts of non-electrical engines and motors, n.e.s.",5558,4820,4305,4879,3622,4574,5430,3988,3389,4836,,265645,245106,243888,218846,224954,241080,291465,259427,250889,325718,,71073,75500,81589,100660,75169,78167,103288,99633,101667,130421
845229,"Sewing machines, industrial type (excluding automatic units)",9743,11061,14184,10824,15575,13045,10362,4380,2165,4829,,213900,195950,210122,184819,190302,181772,198539,151057,90740,158674,,86814,122232,145668,145953,156447,154573,195700,170599,103574,208730
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",1692,1769,2370,2437,1906,2295,3874,2945,3749,4828,,198394,180868,168263,131798,132170,139801,149959,148881,150270,172196,,12806,19828,22064,21133,13340,15920,24850,30279,25716,30881
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",3034,7065,2964,2520,2893,3991,4445,4327,2958,4782,,922946,913315,876139,791304,790676,803223,829445,834862,736044,955422,,86498,86576,85690,108193,114031,123866,133971,115691,105301,157256
854160,Mounted piezoelectric crystals,6140,9660,3524,4191,8258,9068,8136,9271,6728,4754,,1423340,1291407,1412354,1641288,2055093,1825089,1725086,1588377,1689049,1932560,,64243,53578,41554,28310,31747,33975,41771,73328,53183,67044
321511,"Black printing ink, whether or not concentrated or solid",1735,1696,1494,1920,3019,3179,2919,3840,3486,4754,,174967,168954,173630,153945,142432,155803,162320,156264,143856,187535,,19562,23574,32208,28201,31376,30050,33963,37681,29561,40998
820750,"Tools for drilling, interchangeable (excluding rock-drilling or earth-boring tools and tools ...",3550,3776,3582,2930,2890,3601,3950,4888,3587,4751,,212939,184798,195016,183741,183578,196365,218716,211481,173925,218873,,35236,35937,43105,35656,29997,30365,44530,44665,34941,52416
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,1546,3034,3492,4032,3585,3411,3325,2701,2156,4708,,835045,874688,912856,802384,808684,912496,950771,945738,848540,982988,,7038,8318,11460,13526,12711,13834,14431,12374,11520,21093
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",3827,3189,1707,1376,2158,3801,3304,4040,2707,4701,,121695,95175,88176,72809,82368,89278,96826,95472,98542,111182,,45324,49289,60698,58502,48355,50246,75678,61714,64539,98882
