Product code,Product label,India's imports from Russian Federation-Value in 2012,India's imports from Russian Federation-Value in 2013,India's imports from Russian Federation-Value in 2014,India's imports from Russian Federation-Value in 2015,India's imports from Russian Federation-Value in 2016,India's imports from Russian Federation-Value in 2017,India's imports from Russian Federation-Value in 2018,India's imports from Russian Federation-Value in 2019,India's imports from Russian Federation-Value in 2020,India's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
252490,Asbestos (excluding crocidolite and products made from asbestos),200786,143610,175782,142114,114882,108367,118674,149136,113400,111317,,329675,243617,242870,187090,174577,169550,171782,188147,174893,184590,,346443,235182,274027,239430,175904,164647,181479,181193,160337,206172
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",8590,23417,27241,15166,24302,40089,54968,42617,38389,93180,,208308,231774,229989,147998,122860,188492,225612,161866,113259,216013,,146043,182400,206092,168050,187329,286376,388795,297241,288911,588852
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",0,0,0,8365,0,16510,127837,132175,45166,87899,,11635170,10599759,10408217,7955494,8054092,11898508,14606792,13616669,10743061,15439803,,17489,212636,946244,1663371,868255,804896,1728312,2196277,1295829,1309904
722511,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",71041,69206,112025,118127,110898,81602,98555,62209,46474,72245,,405116,266372,305365,355202,253887,251571,324024,269806,231357,351155,,362494,333287,433001,511903,483472,438595,494987,410721,246768,360404
491199,"Printed matter, n.e.s.",9533,7266,1963,5222,11159,48644,74117,73888,76947,65579,,8280,36051,21936,18985,16277,16560,32724,20780,18455,22660,,101448,120604,33512,35227,39514,70470,108295,111822,110492,91095
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",99012,0,0,191511,61382,40037,43899,43749,109882,62498,,688411,436687,289127,479756,410886,341726,534065,544253,433349,665953,,3398943,1752648,1824174,3104234,1690454,1469851,2766606,2164582,2121551,2838102
750210,"Nickel, not alloyed, unwrought",323791,272052,83520,67738,74151,56425,33712,14233,22938,55870,,3616122,3509001,3717120,2317412,1606591,1360799,1723263,1835907,1859215,787799,,656635,794294,1066266,1002876,399993,401770,515095,447864,409182,694157
300220,Vaccines for human medicine,0,0,0,0,0,158,5,238,75,48359,,13945,14384,16374,21720,33155,52004,50623,60638,70918,1407488,,203195,222796,242024,303847,261404,245729,319544,378780,339485,443930
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",489,124,71,72,54,626,1272,91,237,45100,,367851,290696,292977,263202,319182,348496,358492,398116,523583,581604,,475297,489393,566247,517828,583499,707572,744419,955151,732440,1363334
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",4579,18284,0,0,26866,11155,24604,77310,36665,37906,,1897755,1733434,1603325,1285054,1137202,1279917,1582445,1643184,1516685,2489986,,2644195,2667358,2103064,2619522,1455515,1296963,1457788,3088373,2936683,4168321
