Product code,Product label,China's imports from India-Value in 2012,China's imports from India-Value in 2013,China's imports from India-Value in 2014,China's imports from India-Value in 2015,China's imports from India-Value in 2016,China's imports from India-Value in 2017,China's imports from India-Value in 2018,China's imports from India-Value in 2019,China's imports from India-Value in 2020,China's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
100610,"Rice in the husk, """"paddy"""" or rough""""",0,0,0,0,0,0,0,0,0,0,,85608,82817,62302,72591,47052,62479,90921,89700,136318,209719,,8326,6895,6279,3034,3515,6057,6009,8416,11022,1821
90510,"Vanilla, neither crushed nor ground",2,0,0,0,0,0,0,0,0,0,,0,2293,1419,1844,13210,31381,15644,1032,0,0,,394,647,565,656,832,1313,2263,1099,1416,1472
71420,"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",0,0,0,0,0,0,0,0,0,0,,208,210,194,208,175,172,139,161,346,300,,130,342,215,156,87,76,116,210,53,14
80121,"Fresh or dried brazil nuts, in shell",0,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,48,0,0,1,22,,3831,24,105,213,358,112,2314,5761,1261,199
80122,"Fresh or dried brazil nuts, shelled",0,0,0,0,0,0,0,0,0,0,,126,185,48,1,5,9,4,1,0,7,,0,0,11,14,8,30,244,197,565,62
80232,"Fresh or dried walnuts, shelled",1551,1256,182,15,0,0,0,0,0,0,,38864,55525,32899,20738,9553,12953,13363,7458,5494,6917,,16587,17867,29665,20040,19432,18328,19795,15225,6010,5767
80261,"Fresh or dried macadamia nuts, in shell",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,,20528,25586,31068,78455,45101,83966,73096,128846,134987,172852
80521,Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,26,145,47,169,20,,0,0,0,0,0,61534,66146,106349,69688,85717
80540,Fresh or dried grapefruit,0,0,0,0,0,0,0,0,0,0,,283,152,57,244,180,191,261,334,292,757,,14765,23843,30877,36667,42315,51203,87033,65790,78682,128677
80719,Fresh melons (excluding watermelons),0,0,0,0,0,0,0,0,0,0,,668,524,1151,2715,4789,3632,3883,3691,4073,3682,,2527,2212,18,64,9,14,30,34,223,106
80830,Fresh pears,0,0,0,0,0,0,0,0,0,0,,0,2,1,12,2,4,6,1,40,174,,3793,6041,10289,12905,13290,12363,12671,21111,18203,15910
81070,Fresh persimmons,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,11,,111,154,160,149,243,101,144,206,201,326
81190,"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened ...",50,277,0,0,0,0,0,0,0,0,,24746,25581,22767,29093,30770,33819,39635,41587,31707,40452,,97118,85739,95301,120541,118078,129981,212827,309610,385518,535714
40110,"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar ...",0,0,0,0,0,0,0,0,0,0,,265,193,548,294,239,1004,2297,543,247,149,,8915,15447,23325,25436,32278,41620,57805,82241,114084,90973
40221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",0,0,0,0,0,0,0,0,0,0,,30,7529,2986,10,2,60,138,641,1119,1171,,1354897,2612029,3308680,952435,1053572,1517089,1746636,2176005,2224362,3040231
60110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant (excluding those used for ...",0,0,0,0,0,0,0,0,0,0,,444,584,736,415,518,544,851,448,176,127,,71392,80631,82604,91343,100294,113915,113931,110960,94272,108818
60120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory ...",0,0,0,0,0,0,0,0,0,0,,368,907,566,526,507,693,391,752,644,522,,0,1,1,0,0,33,0,0,1,11
30345,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,0,,10,0,0,0,0,168,0,44,0,0,,1653,780,1053,1093,607,1355,2186,2351,2233,6563
30349,"Frozen tunas of the genus """"Thunnus"""" (excluding Thunnus alalunga, Thunnus albacares, Thunnus ...""",0,0,0,0,0,0,0,0,0,0,,5360,26211,22344,22699,6133,6092,4578,1931,1418,1810,,292,708,1687,257,235,31,569,836,498,609
30364,"Frozen haddock """"Melanogrammus aeglefinus""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,116557,115951,151777,91444,100487,123247,158071,137253,133233,135093
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1126,269,76,160,380,,0,0,0,0,0,12522,71448,113863,115043,104491
30432,"Fresh or chilled fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...""",0,0,0,0,0,0,0,0,0,0,,0,211,543,648,522,364,113,53,77,239,,11,0,46,0,0,0,0,0,0,0
30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, ...",0,0,0,0,0,0,0,0,0,0,,0,131,351,161,676,87,252,255,143,49,,115,2,118,224,80,163,614,1132,367,2156
30481,"Frozen fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,2,37,0,0,0,0,104,,4494,7950,12591,6358,5144,7956,8752,4758,5746,3025
30483,"Frozen fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,233,185,69,310,1928,1229,770,748,1373,1258
30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, ...",0,0,0,0,0,0,0,0,0,0,,0,17,29,44,161,1069,125,419,536,407,,595,1194,47,75,70,191,119,408,211,68
30561,"Herring (Clupea harengus, Clupea pallasii), only salted or in brine (excluding fillets and ...",0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,0,0,2,10,4,2,0,0,0,0
30563,"Anchovies """"Engraulis spp."""", salted or in brine only (excluding fillets and offal)""""",0,0,0,0,0,0,0,0,0,0,,235,129,285,127,125,327,166,21,10,44,,622,1192,1083,878,894,653,484,647,276,401
30629,"Crustaceans, even smoked, fit for human consumption, whether in shell or not, live, fresh, ...",0,0,0,0,0,0,0,0,0,0,,7,3045,2198,5301,7469,791,0,0,0,0,,23950,33075,35917,35522,38875,0,0,0,0,0
10231,Pure-bred buffalo for breeding,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,55,0,0,0,,684,0,980,0,0,0,0,0,0,0
10514,"Live domestic geese, weighing <= 185 g",0,0,0,0,0,0,0,0,0,0,,0,3,0,76,0,0,0,0,0,0,,0,0,99,92,0,0,0,0,0,0
