Product code,Product label,"Korea, Republic of's imports from Japan-Value in 2012","Korea, Republic of's imports from Japan-Value in 2013","Korea, Republic of's imports from Japan-Value in 2014","Korea, Republic of's imports from Japan-Value in 2015","Korea, Republic of's imports from Japan-Value in 2016","Korea, Republic of's imports from Japan-Value in 2017","Korea, Republic of's imports from Japan-Value in 2018","Korea, Republic of's imports from Japan-Value in 2019","Korea, Republic of's imports from Japan-Value in 2020","Korea, Republic of's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",537804,1084411,1111769,1021896,826687,850177,972839,839310,462796,591738,,590378,770510,1160577,878729,941511,1260618,1458573,1300333,821434,1075710,,1306499,1960653,1462209,1068323,950847,921308,999714,853396,479838,600609
853400,Printed circuits,626790,490445,400443,403112,330375,414245,406635,385718,397282,544348,,3374478,2632669,2447663,2232890,2292242,2583379,3107340,2763492,2798802,3041081,,2696679,2818361,2583840,2375745,2173989,2397242,2228141,2255671,2361354,3098227
900120,Sheets and plates of polarising material,1584138,1470363,1283900,1021082,947061,954776,653303,485478,339840,520685,,4273668,3769793,3411108,2747743,2573066,2853707,2816712,2638148,2403683,2447408,,1968439,1697542,1478236,1169322,1047608,1113303,846557,731939,656253,884069
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",272969,669399,818120,522502,591553,427114,621050,628394,452731,492280,,50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856,,1228876,1503414,1846344,2047586,3014757,3524901,4410131,5112033,4765174,4479197
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",523795,427915,368541,297045,291075,322649,398191,365346,436950,481772,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,576080,474592,422825,352464,344564,382754,452539,428520,519049,605281
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,356639,220795,201960,196066,146198,339169,463073,420618,447215,481622,,701590,512970,694970,599068,641788,1043991,1498329,1126235,1440515,1728008,,777378,389837,389539,328127,362573,592044,685662,692617,884827,1011774
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",207142,227026,214277,234190,247017,272995,352097,370154,404363,461838,,2823553,2603389,2703373,2801180,2805946,3206806,4040387,4315051,4679757,5595313,,562549,654440,537520,560195,534963,605435,812917,747078,840286,989493
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",357860,395007,380168,395815,474285,571438,623903,569861,517855,428867,,917045,873654,870464,788880,866763,993941,1103469,1122376,1003965,1145074,,1581279,2057939,1980838,1924783,1715645,1760895,1865753,1848774,1773763,2096895
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",754474,598261,472777,397069,420022,394313,377152,393675,384043,425319,,1883773,1795584,1832285,1609738,1743317,1861479,1969027,2080491,2374209,2611279,,859569,692855,557172,468901,494365,502961,458767,506491,492461,573479
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",1567893,1080973,983305,696472,571305,490650,420958,373142,323181,405742,,2013760,1448308,1346825,1041939,947194,900881,899737,811606,796374,868538,,1573126,1085913,987223,699503,572566,492129,435919,396353,351172,432950
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",662841,640124,650026,373211,354158,291186,286351,268167,271514,394269,,2057692,1937663,1847033,1091705,944008,1122565,1087394,946217,924378,1213307,,1165523,849136,1102963,640959,637058,532476,723814,733616,370514,704409
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,649117,519512,514105,368892,378333,,0,0,0,0,0,10710065,11071157,16315948,18239044,19084523,,0,0,0,0,0,711966,623731,708918,1164120,3130226
901210,"Electron microscopes, proton microscopes and diffraction apparatus",223791,118557,125991,135393,140046,296973,380723,173289,307943,375109,,570625,382321,360840,345174,288868,449633,466456,339986,442895,443942,,405539,267155,282596,267006,291801,619735,680629,344212,559599,763178
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,282437,161310,241688,268594,197386,109681,177436,77346,214249,360909,,18304814,13017453,9998143,9208922,8237301,7591131,6354957,7474948,7305832,6858034,,1896279,1025909,1214331,1251022,1041945,995084,959699,849398,1921522,1937581
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",246757,344877,320878,235861,263083,287425,295796,327338,387430,359556,,1934838,1714100,1467536,1092747,1149036,1117428,1148206,1043796,1170681,1280401,,301760,424216,396392,329538,364718,421216,460067,479646,558875,587534
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",381436,349313,289478,273670,276590,387241,350195,242890,245365,346762,,3215557,2813145,2870431,2387025,2649395,3216581,3243433,2754691,2616653,3236128,,3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
848640,Machines and apparatus specified in Note?9 C to chapter 84,431558,277079,246652,289896,286276,518945,524759,468834,323201,344996,,1154300,880532,941290,889524,1102677,1400828,1494680,1425698,1482298,1889755,,920874,572702,686491,690889,810300,1216962,1006746,1018038,1294136,1361691
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",221797,243554,140336,152787,212655,245292,226778,207591,298005,335773,,4344248,3349094,3182441,3943818,6386629,7368144,5225523,5353684,6976956,6011577,,1123791,1089087,1028171,932983,612552,1214576,747576,675455,655975,1498069
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1356828,1601984,1111963,421049,344132,384808,632063,436466,234844,334668,,10748957,13262388,11429126,8131501,6527682,7194643,8637671,9427105,4684624,5619135,,5146332,6884243,7760657,3337556,2664516,3564408,5094896,3396484,2587689,4429473
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",186056,195045,153801,138713,141557,174677,206949,249358,325146,318017,,281725,199457,239952,218707,283606,274546,292820,321636,381292,613686,,267403,295240,259866,242420,249797,286131,361420,450436,577494,664328
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",615491,544017,321733,267572,226490,176549,200834,227651,236393,317286,,11616770,10094836,9824469,9060572,9062482,10815125,10812400,11523918,11186084,12182276,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,85965,33609,47274,56051,35862,96504,187107,85686,153168,309167,,469768,457471,456332,441980,592313,668790,855127,1072940,1206440,1667727,,714071,421649,347077,466828,480033,1069209,1337664,712872,1083486,2011859
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",289477,262033,247265,238760,258418,293873,329283,262159,256277,305455,,1055391,828356,791873,714852,794327,994587,1044290,1027416,1087277,1193137,,411501,370070,371794,363395,355647,388817,419355,361148,349479,416455
950631,"Golf clubs, complete",167872,162351,173928,162595,165033,183981,222097,208159,235666,300212,,277872,254505,260557,242670,244274,251050,288619,274105,288727,368866,,244823,239436,229911,213181,219039,238474,289107,295382,341786,467454
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",162429,90632,41162,48605,48126,110361,125329,102873,76789,298653,,158349,126507,105405,177431,153338,153768,151112,113965,112680,353694,,304183,240571,290031,398128,441672,518038,307598,376909,215717,716192
290230,Toluene,81819,113260,390049,377264,267600,375278,450129,307309,130671,296770,,149360,414929,554999,458939,320251,400214,467727,339594,168606,326005,,105099,126013,468806,434421,284536,457271,573154,389556,183942,412576
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",255085,261624,226708,221456,221482,262117,289261,236327,295357,296290,,2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",334992,359582,332382,322915,394246,527428,366568,327199,287636,294946,,3450910,3051982,3023595,2588210,2717099,3007350,3007832,2779823,2569394,3051101,,1276587,1448386,1043619,1152056,1188150,1368965,1159705,1013000,937848,1005588
290250,Styrene,809648,1001557,877535,639395,380733,514954,138562,158424,207716,281355,,1416530,1940895,1592566,1064708,564667,763558,729548,615540,470616,593197,,1161020,1618630,1331431,876995,830452,979066,415218,508057,533533,501527
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",55414,115198,37080,39829,41617,90676,121420,122910,72633,280185,,877350,1400513,1943895,1483907,1071297,1699836,1633144,1527156,872097,1610589,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",277226,261888,234733,212719,232826,339003,261817,247656,290746,270514,,2192601,1962610,1980391,1776514,1852565,2184618,2066337,2018692,2362543,2756433,,408563,413834,370892,336979,363257,499649,446823,430098,465682,521788
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",468113,431980,312883,251119,287072,402790,362330,324949,236602,268847,,1137186,1232404,1242827,1030303,1074594,1498559,1569491,1368201,1026805,1921634,,780092,667933,631785,520845,474539,701845,568525,502187,312001,534975
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",491028,374755,367294,483244,554478,459951,452121,469429,363834,263863,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,1056867,1026859,911524,868698,1073828,1034555,943320,967309,1066982,1145746
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",114037,107187,99034,108399,165129,253578,267038,258057,226259,242522,,2245933,1810450,1640312,1594261,1729991,1898197,1871509,1702331,1779309,2102258,,1317520,1766245,1811478,1492271,855580,1138678,1429051,1171099,1295694,1422269
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",120094,117273,103866,111059,148827,164041,170524,171841,195143,229585,,1019586,960104,931655,911030,1045179,1095231,1207066,1232647,1237683,1390820,,322038,333148,319476,329270,354380,383524,375902,389682,409218,471108
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",153391,126783,149638,160860,187600,196286,208271,210209,210046,212572,,1420010,1364645,1333085,1868063,2221532,2483862,3323493,4209092,4223491,3815356,,2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",146598,120791,113181,101718,107609,146774,132629,129746,159803,204959,,612323,500375,496580,463490,456628,586050,575439,567556,646140,676419,,414899,416170,406755,356444,394377,482347,450358,422769,431357,603367
850450,Inductors (excluding inductors for discharge lamps or tubes),60908,71579,77581,74130,84763,98932,92201,106888,141220,204092,,880772,871717,998639,1038191,1081067,1109622,1041731,1050110,1242910,1492318,,282080,337664,370870,314200,377763,513698,458933,499205,556111,748299
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",133261,120482,95973,88748,134663,171332,238376,213149,192846,203856,,3069935,2896061,2590659,2129965,2303947,2607697,3017114,2824728,2945035,3906648,,749531,869538,781838,840515,987611,1004182,1031941,942904,863550,965044
847989,"Machines and mechanical appliances, n.e.s.",473103,367880,266527,266408,195511,223614,295880,216555,165363,202027,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,1969933,2256995,2784714,2649373,1641399,1309548,1233727,1238623,1137278,1418141
850440,Static converters,159377,103376,159857,121443,120720,175555,174854,191147,188658,200957,,1906969,1973767,1958788,1727221,1825508,2025854,2230500,2399805,2451257,2824468,,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",188595,153320,132180,116968,81258,131783,146275,129029,128683,200311,,228696,209946,148417,188684,109312,169869,201460,245164,258062,382600,,660065,407353,455808,380039,214525,348904,377027,302429,335252,574672
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,213272,165212,133279,141546,172555,188426,210910,194211,187049,198634,,291506,215233,195163,213661,248809,266985,276722,249472,280772,326685,,337620,287232,267267,268440,297857,315337,335022,311645,297781,331362
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",8378,6443,16933,17873,16230,20044,23212,63568,132854,193102,,538145,357694,266503,194338,181278,147106,248243,305933,506704,642596,,68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",264749,217662,215567,196622,199137,200178,177750,176343,167430,189532,,11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707,,835340,782099,732172,673719,656310,655907,575178,523397,496425,560125
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",252968,104431,93161,56895,64316,64054,92471,165310,200603,187012,,769090,550975,494040,398332,487482,496973,478436,592387,684482,618138,,428560,175236,181920,147341,149141,148676,208046,303844,330695,444639
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",168334,219759,161785,98921,100788,141012,139390,113273,98148,173112,,336930,296542,171667,117886,112453,195252,224503,167061,210985,335312,,183557,285867,246952,134021,124254,226251,175691,151320,98447,207880
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",128657,129782,99876,84029,97058,123186,137755,125453,132486,170981,,1961484,1761910,1728542,1603437,1699088,1845083,1993181,1991418,1938278,2167010,,649506,780701,712734,729344,779323,993231,1084454,1079506,1226701,1569313
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),357361,370374,264586,222336,200629,201405,174052,181908,170318,169707,,248726,234827,237106,224509,225992,205239,210057,221546,317217,433729,,1095526,1256297,1080085,886082,831610,867574,874826,885453,858896,988447
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",58020,90945,87720,97703,103111,119747,137883,136997,139904,167033,,210267,212373,198804,173312,184557,209862,255755,308834,319472,580927,,1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
847990,"Parts of machines and mechanical appliances, n.e.s.",431197,412649,337092,291686,200402,223319,229148,192414,173829,166798,,1756674,1284145,1332438,1307005,1326474,1499871,1607811,1388143,1451393,1630782,,1122927,1056903,981171,1025799,584624,638237,578958,736950,536324,587803
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",40225,49143,66539,52148,68800,87856,97408,83890,96451,162903,,278909,203810,196446,142782,162495,184237,207036,191354,209687,361280,,86998,111026,165517,139640,109599,129125,160562,150112,167726,316808
848630,Machines and apparatus for the manufacture of flat panel displays,593777,666755,360093,234626,1243939,1910235,422459,211131,625469,162349,,1769341,2207686,1907916,2548655,3469095,4541878,5050507,3631962,3102072,2682917,,689090,778214,565614,428216,2021765,2917328,510369,292960,847088,273984
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",98399,106421,94496,93656,103407,108526,121938,110142,122166,159312,,263440,232060,225155,246487,251768,310898,404155,368034,391490,512748,,173939,203818,206193,215208,237285,292259,353255,339094,375148,495843
761699,"Articles of aluminium, n.e.s.",50061,24703,20967,15957,19886,20177,26740,28630,61066,156007,,214292,212930,198317,182159,187399,209583,254673,247127,313320,370617,,165517,166240,170180,196790,254960,295664,361327,343549,344968,522811
841410,Vacuum pumps,61726,80251,66224,70590,126991,185419,139311,89048,128404,154173,,359737,347951,359568,374733,479002,641741,621730,523763,619261,773113,,187478,219858,195075,192726,246264,334474,286668,208868,244984,310558
900220,"Filters, optical, being parts of or fittings for instruments, apparatus and appliances, framed ...",44417,49709,58818,53089,58907,103631,65550,63534,82863,151335,,72924,66306,54585,50175,50947,46150,41780,39125,31261,44282,,62830,78244,91694,76863,80552,128619,88129,90219,97080,170938
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",74660,47876,75314,170696,128360,118758,136182,114425,105265,151232,,220495,336867,434081,427150,434404,528428,532980,487261,394688,478310,,244572,225909,290965,401947,313229,331130,385702,366625,340584,391145
841199,"Parts of gas turbines, n.e.s.",114069,322726,98582,153340,162165,194855,118439,96492,192091,149259,,1671296,1479186,1126880,1217212,1337906,1166024,1384250,1266756,1406211,1487130,,457163,729988,534890,523484,347088,467549,467272,495577,638910,491288
340540,"Scouring pastes and powders and other scouring preparations, whether or not in the form of ...",184911,131876,106779,86922,95111,115860,136847,108555,123657,147357,,274528,246576,241001,206995,240224,274211,327728,350268,427590,516741,,230994,176218,143940,121228,122735,153796,169846,129479,144100,165695
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",207401,180501,201472,213449,282959,320053,327341,309965,332410,143348,,1472076,1175996,1372359,1272754,1420905,1176281,1292773,1200384,1120076,1043198,,468541,445010,466912,517564,570576,651350,691271,685361,729753,634497
890120,Tankers,165917,80133,45706,122858,139346,82802,116187,36762,105925,140857,,3056934,1759485,2195052,1724148,3403670,3501075,5835337,5997333,3263207,2459760,,358864,322811,227840,402082,469844,280236,416524,229105,566672,651735
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",75503,85142,79217,76679,75465,92277,113500,109781,104960,140803,,106394,102649,104439,97459,91990,107128,122925,124908,115705,146475,,117880,130335,120019,114850,104045,151205,218047,274172,279259,458637
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",49487,41477,44848,47856,30091,60706,82243,68581,103274,136822,,452079,389504,532670,487588,539551,877816,999730,852743,803364,1106011,,174571,187533,224411,274202,229192,326891,465416,472306,552826,659894
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",26712,36486,59305,112009,88517,165894,113296,119400,82472,136706,,121182,252997,380441,354794,367108,411178,373010,292001,270585,394768,,86850,132789,144907,134254,136516,190424,138449,179423,108031,168882
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,93373,108692,76135,81310,135966,,0,0,0,0,0,781329,900494,636121,713890,1086804,,0,0,0,0,0,315460,277164,208614,241280,343807
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",229417,398245,336269,323315,765439,214055,172856,144088,130000,131133,,1863733,2331113,2789698,3128602,2818878,3469433,2388034,1524461,1467540,1619690,,2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",81786,90482,105802,109590,112807,105787,120331,117140,121050,130557,,595390,557779,615825,559160,562384,557266,601222,588885,611668,675296,,107808,119519,141112,142610,146693,142451,159431,151399,157676,173387
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",114849,123588,110377,114377,117009,118196,127317,130252,127697,127613,,1230358,1229205,1169294,1157825,1148026,1167403,1276358,1300457,1362315,1457168,,667477,706354,708093,713546,758898,799151,904505,973678,1017389,1105148
720837,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",276330,269040,324388,128864,99003,216984,155959,98805,77927,127543,,494846,500935,491101,319200,257901,427864,409070,316541,243625,475259,,595658,506033,740233,281749,231758,364345,255120,202880,121329,249496
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),92781,66117,55202,50312,49767,58736,72088,89272,116193,127496,,712782,541296,508544,457644,488839,554445,649877,517738,609099,694042,,395012,346340,324534,275593,252900,271257,314531,327946,335496,396066
700490,"Sheets of glass, drawn or blown, but not otherwise worked (excluding glass coloured throughout ...""",1295666,835397,522350,333701,359949,236269,212261,148401,90104,122001,,2356794,1487443,1043718,678380,578692,519523,527255,473315,441043,469352,,1322669,850306,533048,347866,378283,251892,218033,152601,95480,160272
848210,Ball bearings,123528,108221,99939,103683,102095,113742,122586,107810,88387,119201,,2099110,1806441,1940458,1660656,1631289,1840646,1948139,1787428,1449852,1999899,,360116,345221,352917,335982,340016,369917,374096,348423,301654,401230
847950,"Industrial robots, n.e.s.",89161,96119,94269,103653,81821,137582,97185,104289,82359,117047,,1447595,1247689,1452403,1437388,1627572,2206593,1995792,1592161,1723293,2377328,,117735,125671,133394,141667,124649,216434,165932,182351,149755,194632
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",56740,61368,65059,53647,94138,43493,28913,259491,109197,116627,,157718,179144,192884,163048,288509,616916,1493158,1944402,1797325,2037975,,256336,238110,339190,286848,259895,558669,624340,891104,645634,1082026
848120,Valves for oleohydraulic or pneumatic transmission,43936,21748,39342,52092,80246,104008,92478,80747,95864,116180,,1195586,1000749,1008659,772742,900738,1211678,1416645,1253438,1388817,1667659,,148672,136025,163609,164051,230717,251577,249472,234780,264415,338561
702000,"Articles of glass, n.e.s.",94279,67996,65195,58308,64666,85792,103721,97847,117989,114675,,428724,328481,254026,264634,305036,356863,494855,515591,417058,462062,,226540,188277,153463,151586,163072,209967,278288,236299,264044,304026
901320,Lasers (excluding laser diodes),63717,36112,34734,36568,21108,30016,35550,62181,98236,112104,,192931,165489,182927,214586,233926,269345,253880,243140,186362,281550,,336261,375534,384377,355399,451679,651105,620819,540903,603597,608517
391000,Silicones in primary forms,126618,118443,114970,106645,106230,116205,120580,106868,88082,111892,,749147,721849,723780,678020,691833,772778,860667,757122,718076,882768,,444265,465995,451716,442287,449823,493316,590482,505675,433067,617142
290612,"Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols",144544,169135,165841,93945,78420,88527,118724,80252,66119,110991,,140703,179433,148036,101298,67985,84354,115380,78962,64806,108466,,144593,169315,165861,94032,79555,91079,118851,80390,66256,111480
721633,"H sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",90031,51657,42151,31955,24648,40425,52478,66833,88554,110827,,288369,328269,242069,269153,151483,129753,152143,137991,138407,157159,,468530,418720,443018,256841,219076,243165,230210,271216,224787,320067
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",189343,172499,228440,164478,156163,157497,125944,130049,101695,110078,,2189262,1810572,1764678,1646656,1633985,1755841,1883089,1763290,1461943,1483485,,909215,946004,1204675,1222845,1122496,1149856,1111450,959251,900537,1095645
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",42527,29286,22855,16485,11777,16312,22174,22424,34654,109401,,148845,100821,74398,53308,59763,70583,83701,70678,74967,70040,,128847,102528,99091,87204,81317,90434,108107,98156,112474,228033
