Product code,Product label,Saudi Arabia's imports from United States of America-Value in 2012,Saudi Arabia's imports from United States of America-Value in 2013,Saudi Arabia's imports from United States of America-Value in 2014,Saudi Arabia's imports from United States of America-Value in 2015,Saudi Arabia's imports from United States of America-Value in 2016,Saudi Arabia's imports from United States of America-Value in 2017,Saudi Arabia's imports from United States of America-Value in 2018,Saudi Arabia's imports from United States of America-Value in 2019,Saudi Arabia's imports from United States of America-Value in 2020,Saudi Arabia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
251400,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ...",0,0,0,0,0,0,0,0,0,0,,597,606,749,822,295,481,1797,557,469,394,,1386,950,1179,919,1505,1872,1763,2513,1718,2211
283911,"Metasilicates of sodium, incl. commercial metasilicates",0,269,0,418,472,230,531,590,45,0,,16167,15498,13605,11721,3717,4257,4455,3316,2518,3626,,659,466,360,1346,1094,445,935,875,188,197
261390,Molybdenum ores and concentrates (excluding roasted),0,0,0,0,0,0,0,0,0,0,,538991,534454,677606,305253,188036,304940,479678,562160,558176,433412,,0,0,29,14,1,0,0,0,21,63
261710,Antimony ores and concentrates,0,0,0,0,0,0,0,0,0,0,,1690,1487,1670,1851,1146,1244,868,859,1286,1093,,0,0,0,1,0,0,0,0,0,0
261900,"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ...",0,0,0,0,0,0,0,0,0,0,,15507,27125,17278,10368,4225,4288,6016,11077,9297,22297,,338,245,523,458,36,40,71,309,142,16
262091,"Slag, ash and residues, containing antimony, beryllium, cadmium, chromium or their mixtures ...",0,0,0,0,0,0,0,0,0,0,,472,621,2192,400,261,472,655,911,614,4023,,49,0,101,30,0,6,0,0,0,0
262110,Ash and residues from the incineration of municipal waste,0,0,0,0,0,0,0,0,0,0,,237,807,402,491,390,588,374,8360,8445,5371,,423,55,446,3,647,443,172,0,0,0
270710,"Benzol """"benzene"""" containing > 50% of benzene (excluding chemically defined)""""",101,0,0,0,0,0,0,0,0,0,,339,15297,490,474,5307,11891,72517,75629,54210,47473,,168,89,0,13,7376,0,6,26,23,2
200949,"Pineapple juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing added sugar ...",0,126,0,0,0,0,0,0,0,0,,3196,3453,2487,3025,3178,3989,3573,2601,3987,4280,,11929,15209,18654,23822,21878,13023,8657,4321,4432,5283
291891,"2,4,5-T """"ISO"""" """"2,4,5-trichlorophenoxyacetic acid"""", its salts and esters""""",0,0,0,0,0,0,0,0,0,0,,920,380,539,678,2930,1249,483,381,1098,265,,0,0,0,0,446,414,461,0,0,0
292143,Toluidines and their derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,21144,8287,4103,7261,5268,5887,4578,4373,5207,7732,,141,243,0,2,27,55,0,0,0,1
292241,Lysine and its esters; salts thereof,10543,8044,6677,7621,10353,3481,6557,8289,3280,0,,498296,295607,255075,197733,200530,203483,222479,156882,138338,170761,,13099,13451,9479,12665,17188,7279,12420,12603,9002,6068
291440,Ketone-alcohols and ketone-aldehydes,198,0,62,0,0,0,4,0,0,0,,7227,5815,5019,5255,4985,8912,9982,7034,7868,9476,,226,106,205,377,344,70,195,80,76,114
291632,Benzoyl peroxide and benzoyl chloride,0,0,63,0,0,0,0,0,185,0,,10425,11785,13408,14914,15797,14557,14248,14169,13964,10813,,255,510,816,339,107,171,446,648,805,744
291714,Maleic anhydride,0,153,0,0,0,0,0,7,55,0,,81327,67555,78534,53290,51943,60950,56772,66276,57977,78642,,31491,33033,33638,22498,9016,18202,22686,17604,17885,31652
293291,Isosafrole,0,0,0,0,0,0,0,0,0,0,,292,187,147,243,363,61,38,776,680,3777,,0,0,0,0,0,28,0,0,0,0
293295,"Tetrahydrocannabinols """"all isomers""""""""",0,0,0,0,0,0,0,0,0,0,,348,67,15,5,427,781,64,125,126,2160,,0,0,0,0,0,0,0,0,0,0
293321,Hydantoin and its derivatives,0,0,53,0,0,0,56,4,26,0,,19582,19963,22694,13062,12025,13050,14185,11840,9110,11698,,134,426,690,661,419,489,491,237,225,298
293510,N-Methylperfluorooctane sulphonamide,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,13888,7183,1980,582,316,,0,0,0,0,0,0,0,0,0,116
293622,"Vitamin B1 and its derivatives, used primarily as vitamins",0,0,0,0,0,331,0,0,0,0,,8245,4385,3448,4551,7209,8279,10049,6788,8032,7835,,400,315,360,121,398,1015,804,834,1231,873
293624,"D-Pantothenic or DL-pantothenic acid """"Vitamin B3 or B5"""" and their derivatives, used primarily ...""",0,58,0,0,0,0,0,0,0,0,,7905,8755,6379,6628,5372,10705,29268,25258,24001,15706,,602,736,195,533,699,1494,1173,1246,1740,984
