Product code,Product label,"Taipei, Chinese's imports from Australia-Value in 2012","Taipei, Chinese's imports from Australia-Value in 2013","Taipei, Chinese's imports from Australia-Value in 2014","Taipei, Chinese's imports from Australia-Value in 2015","Taipei, Chinese's imports from Australia-Value in 2016","Taipei, Chinese's imports from Australia-Value in 2017","Taipei, Chinese's imports from Australia-Value in 2018","Taipei, Chinese's imports from Australia-Value in 2019","Taipei, Chinese's imports from Australia-Value in 2020","Taipei, Chinese's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
100119,Durum wheat (excluding seed for sowing),0,5560,76545,66327,54633,58008,47955,6501,8852,69908,,89403,85156,85103,49695,60865,113614,48936,39,1929,148724,,0,36759,406167,349964,295248,350313,317376,311931,349519,376208
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1180752,482974,166924,31984,4641,58549,25542,24184,94731,67493,,2477132,2005445,1927252,1300465,1372687,1470569,1856943,1413859,1283906,1956440,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
261690,Precious-metal ores and concentrates (excluding silver ores and oncentrates),0,0,0,0,40247,4809,0,14755,35251,65741,,1134954,1011635,1085312,1110576,1191274,1212245,1071081,966573,1217820,1482857,,21,25,7,0,47571,26277,12136,47571,143022,325074
261400,Titanium ores and concentrates,67019,69409,48901,15290,18375,56410,35666,65055,52024,63117,,135411,85640,67036,83598,63569,85006,77060,87219,80219,59059,,125974,114579,99973,74015,80006,101971,90887,76106,62059,123296
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...,14364,20636,15984,12771,18220,50711,39097,3282,29917,62405,,147270,135657,147118,156855,81951,169773,212955,116208,152079,129220,,57003,60916,79422,56111,52815,98459,103343,34621,56359,151107
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",107046,99147,84529,72064,55279,53716,61453,55312,54240,59656,,3935,3313,3839,3315,4115,3264,179136,5352,4685,111124,,158833,155354,139211,147900,122876,112473,123591,118528,110616,124063
20130,"Fresh or chilled bovine meat, boneless",64602,38274,42073,43675,46877,49415,44428,51235,56691,56639,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,111964,169739,205758,238943,259616,310304,386120,372248,423205,533228
760120,Unwrought aluminium alloys,77823,51078,51148,59419,22388,27527,56100,49036,23604,53975,,1084742,856690,860536,596619,373611,509552,603687,527971,417851,742206,,485812,544253,651951,594990,456125,586034,750627,569989,487625,949679
750210,"Nickel, not alloyed, unwrought",23093,12567,75015,30616,217730,352254,177907,210050,86114,52710,,0,0,0,0,0,0,631977,1081519,249116,0,,168889,90328,187741,129950,347873,521606,351529,550234,330745,312543
790120,Unwrought zinc alloys,37241,52206,52661,38504,46245,59255,66583,55081,43692,51040,,139587,1779,2373,24,558,635,4,0,61862,387500,,57716,72079,67412,54669,67300,90023,98855,83613,69232,90619
