Product code,Product label,Germany's imports from United States of America-Value in 2012,Germany's imports from United States of America-Value in 2013,Germany's imports from United States of America-Value in 2014,Germany's imports from United States of America-Value in 2015,Germany's imports from United States of America-Value in 2016,Germany's imports from United States of America-Value in 2017,Germany's imports from United States of America-Value in 2018,Germany's imports from United States of America-Value in 2019,Germany's imports from United States of America-Value in 2020,Germany's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",267997,148066,203279,213843,164871,162201,268711,213628,532869,456261,,2295291,2488822,1773652,2192208,1483662,1171491,1120708,902615,1130397,1852061,,1197290,1225060,1083861,1297279,1019414,902454,1309400,1574519,2428864,2827279
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,97621,79740,202001,249031,283705,323840,362167,336902,385413,373357,,638894,912751,920846,984147,1197184,1253675,1113761,1064707,1295396,1032301,,165858,150370,269558,309947,351446,370060,428181,393077,460920,435795
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",245765,258198,305687,300199,310328,324213,348464,338696,320048,361519,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
80212,"Fresh or dried almonds, shelled",304635,407628,481015,561242,439604,406484,401514,410468,415860,356732,,2493864,3209227,3554181,3771130,3229075,3266450,3375650,3687769,3425593,3381706,,452008,601449,729363,868445,657332,600289,626146,678417,702428,609594
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,346912,331964,343228,300530,352819,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,2307677,2672478,2643249,2445858,2866757
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",127895,155743,69537,97143,148499,139226,135657,191386,364290,345889,,701263,598580,516978,696515,639692,1108227,1380550,1713444,2142169,3205328,,379320,438524,285033,300070,374427,392775,460447,523176,802577,986331
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",248350,248951,282429,284907,275853,297263,318704,332166,277051,334651,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,2696167,2844598,2950591,2652187,2747627,3081619,3387189,3366262,3220989,3804947
841199,"Parts of gas turbines, n.e.s.",378519,388829,315514,271160,319950,334422,288915,331284,315873,331280,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,1402687,1327363,1509062,1130723,1231198,1206883,1084271,1166458,1156693,1137187
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",322838,297745,303255,298725,289256,290851,308317,294615,287571,324126,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,1084208,1054348,1085434,1073277,1070489,1195827,1253240,1159054,1197664,1319956
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",149311,161819,139889,131424,125637,138727,165060,191451,171901,318212,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,938302,832221,1032441,918450,1002584,992118,1198574,1247508,1169569,1368404
