Product code,Product label,Germany's imports from United States of America-Value in 2012,Germany's imports from United States of America-Value in 2013,Germany's imports from United States of America-Value in 2014,Germany's imports from United States of America-Value in 2015,Germany's imports from United States of America-Value in 2016,Germany's imports from United States of America-Value in 2017,Germany's imports from United States of America-Value in 2018,Germany's imports from United States of America-Value in 2019,Germany's imports from United States of America-Value in 2020,Germany's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
430180,"Raw furskins, whole, with or without heads, tails or paws (excluding those of mink, lamb - ...",2959,3982,2549,380,127,187,594,904,279,823,,46474,57647,73652,29822,17538,14772,15737,17140,14653,25566,,12658,18885,14802,7083,8652,17771,21622,17457,7625,10525
420500,Articles of leather or composition leather (excluding saddlery and harness bags; cases and ...,615,864,667,669,711,696,645,597,685,820,,172801,179248,163606,171852,175538,136915,162623,139900,100963,101417,,62010,67461,87323,107156,85549,82735,89251,87874,70786,81695
291010,"Oxirane """"ethylene oxide""""""""",424,541,616,589,576,752,675,668,835,820,,29558,31982,30322,21572,13217,11895,11635,9969,7754,8992,,107178,148512,133375,89505,107367,106159,118507,96779,73311,112742
290532,"Propylene glycol """"propane-1,2-diol""""""""",158,252,1123,336,269,244,275,472,498,819,,286439,213377,183589,165358,152619,161899,160967,144595,137715,223288,,25811,23344,28450,26975,26452,32123,45596,35784,29999,75229
730690,"Tubes, pipes and hollow profiles """"e.g., open seam, riveted or similarly closed"""", of iron ...""",335,523,2679,2372,544,353,320,710,491,816,,116069,83929,77782,62704,62000,78904,77820,55660,42627,47114,,31228,30940,34607,31419,36210,37127,36410,37202,26979,28489
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",600,1029,67,13,53,24,321,271,197,814,,1346317,2051214,2135944,1386730,1184701,1267422,1342998,1658868,2022841,2498225,,127840,176307,196551,129757,120192,118023,99337,124989,153896,156737
950611,"Skis, for winter sports",733,1639,1233,674,1032,724,966,936,700,813,,29966,30476,24584,22398,19193,20170,18481,19551,16167,22783,,97627,102259,92582,79061,73006,80775,86490,85121,70079,51278
901120,"Optical microscopes, for photomicrography, cinephotomicrography or microprojection (excluding ...",1532,919,533,420,906,700,1439,1032,945,812,,24182,17278,15023,17216,8044,8404,19099,18868,18800,13253,,6295,4849,6574,7109,6622,6343,10367,11256,10153,12058
293712,"Insulin and its salts, used primarily as hormones",323,277,385,499,509,385,602,819,592,810,,1019212,830308,803686,828813,1038330,1058524,1165093,1535318,1213859,976985,,6805,7407,10897,9106,9252,2409,5359,3936,3664,11392
283529,"Phosphates (excluding phosphates of monosodium, disodium, potassium, calcium and mercury)",224,140,79,218,502,335,586,874,394,808,,23153,20002,15253,13262,15084,15221,15021,14791,13728,16429,,12221,12640,14500,9645,10039,11749,13473,13182,12440,14999
850780,"Electric accumulators (excl. spent, and lead-acid, nickel-cadmium, nickel-metal hydride and ...",4672,5089,3684,7952,7509,3147,2584,2416,896,807,,174009,142109,240903,412028,143238,73723,81440,55101,33066,41678,,87287,74986,73346,59750,51535,51600,48629,46284,45368,58318
291615,"Oleic, linoleic or linolenic acids, their salts and esters (excluding inorganic or organic ...",376,357,297,362,381,499,876,696,1199,805,,11520,12891,13674,14015,14432,16397,13033,14027,13028,14608,,26499,18461,22440,25143,28839,41200,43717,29713,35627,44740
810297,Molybdenum waste and scrap (excluding ash and residues containing molybdenum),177,314,321,1933,228,430,414,1044,807,805,,4149,3101,4165,4347,2972,2577,5622,6880,8613,8921,,81633,58532,54182,32380,14622,14037,24049,45929,37830,56699
580810,Braids in the piece,239,318,424,412,406,622,503,515,463,803,,4572,4432,6288,5907,5216,5217,5620,5843,4958,17237,,9970,9165,10965,11228,10417,10180,11942,11290,11727,13431
910229,"Wrist-watches, whether or not incorporating a stop-watch facility, with hand winding only (excluding ...",74,213,258,184,177,225,417,411,922,801,,32524,36586,36118,29777,40634,48182,51721,65673,72995,70140,,36998,41794,42642,33802,29127,37823,40953,42654,54302,58597
901090,"Parts and accessories for apparatus and equipment for photographic or cinematographic laboratories, ...",1750,1480,1730,1768,1008,779,812,532,527,800,,46451,40518,56160,33229,20154,18646,15771,15026,15885,13465,,16849,19106,11560,8829,8495,7577,8084,6345,6809,6062
291440,Ketone-alcohols and ketone-aldehydes,204,154,208,156,230,246,489,532,630,796,,7227,5815,5019,5255,4985,8912,9982,7034,7868,9476,,18592,19282,21268,21058,22051,19711,25458,23150,17721,25155
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",31,15,266,11,120,274,25,147,234,794,,90572,88186,95190,74147,66015,68432,67819,63172,60614,61908,,162165,154858,147533,125274,129963,132416,165482,137927,121328,137848
950420,Billiards of all kinds and accessories,679,698,656,582,713,702,688,838,529,793,,16030,14542,13586,19091,19626,18345,21127,17769,15305,21053,,10058,9272,9347,8512,12774,15311,19485,11008,7867,10776
330710,"Shaving preparations, incl. pre-shave and aftershave products",2424,2294,2864,2546,1787,1326,1218,1006,814,791,,68558,72311,76397,95835,81845,79881,89420,87714,87216,75393,,80772,90670,97449,88134,88804,89056,90718,70556,63450,65198
730423,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excluding ...",4022,3371,4612,3801,3494,4357,4920,4271,1070,789,,342527,268978,272942,170728,168641,99742,112464,131084,74405,56047,,7326,10433,8677,7073,6602,7398,6499,8695,4703,3951
291511,Formic acid,176,197,211,241,665,260,310,298,350,788,,3563,3087,2884,3011,5898,13669,11559,11589,12870,19662,,18896,27312,22352,18430,18243,17452,24778,19941,16630,20767
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",110,183,250,215,211,134,248,230,534,781,,11832,12712,16734,22165,22657,22296,21890,23622,23493,34440,,81484,97002,96931,101566,113964,122946,140748,138774,157860,251315
380690,"Derivatives of rosin, incl. salts of rosin adducts, and of resin acids, light and heavy resin ...""",11115,9953,7573,3026,7254,9531,9211,664,948,780,,59716,65504,80466,72658,55127,52015,43958,31701,27792,37324,,98039,111173,123440,93482,112536,83743,73426,57277,49441,74533
890391,"Sailboats and yachts, with or without auxiliary motor, for pleasure or sports",761,529,470,203,979,899,128,59,32,780,,71642,75012,70497,54878,41634,76849,60751,51811,44087,40915,,38919,36537,39881,35646,48743,54320,68333,54641,79584,88902
860729,"Brakes (other than air brakes), and parts thereof, for railway or tramway locomotives or rolling ...",16,46,147,53,65,83,209,113,38,778,,54107,44815,58990,60001,58726,45788,46869,51808,27559,32367,,15369,23861,24455,12918,13745,11226,16541,14262,22134,16867
440793,"Maple """"Acer spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",1261,1108,2673,1549,1540,1152,793,505,805,777,,134847,144128,150682,118123,105496,107971,102553,86482,77928,138563,,7809,7354,7544,5670,4302,3313,3775,3377,3129,4233
760611,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm, square or rectangular ...",5675,5051,3021,2651,3647,3067,1389,902,597,776,,143187,131685,185561,134893,127071,137552,148509,99555,74881,98722,,427426,415661,380479,311401,290047,301015,371515,318820,266502,429292
391231,"Carboxymethylcellulose and its salts, in primary forms",253,202,612,960,298,198,643,367,692,776,,38352,40119,35070,33091,33890,35270,38731,37449,33147,41925,,46372,47355,44592,37949,40158,40162,41361,39667,41069,45136
900890,"Parts and accessories for image projectors, photographic enlargers and reducers, n.e.s.",162,118,94,96,89,256,319,184,334,770,,27162,21785,13495,10886,9023,9898,9195,10088,7525,7428,,1894,1364,1287,920,922,1202,1352,934,1066,1358
550319,"Staple fibres of nylon or other polyamides, not carded, combed or otherwise processed for spinning ...",138,294,183,91,1,144,256,404,274,769,,77565,81384,76085,69870,62869,65373,68912,64865,52771,69794,,39680,35521,36033,24710,22068,21336,20531,17080,14983,17681
292143,Toluidines and their derivatives; salts thereof,429,438,476,680,547,381,754,692,553,768,,21144,8287,4103,7261,5268,5887,4578,4373,5207,7732,,7016,12907,9495,15364,13463,16566,16449,19120,22054,23054
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",1204,1297,1100,1063,1175,1283,1114,779,563,767,,42672,31115,24218,26601,20189,35494,29032,34407,24313,26374,,31157,23900,23722,22471,20228,22901,25317,22580,20412,28041
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",733,942,984,2093,2071,1822,3203,2080,792,766,,240839,266747,238271,246421,265041,277351,278587,279266,251114,267978,,235860,202013,211436,178818,183535,188014,199939,194364,196026,243683
843069,"Earth moving machinery, not self-propelled, n.e.s.",352,575,298,286,341,177,1049,348,283,762,,112849,174427,167536,80824,73092,77737,90638,83208,67315,74859,,6924,16288,22665,20411,20524,20856,46066,30956,31378,31173
630640,Pneumatic mattresses of textile materials,34,40,114,359,929,641,738,725,1326,761,,6117,8904,10068,9524,9050,9235,10001,8989,9070,11157,,9990,10228,12924,10832,15812,14899,19231,20056,18738,21414
841451,"Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an ...",4563,1388,837,1148,914,1132,1559,1219,629,761,,92783,91596,84140,96195,93197,85770,106757,107847,96764,110302,,57081,53305,68483,66549,97840,90788,119308,167085,228621,185458
281700,Zinc oxide; zinc peroxide,2535,1901,1511,1108,536,401,442,441,418,760,,52769,35770,25972,31551,58553,93871,95905,37418,59341,114738,,66762,64940,68819,76086,66049,93594,95921,86128,75021,122440
284330,"Gold compounds, inorganic or organic, whether or not chemically defined",320,354,547,334,255,942,628,448,529,757,,107924,92737,101019,94373,106383,142184,132536,121776,192960,304209,,28381,19045,3356,1544,1442,10777,16976,3506,1278,5719
847981,"Machinery for treating metal, incl. electric wire coil-winders, n.e.s. (excl. industrial robots, ...",1782,1523,2223,1605,1980,2545,2202,2060,2998,754,,103111,90338,84431,116543,73932,99699,104638,85186,68795,76817,,83484,76908,94031,99456,109045,99376,105130,103725,98670,86232
560500,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ...",342,365,576,447,559,729,661,686,556,752,,11902,12668,16870,15930,18517,17698,17609,18990,15596,19066,,8518,9268,8599,7053,8103,7667,7241,6235,4099,5097
293621,"Vitamins A and their derivatives, used primarily as vitamins",448,469,371,223,226,198,270,311,570,750,,70040,72211,63012,47261,49183,37857,59684,64559,46314,67617,,58577,46401,55037,46382,52451,70254,108321,92429,92656,109852
400829,"Rods, tubes and profile shapes, of non-cellular rubber",2020,1509,989,1058,1343,1093,928,997,655,750,,33944,31863,26985,30776,27177,26643,29119,31397,32630,35107,,92685,83132,81057,68829,73029,82299,89849,85405,77760,92012
560122,"Wadding of man-made fibres and articles thereof (excluding sanitary towels and tampons, napkins ...",334,680,621,89,178,148,185,176,765,748,,17027,24824,26617,31310,33438,34005,27568,31907,41907,40496,,45285,39835,33503,28442,33275,35600,30690,15351,16335,16879
160250,"Prepared or preserved meat or offal of bovine animals (excluding sausages and similar products, ...",2555,4737,3818,8604,5169,1969,2240,1097,754,747,,175739,221519,283081,276451,218469,218048,198078,227919,233461,241735,,108534,109823,104984,90673,104047,117391,133746,132447,140896,139478
440131,Wood pellets,51,9362,7880,1610,620,281,368,28,347,745,,258234,370981,522409,682978,616109,666756,809774,947495,981660,1059261,,65449,118575,91520,76247,73804,78307,78176,65320,58427,71313
871640,"Trailers and semi-trailers, not designed for running on rails (excluding trailers and semi-trailers ...",1690,799,917,1419,1080,1373,1579,1472,968,745,,136573,162870,195764,137814,122948,159900,137187,125798,63500,95773,,66569,73962,93568,92985,108000,140826,162737,140604,139540,184759
330130,Resinoids,111,306,423,296,255,1490,1565,378,574,744,,20207,17746,9169,14004,6977,10179,11963,10122,9826,15096,,1625,1893,2155,1575,1674,2901,3566,3574,2752,2351
71310,"Dried, shelled peas """"Pisum sativum"""", whether or not skinned or split""""",1598,1467,1955,347,321,274,135,965,1211,744,,188615,247016,283738,227664,278681,207909,141318,142351,226878,211854,,29895,55683,53488,35051,27064,34479,60090,44645,49656,61777
844339,"Printers, copying machines and facsimile machines, whether or not combined (excluding those ...",5317,5262,4524,3094,2727,8772,1471,1675,1038,742,,178115,147370,129749,111467,112903,127333,143843,98543,81318,104949,,60753,57348,55322,47236,46435,44696,41044,31642,24625,36114
481940,"Sacks and bags, incl. cones, of paper, paperboard, cellulose wadding or webs of cellulose fibres ...",3399,2196,1752,1939,651,679,501,557,743,742,,114221,122095,117528,119030,116049,113224,128695,129722,126742,143596,,203977,210413,237796,226301,254595,306015,341428,324317,332012,367187
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",167,279,285,711,623,325,405,437,633,742,,41457,23778,27005,30988,29427,29642,34037,42534,45828,39180,,394617,415271,469907,424604,431519,474530,578194,603080,524656,568224
290379,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens (excluding ...,278,156,59,490,164,186,772,476,1508,740,,16156,9918,17563,30642,40191,66534,88416,68321,66446,68806,,1597,956,1023,1650,1194,1106,2646,3025,5593,8270
340510,"Polishes, creams and similar preparations, for footwear or leather, whether or not in the form ...",928,981,907,861,673,364,629,887,663,740,,13770,14427,17469,16552,18272,18660,18958,21414,21171,27869,,21393,24426,22621,24396,26637,28785,27180,24011,17743,18777
741012,"Copper alloy foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of heading ...",260,257,269,543,1258,536,583,1026,802,739,,56959,55846,56481,41717,40282,44246,54939,39470,35530,49106,,10180,7734,5504,4589,5314,5549,7201,8079,8435,9418
220850,Gin and Geneva,19,127,71,166,285,1016,1347,980,747,738,,4960,4782,7258,9223,9359,12748,16128,23891,29601,44522,,32553,38213,35990,41810,51737,63121,101918,98215,94519,101647
51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...",246,301,367,365,421,457,872,730,707,737,,71247,99879,112450,115038,113122,133178,139212,112856,97819,112069,,21042,32666,35806,27689,29027,28970,30318,30955,34935,40887
650700,"Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear ...",781,773,815,1016,1064,514,606,802,556,737,,26787,21953,19562,26481,31709,24710,23145,26182,25446,34540,,9570,11905,12486,15280,15499,15610,16443,19967,15748,19134
230690,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",738,85,0,110,273,0,200,117,641,736,,22117,23778,41044,31781,4324,3422,2782,2752,3731,5450,,3705,3253,4721,3818,5517,5868,8800,10371,6025,5739
846510,"Machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials, ...",659,57,0,222,228,49,309,1,173,735,,21568,17705,20788,28951,16971,22862,25514,14762,11280,19082,,52662,67580,47369,53681,68438,79791,89018,67334,66398,44020
210111,"Extracts, essences and concentrates, of coffee",111,150,40,100,360,3535,502,535,373,732,,118742,105831,93290,89809,109133,114666,120534,122851,109211,105400,,412298,336876,353433,342300,330635,379564,369606,338683,295336,289170
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, ...",233,224,181,552,215,166,121,204,982,732,,9011,4768,9015,12835,8028,12176,13019,21550,9362,13319,,14238,18348,10929,9976,11652,13094,14460,10451,12544,9972
846390,"Machine tools for working metal, sintered metal carbides or cermets, without removing metal ...",315,1045,865,614,1099,1562,4071,731,3905,732,,81056,88205,80613,62473,60456,78007,77880,73543,54525,53895,,36678,34432,33650,27195,27873,38178,28731,22067,20967,16156
410792,"Grain splits leather """"incl. parchment-dressed leather"""", of the portions, strips or sheets ...""",204,187,132,722,572,413,358,492,393,732,,17488,17285,18890,19490,17417,19039,21531,22718,11727,11415,,188320,204246,183414,116188,103628,101140,95353,77636,52826,67817
722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or ...",895,646,1419,978,1717,932,896,669,786,730,,73068,46463,52554,47369,48254,42808,50483,45924,34296,27594,,62900,58972,61461,55254,47946,56312,71473,73006,62974,85761
291212,"Ethanal """"acetaldehyde""""""""",199,317,180,182,276,517,540,468,700,730,,1045,4418,4732,4186,4583,6380,3841,3097,3231,4183,,4729,8456,13865,8927,10376,13561,11995,11002,12420,14144
30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...""",2749,3206,1444,1016,486,815,1217,754,701,725,,7484,8571,10711,14103,15116,22548,32429,42291,37644,25831,,13258,14562,14150,10916,12777,10157,9828,10766,8740,11593
621600,"Gloves, mittens and mitts, of all types of textile materials (excluding knitted or crocheted ...",526,567,502,590,485,480,563,486,469,724,,37158,40957,42303,35187,30415,29856,32816,33475,27507,33346,,81247,80577,80971,70180,64974,75207,79039,77825,75778,79282
482340,"Rolls, sheets and dials, printed for self-recording apparatus, in rolls of a width <= 36 cm, ...",1159,1073,1090,1442,1132,1026,876,848,561,724,,35417,32381,24044,19221,21571,21537,18306,15923,10593,12961,,4212,4058,4608,4130,4630,3987,3593,3036,2482,3385
871620,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,209,102,27,0,154,75,129,323,234,722,,64490,62948,64074,35625,46640,52567,56033,47401,52263,71084,,57426,62901,60977,52237,50311,52968,72562,81568,94333,111702
284329,"Silver compounds, inorganic or organic, whether or not chemically defined (excluding of mercury ...",700,1198,1937,1216,1465,1100,979,787,430,721,,14961,11114,9223,9266,8190,11898,15337,15426,6995,13425,,20668,23068,8260,3600,4539,6067,9996,5105,13093,80604
730791,Flanges of iron or steel (excluding cast or stainless products),870,1109,747,835,1114,1300,1202,1342,2288,718,,146228,152733,181336,133180,90177,87684,96641,96414,80217,85991,,151983,148352,146135,117811,98656,105755,138912,138448,108259,123803
722990,"Wire of alloy steel other than stainless, in coils (excluding bars and rods and wire of silico-manganese ...",9926,7619,5839,4063,1572,2151,4276,1351,781,718,,61060,61053,69001,63109,58426,69965,68598,54844,39105,60743,,253361,248879,257320,212461,204074,244002,296468,218920,191841,304497
731449,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection (excluding ...",1276,334,270,337,1255,2233,1898,1649,1777,718,,11343,15947,15577,11606,11830,15172,15241,11023,10756,14484,,13424,16924,22576,17804,16724,16895,14992,17341,24550,39250
851650,Microwave ovens,666,571,500,422,373,343,415,534,477,717,,42915,38551,44448,39183,42373,43192,47050,50479,47674,57436,,205272,207474,224053,193444,178157,175809,194992,198126,213993,273004
721510,"Bars and rods, of non-alloy free-cutting steel, not further worked than cold-formed or col ...",760,615,659,303,471,434,671,663,466,716,,25965,26277,24857,22772,23783,24663,23418,13755,11882,18967,,136722,144135,149340,117897,122908,159759,208405,163122,127853,213072
481620,"Self-copy paper, in rolls of a width of <= 36 cm or in rectangular or square sheets with no ...",167,106,200,119,90,105,239,431,647,714,,116929,100467,99445,88105,85149,84867,87270,61681,45549,41060,,866,766,648,396,546,813,1355,1737,2814,2925
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",11216,4826,8471,1652,1676,3196,3420,1907,2716,713,,1383596,1601393,1659188,1436338,1370021,1781376,1619239,1463687,1445808,1565597,,675414,677281,718728,581265,571348,572428,570065,518140,522785,574992
732399,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",251,320,402,443,241,229,200,574,617,703,,55870,53426,52238,53349,54598,56485,63379,61743,66190,74009,,184195,179025,189391,178321,175270,180609,208491,212983,236032,315654
360690,"Ferro-cerium and other pyrophoric alloys in all forms; metaldehyde, hexamethylenetetramine ...",1705,1415,1962,1005,657,479,210,567,370,702,,13597,15611,18475,16148,8550,8700,10011,11681,8785,9140,,22556,25657,24133,18629,16836,20438,20339,18706,15550,15934
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",988,578,699,1984,5603,6517,6927,1725,859,701,,52423,67488,59505,162741,28929,49208,94543,32265,22321,20453,,18102,20019,24994,21380,28139,31436,23790,22114,13312,15448
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",466,601,439,293,462,1061,1705,2913,461,700,,57340,64643,67456,64478,65296,65115,73262,77422,65909,70372,,43286,46892,65200,52234,50298,54753,53757,51095,46487,53283
722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled ...""",386,343,516,471,425,347,694,1052,1567,699,,69081,75511,89125,78026,61338,59697,63006,66421,58959,71879,,32614,23901,8738,24263,28484,26376,44029,46100,55157,80826
10121,Pure-bred breeding horses,2889,573,811,518,372,920,546,1832,474,697,,264246,227543,225456,202889,259144,260551,303662,249655,186922,191461,,14720,16272,31814,20246,14334,22227,37518,29343,28725,22445
290619,"Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or ...",2258,2070,1931,1862,1604,703,1036,722,763,696,,46447,51728,37766,39994,35018,50241,42644,53820,49830,44061,,19693,22519,27099,26875,28154,26958,35759,49234,46486,58076
190531,Sweet biscuits,3268,2966,3370,2610,2766,1909,1246,307,866,695,,231754,232411,226169,202664,184694,188897,198994,209579,173446,222639,,432962,479845,477801,444527,448842,493259,494443,470022,510179,523233
282890,"Hypochlorites, chlorites and hypobromites (excluding calcium hypochlorites)",655,854,1047,1014,1050,1160,648,644,493,692,,14029,17543,15844,11573,12221,14026,15286,14681,17520,19561,,15142,16030,12911,10429,11174,17305,21736,27673,33131,30071
846410,"Sawing machines for working stone, ceramics, concrete, asbestos-cement or like mineral materials ...",515,848,3222,196,228,386,389,1582,669,692,,27873,27280,30416,28235,29072,32220,32165,29539,31797,35459,,27685,28732,33633,26790,25183,25678,27058,35172,31157,35850
270210,"Lignite, whether or not pulverised, non-agglomerated (excluding jet)",132,110,187,44,64,66,17,311,15,689,,10302,10474,11081,11188,7350,7604,10050,9707,10478,9585,,2345,6728,7132,3475,4686,5378,6070,5596,17220,13165
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",6909,5955,7800,6619,5250,1922,802,675,382,687,,366411,376744,389316,381734,358465,354710,347183,343408,374533,422257,,729848,773455,790959,747867,834424,909406,1027049,1043923,1131509,1334336
120929,"Seeds of forage plants for sowing (excluding of cereals and of sugar beet, alfalfa, clover ...""",857,824,973,399,539,528,582,1033,929,682,,124160,155279,125983,124595,93204,78506,92447,90151,90804,116509,,29565,30845,33135,30280,35037,29981,34873,37284,46652,45109
722599,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ...""",69,32,32,9,6,79,2200,3428,2330,682,,96242,86709,109633,150808,155147,156058,191950,189799,108478,166722,,151032,176667,232871,224350,257723,326763,350990,328951,287204,297023
722490,Semi-finished products of alloy steel other than stainless,279,72,5,135,84,104,1126,2361,1154,681,,55323,41661,43867,32571,43539,30182,25371,38001,43931,38358,,248706,291585,290699,187419,230874,344942,346307,261516,149693,212314
821000,"Hand-operated mechanical devices, of base metal, weighing <= 10 kg, used in the preparation, ...",911,1035,788,914,1183,690,585,788,565,679,,27685,26967,26454,30911,33305,30719,26997,22198,20138,25824,,46058,52265,53432,51550,53614,50930,50150,60586,65667,81179
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",754,1094,1049,897,835,553,768,545,727,679,,83724,85976,90209,95716,81724,75298,76955,78784,63681,67593,,1164341,1192712,1203291,1058832,992882,962128,992982,908887,715525,622382
120923,Fescue seed for sowing,1886,1229,1026,1041,272,384,103,88,514,679,,43168,45702,43118,41237,39252,51318,50777,40590,45389,82758,,21154,20543,22302,18141,19659,18952,21668,26696,26509,31461
842541,Built-in jacking systems of a type used in garages,605,795,1619,1828,1685,2774,1666,906,348,677,,16758,17803,19625,25314,22873,20421,22876,18779,15962,14821,,37920,39884,43306,37371,41937,44890,57827,49871,53323,97092
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",478,586,461,394,500,758,1229,853,708,674,,64948,65025,59883,74946,61394,47199,48604,54003,40158,34124,,494577,515888,533297,476254,450387,483711,519896,542874,459470,496751
370256,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...""",9,88,87,191,1586,448,357,909,534,674,,1465,612,2350,348,811,635,325,2086,802,534,,70,187,217,347,1780,993,1140,1506,804,937
850750,Nickel-metal hydride accumulators (excluding spent),1381,1240,1045,1225,1103,1180,1869,1235,668,672,,30165,35320,35655,37093,34787,35300,26597,25203,25220,19148,,242470,217289,175152,148690,160340,139479,146633,155621,137008,138141
220422,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",0,0,0,0,0,294,909,1142,663,669,,0,0,0,0,0,17889,22888,24035,21793,28978,,0,0,0,0,0,38385,46640,50269,42623,43942
820231,"Circular saw blades, incl. slitting or slotting saw blades, of base metal, with working parts ...",614,579,669,683,736,654,688,636,698,666,,20407,20411,20073,20299,18096,18172,18625,19173,16558,21025,,41403,42795,45281,38508,35704,39135,40309,35224,34017,41893
760691,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm (other than square ...",168,66,316,224,206,86,130,49,161,665,,84890,88775,105404,93117,91518,114329,199569,149915,89587,13444,,82296,69442,61782,60442,56990,62588,95140,82164,66305,90437
590691,"Knitted or crocheted textile fabrics, rubberised, n.e.s.",118,71,58,12,23,11,4,4,0,664,,12241,8665,5123,4052,8717,10681,14443,11810,10712,11201,,1793,1941,2045,1267,1406,1348,1343,681,773,1861
392520,"Doors, windows and their frames and thresholds for doors, of plastics",271,348,476,683,993,629,653,824,521,662,,188104,152710,146560,137263,131606,135327,129181,132193,113738,135443,,260453,214038,223312,190150,234040,286205,353860,345595,390486,416764
950710,Fishing rods,1179,1360,873,883,857,649,894,544,687,662,,28389,27032,29033,25917,20329,20448,21924,18429,19856,27218,,33117,30890,30770,31829,29470,28552,29623,25518,25897,27356
391610,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",909,519,561,527,331,562,724,394,394,662,,46791,53840,67737,80703,77078,130431,168429,148441,121525,138458,,48230,43559,46940,37851,33825,36082,36452,32571,34483,42713
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",14464,16020,13614,9176,8294,7874,7836,1184,858,660,,115318,118017,88401,64992,57353,53131,47184,31898,20899,28493,,122870,113310,122085,90800,87060,82222,75271,55713,48083,46922
630622,Tents of synthetic fibres (excluding umbrella and play tents),356,196,283,449,454,783,710,504,15051,659,,34172,35531,32812,41270,28235,34782,31699,32647,34121,51871,,80962,73951,75363,96939,98803,97651,103088,108669,136707,162450
820210,"Handsaws, with working parts of base metal (excluding power-operated saws)",318,365,557,376,416,482,346,450,548,658,,15477,12966,14253,11543,11790,10098,10155,8398,9115,8775,,22397,21440,23305,22267,24818,23691,25756,22854,26707,31182
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",1109,547,0,571,1216,2910,1921,2462,561,658,,50954,46362,36851,27189,23723,33268,30931,24042,31419,30260,,28844,29181,20826,18481,20678,25573,25938,22254,22307,24908
910690,"Time of day recording apparatus and apparatus for measuring, recording or otherwise indicating ...",328,327,406,423,660,603,666,750,563,658,,23592,21690,19336,19591,17657,17308,22404,22169,19067,17346,,10890,12255,9465,9827,10058,11077,10681,12848,16147,15267
