Product code,Product label,Singapore's imports from Saudi Arabia-Value in 2012,Singapore's imports from Saudi Arabia-Value in 2013,Singapore's imports from Saudi Arabia-Value in 2014,Singapore's imports from Saudi Arabia-Value in 2015,Singapore's imports from Saudi Arabia-Value in 2016,Singapore's imports from Saudi Arabia-Value in 2017,Singapore's imports from Saudi Arabia-Value in 2018,Singapore's imports from Saudi Arabia-Value in 2019,Singapore's imports from Saudi Arabia-Value in 2020,Singapore's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,0,12,11,0,278,,7840,10449,1311,14,6524,9899,10901,19000,25001,8446,,9121,6531,6485,4471,10508,13281,8061,8762,9016,17954
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",7,0,0,0,0,33,0,4,0,229,,91162,76932,45343,42285,48966,47000,19041,15627,11014,26403,,96420,84775,77508,69449,67083,81010,75846,69781,67634,89406
901110,Stereoscopic optical microscopes,0,0,0,0,0,0,0,0,0,226,,0,0,105,11,3,0,26,0,0,0,,6406,7819,8707,6056,8606,8033,8702,8093,7209,8058
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",0,579,1291,308,57,116,0,31,0,220,,365,257,1015,226,19,58,46,167,32,3857,,16116,11870,23073,21675,11209,14871,21761,19809,15497,19757
392321,"Sacks and bags, incl. cones, of polymers of ethylene",67,37,0,62,3,0,0,0,0,219,,5404,4927,9224,9084,23856,47732,36795,52550,19399,44819,,81634,81286,69966,57513,70801,76589,87485,90385,87289,100956
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,137,52,285,209,,0,0,0,0,0,0,0,0,0,9718,,0,0,0,0,0,0,4199,4335,7542,9582
847989,"Machines and mechanical appliances, n.e.s.",225,7,134,14,222,400,20,8,117,206,,6921,2751,6218,8243,6797,12924,6767,324,102,134,,759158,585962,539417,481101,467032,520374,628941,737023,712519,1007466
40620,"Grated or powdered cheese, of all kinds",0,0,0,0,23,0,16,199,181,185,,16426,22059,24319,31331,29188,57554,47112,51695,27217,43081,,8893,10071,11410,14759,16224,17696,18087,19042,20896,26096
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",68,0,0,0,0,0,299,79,95,182,,6507,8986,10853,10951,3413,2842,1773,14,78,810,,22801,28786,39068,44590,43401,54696,69317,90398,125777,157006
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",378,405,300,234,141,192,213,159,92,180,,2026,1467,4577,1868,113,48,0,0,35,749,,17839,16051,18646,14368,13962,9861,10360,15120,13864,11902
382440,"Prepared additives for cements, mortars or concretes",0,0,0,0,0,0,0,69,93,171,,5141,16979,29250,24262,22966,24641,20575,14839,14467,24813,,49802,50681,50356,38678,27915,26641,25951,28819,17697,25846
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",0,0,0,0,0,0,0,101,100,171,,6598,6145,11628,14992,8358,16538,27477,17626,12315,19259,,2007,3211,3062,2600,3516,3046,3074,3485,2807,2950
