Product code,Product label,"Taipei, Chinese's imports from India-Value in 2012","Taipei, Chinese's imports from India-Value in 2013","Taipei, Chinese's imports from India-Value in 2014","Taipei, Chinese's imports from India-Value in 2015","Taipei, Chinese's imports from India-Value in 2016","Taipei, Chinese's imports from India-Value in 2017","Taipei, Chinese's imports from India-Value in 2018","Taipei, Chinese's imports from India-Value in 2019","Taipei, Chinese's imports from India-Value in 2020","Taipei, Chinese's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
590220,"Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with ...",0,0,0,0,0,0,0,0,0,0,,3414,886,748,3143,476,466,353,324,132,154,,27653,26242,27924,26769,25565,27306,22707,21788,19990,19421
590320,"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excluding wallcoverings ...",0,0,0,0,0,0,0,250,0,0,,1749,4554,5465,2722,2174,2651,3480,5012,13967,3638,,11928,13042,13560,12098,11055,16008,13307,15733,14462,13220
600121,"Looped pile fabrics of cotton, knitted or crocheted",0,0,0,0,0,0,0,0,0,0,,8663,8035,7919,9510,9879,8102,6607,9847,9307,38464,,44,21,49,46,32,57,17,8,13,7
600191,"Pile fabrics of cotton, knitted or crocheted (excluding """"long pile"""" fabrics)""""",0,0,0,0,0,0,0,0,0,0,,5722,1542,2452,975,101,856,189,78,260,297,,57,67,125,37,116,19,29,20,12,14
600543,"Warp knit fabrics of artificial fibres, of yarns of different colours """"incl. those made on ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,1,,0,0,1,4,0,9,19,9,1,0
600624,"Printed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",0,4,0,2,0,0,0,0,0,0,,13230,19905,13327,9922,5297,6329,8168,10854,9877,37927,,288,443,550,381,61,59,95,66,51,22
600644,"Printed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding ...""",0,0,0,0,0,0,0,0,0,0,,25,5,89,372,61,44,48,697,339,174,,102,66,165,106,38,19,32,11,32,14
610341,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",0,0,0,0,0,0,1,0,0,0,,72,50,55,4,151,193,168,1067,74,196,,154,55,90,143,145,135,209,229,296,367
610413,"Women's or girls' suits of synthetic fibres, knitted or crocheted (excluding ski overalls and ...",0,1,0,1,0,0,0,0,0,0,,6498,16328,15303,31592,10429,13179,1556,3150,1207,2087,,62,22,22,35,22,27,20,19,14,25
610433,"Women's or girls' jackets and blazers of synthetic fibres, knitted or crocheted (excluding ...",1,2,0,0,2,0,0,2,1,0,,3597,3331,11718,10651,17058,7539,6377,6781,5359,8719,,1139,904,935,1044,1399,799,852,790,677,854
610461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",1,5,0,2,0,0,2,0,0,0,,1293,4193,6179,147,602,394,23,179,72,261,,286,269,330,303,337,350,462,734,666,1104
610819,"Women's or girls' slips and petticoats of textile materials, knitted or crocheted (excluding ...",0,1,0,0,0,0,0,0,1,0,,13441,15960,13695,15084,11503,3956,4352,3593,4295,4403,,58,18,23,38,18,42,29,4,56,38
620421,"Women's or girls' ensembles of wool or fine animal hair (excluding knitted or crocheted, ski ...",0,0,0,0,0,0,0,0,0,0,,366,154,200,139,120,120,66,150,60,79,,68,22,48,28,44,19,10,18,3,12
621390,"Handkerchiefs of textile materials, of which no side exceeds 60 cm (excluding of cotton, and ...",3,2,0,1,0,0,1,0,4,0,,1878,1516,1711,1389,1721,2852,2715,1465,767,778,,213,93,130,119,146,220,182,588,754,572
620722,"Men's or boys' nightshirts and pyjamas of man-made fibres (excluding knitted or crocheted, ...",0,0,0,0,0,0,0,0,0,0,,2717,5856,5781,10271,40271,55911,15558,8457,7114,5610,,8,10,24,20,684,1219,1052,19,10,36
620323,"Men's or boys' ensembles of synthetic fibres (excluding knitted or crocheted, ski ensembles ...",0,0,0,0,0,0,0,0,0,0,,11800,9269,8930,13671,24835,40298,9423,10069,25575,7425,,16,45,16,33,443,6,2207,146,231,835
611490,"Special garments for professional, sporting or other purposes, n.e.s., of textile materials, ...",0,0,4,1,1,0,3,1,1,0,,49248,125254,199393,208826,184864,169628,238304,135681,98570,145101,,716,547,469,234,344,293,504,331,315,602
611529,"Pantyhose and tights of textile materials, knitted or crocheted (excluding graduated compression ...",0,0,1,1,0,1,1,1,0,0,,10110,10804,10441,2632,3067,26028,32880,40496,52238,78823,,573,611,817,891,1209,950,600,758,298,366
732111,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",0,0,0,4,0,0,0,0,0,0,,3433,4930,5679,5589,7702,6357,7996,9782,12357,23068,,2957,3029,4091,4938,5939,6084,6297,3987,6940,12009
730810,"Bridges and bridge-sections, of iron or steel",0,0,0,0,0,0,0,0,0,0,,4873,4184,2789,4381,9549,6105,10485,8968,4049,6916,,10546,212,264,383,191,1381,66,2530,1168,2676
731581,Stud-link of iron or steel,0,0,0,0,0,0,0,0,0,0,,138,26,128,79,351,109,196,508,53,211,,347,517,594,595,421,417,451,681,464,1075
731812,Wood screws of iron or steel (excluding coach screws),0,0,0,0,0,0,0,0,0,0,,2891,3446,3351,1768,1523,1387,1071,1297,1464,1459,,149,153,125,192,95,79,123,347,285,192
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",0,0,0,0,0,0,0,0,0,0,,1395,2047,2214,3689,3180,4128,5753,7475,4363,12262,,65761,102471,124098,72095,84695,134353,151847,129246,106962,218126
740939,"Plates, sheets and strip, of copper-tin base alloys """"bronze"""", of a thickness of > 0,15 mm, ...""",0,0,0,0,0,1,0,0,0,0,,386,125,367,511,237,76,277,730,417,184,,1280,812,798,1116,604,1766,861,932,912,1182
740940,"Plates, sheets and strip, of copper-nickel base alloys """"cupro-nickel"""" or copper-nickel-zinc ...""",0,0,0,0,0,0,0,0,0,0,,2478,132,8620,10262,10843,13862,1761,277,111,301,,8115,8227,5579,4109,4387,5999,9531,7255,8344,14483
741121,"Tubes and pipes of copper-zinc base alloys """"brass""""""""",0,0,0,1,0,0,0,5,0,0,,8316,10370,6856,7270,7233,7778,9055,10078,7892,16598,,17976,17567,19050,15064,12213,15844,15644,13486,12967,21797
740319,"Copper, refined, unwrought (excluding copper in the form of billets, wire-bars, cathodes and ...",0,0,0,0,0,57,0,0,0,0,,2148,3170,1090,1226,17,982,226,3463,12869,32630,,140172,170161,173290,123332,119558,152829,188962,148283,159678,234471
760410,"Bars, rods and profiles, of non-alloy aluminium, n.e.s.",0,0,0,0,0,0,1,0,0,0,,10806,12433,5505,10009,8129,10846,9713,9701,7798,10416,,6699,8046,8441,8549,9070,6564,10367,10266,8490,13181
722012,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,845,1723,2360,4207,2280,4134,3493,2089,1429,1572,,1552,987,868,894,456,506,581,1025,914,834
721935,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,0,,580,1915,1019,2334,2134,2012,1083,587,1032,13455,,25371,20646,18086,15050,13929,18226,24922,14747,18229,20646
722810,"Bars and rods of high-speed steel (excluding semi-finished products, flat-rolled products and ...",0,0,0,0,0,0,0,0,8,0,,8217,11923,9163,2786,1556,1040,1305,1182,1164,1766,,44352,29828,42407,34865,31134,38374,43708,39628,28640,38659
722870,"Angles, shapes and sections of alloy steel other than stainless, n.e.s.",0,0,0,0,0,0,0,0,0,0,,13,265,8,3111,319,66,7459,4149,3071,13250,,1337,492,1525,271,270,158,1647,168,1533,802
730110,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements",0,0,0,0,0,0,0,0,2,0,,414,1783,1768,2103,1469,1575,2084,3701,2039,5360,,15960,16283,15703,11528,14335,9588,12184,13837,38999,30091
730423,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excluding ...",0,0,0,0,0,0,0,0,0,0,,108192,82112,76417,9786,4595,2650,5764,5924,1906,4322,,245,76,91,193,275,147,211,826,767,452
730520,"Casing of a kind used in drilling for oil or gas, having circular cross-sections and an external ...",0,0,0,0,0,0,0,0,0,0,,219,192,71,57,29,6,9,2,99,290,,94,15,17,1,0,0,0,0,0,1
720229,"Ferro-silicon, containing by weight <= 55% silicon",0,0,256,17,198,5,48,38,0,0,,4066,2354,2020,4604,2194,2655,2508,2179,1148,2035,,5737,5288,4963,4984,3883,3675,3548,3419,2997,8616
