Product code,Product label,Australia's imports from United States of America-Value in 2012,Australia's imports from United States of America-Value in 2013,Australia's imports from United States of America-Value in 2014,Australia's imports from United States of America-Value in 2015,Australia's imports from United States of America-Value in 2016,Australia's imports from United States of America-Value in 2017,Australia's imports from United States of America-Value in 2018,Australia's imports from United States of America-Value in 2019,Australia's imports from United States of America-Value in 2020,Australia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",0,0,0,133713,407462,375351,400683,382198,286348,352186,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,0,0,0,235693,661263,654823,667948,629710,500337,549099
841112,Turbojets of a thrust > 25 kN,71231,82590,203078,185960,130194,201295,101343,135913,169205,332419,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,166749,172488,254279,206702,171577,257689,197560,232953,221257,351628
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",329574,306513,403261,398247,327869,354230,497463,456297,388130,330733,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,281561,366775,263461,247133,314849,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,911014,1113101,1075950,1192741,1719665
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",423010,569660,490768,417890,274182,287720,223026,267421,212131,279483,,5730608,5424783,5982380,5683352,5304406,4696800,4291074,5292635,4023263,3920326,,2508429,2624124,2621305,2603564,2500042,2363943,2387671,2107909,1927074,2450949
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,135108,207917,265191,294211,260580,,0,0,0,0,0,842996,1096736,1219441,1086744,1182221,,0,0,0,0,0,606780,780176,862347,785971,761094
850760,Lithium-ion accumulators (excluding spent),14096,14747,12539,12399,22823,78503,88105,135357,51551,240473,,242145,660269,754093,796771,1115250,1292131,1395701,1499629,1650655,1595584,,85045,102352,118151,119896,156551,264456,308046,386732,340112,736260
842951,Self-propelled front-end shovel loaders,406305,184249,137217,111750,105501,142391,140819,143254,163226,223041,,3133054,2378972,2282301,1916261,1470447,1809855,2083251,1774136,1461915,1713733,,804816,390739,322915,278919,288083,468809,565864,471690,511144,775655
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",307174,194447,199579,196601,122414,152685,172615,185613,240419,219064,,4267560,3505876,2807464,2442841,1957694,2315857,2730445,2753444,2284065,2685410,,1034461,804278,623953,541078,471323,644629,857601,829105,932388,941738
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",23010,21171,19096,18527,15312,21660,56849,125177,158498,215039,,7780010,9023051,8208307,7640309,8727099,9997029,9113860,11504202,8301872,9938208,,269176,264226,191158,184740,197037,181938,240598,289260,327729,539206
870195,"Tractors, of an engine power > 130 kW (excl. those of heading 8709, pedestrian-controlled tractors, ...",0,0,0,0,0,174539,163253,139034,178555,209633,,0,0,0,0,0,1330222,1476175,1391964,1240791,1541766,,0,0,0,0,0,257451,254231,222144,244841,305169
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",117451,125537,142065,160096,147382,148528,187000,194846,181503,207288,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,392746,414714,444894,461474,464097,498852,637900,651889,602796,673292
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,19,0,1,9051,200057,,0,0,0,0,0,459119,413100,806875,1558396,2511447,,0,0,0,0,0,137831,284489,564837,1144747,1687075
843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",170321,121076,114678,119019,120521,138689,113267,94094,116637,199017,,920546,849305,921140,834632,793541,842951,820189,669101,640692,873661,,230036,162460,161978,172685,167118,204473,172488,162354,207388,341786
271112,"Propane, liquefied",689,362,71925,303,55079,141146,172799,107722,117062,196762,,2725652,5010392,7705525,5559960,7400924,12367965,14465276,12404374,11078764,21022232,,310830,342701,274798,157872,150398,193464,209861,127066,122077,205144
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",169224,138677,207169,276477,219982,235562,272800,225775,211760,182397,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,810844,660883,727490,1046636,879162,1100551,1598805,1518830,1443748,1788608
20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",177588,140049,150796,131492,137361,166651,179511,251210,235359,177093,,2271714,1955905,2183699,1763313,1710783,1932253,2176308,2310049,2825995,2695164,,458790,422686,457957,412600,372029,443380,432459,558352,473493,525333
842911,"Self-propelled bulldozers and angledozers, track laying",578564,86288,33249,66390,32538,60208,115917,193200,119543,170965,,859837,556676,614575,371982,310625,381485,556809,415679,294408,393035,,706292,132257,89033,107405,79225,157690,251976,307852,232694,311521
210690,"Food preparations, n.e.s.",114892,151038,181240,159347,147997,114373,155515,154642,147638,168268,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
271312,"Petroleum coke, calcined",225579,181813,163372,147255,109544,108762,216188,148441,96972,167619,,1702513,1344256,1165293,1052906,884550,1127691,1901377,1675174,975438,1359672,,323706,263860,216516,206053,163507,177598,287262,207032,159549,264592
930690,"Bombs, grenades, torpedos, mines, missiles, and other ammunition and projectiles, and parts ...",177151,154683,191317,112468,223497,114375,130388,154690,57777,157529,,2548249,3118628,2945674,3414612,3813976,3676746,3516889,3836157,2401288,2287284,,247661,254806,217968,153499,248864,165966,182926,206450,90104,226441
841191,"Parts of turbojets or turbopropellers, n.e.s.",302478,73031,85283,113694,77815,70420,92338,120797,140386,157058,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,494096,195883,206957,221895,192694,176596,213027,232756,241449,298914
260800,Zinc ores and concentrates,83965,54107,97682,76463,106769,160780,166265,138438,99066,154060,,854157,906691,1181326,1028176,977001,1483768,1562258,1365372,867367,1517455,,124099,172519,232034,163420,341448,509292,579905,292737,217286,323343
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",135371,206729,276568,235209,280269,265238,248909,234311,122059,151773,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",212954,211457,255922,209021,179648,170440,171701,173103,147047,148829,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
902110,Orthopaedic or fracture appliances,108357,123571,118350,113051,119366,112879,135762,135371,140764,139074,,1683157,1989549,1989065,1993639,2070229,2108468,2265253,2311169,2131088,2582380,,201176,239745,236793,212259,252211,289552,312899,283249,296047,348114
902131,Artificial joints for orthopaedic purposes,124910,136854,117438,137053,157530,152706,162736,120914,117622,134303,,1624899,1684502,1691253,1656330,1792347,1815604,1892593,1902504,1496713,1530241,,280043,276548,303156,305069,348923,341613,339690,289570,266111,335171
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",108817,109817,103691,90741,91176,97965,107646,105804,108641,129792,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,657758,668580,685486,634586,625176,698755,786044,751248,903008,969416
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",222547,180889,159915,145982,112143,123257,139732,140782,107480,129018,,11850020,10797792,10674546,11772683,10543240,11167993,10078492,9230539,7438310,8692030,,732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",118747,119513,117195,107317,108446,103178,124383,103735,112555,126948,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,234088,237304,254166,278917,291337,262758,309813,275842,281137,344631
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",102616,102656,113386,127505,108781,119683,115916,98353,105186,122535,,2381134,2283805,2437360,2296613,2169990,2306589,2388030,2116973,1820914,2206297,,249074,246107,257258,260900,238450,281389,296784,264586,268958,312668
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,140504,134380,141550,136894,123327,128737,114034,100366,95839,119544,,2749292,2834288,2875677,2845697,2528613,2516062,2368866,2492723,2565065,3040652,,348996,384655,342766,300219,290062,303054,295215,276456,275232,304366
230910,"Dog or cat food, put up for retail sale",81691,92307,83139,80503,81378,80092,85523,91036,100778,117874,,1312828,1364636,1318868,1287170,1315328,1381545,1462243,1630156,1724441,2071812,,195218,232910,238974,218948,231295,231405,267268,290900,312922,392148
880212,Helicopters of an unladen weight > 2.000 kg (excl. unmanned of heading 8806),0,0,0,0,595945,200318,32070,24468,18941,117302,,760653,1173967,1659831,1908254,2326646,837754,655356,1896257,1200841,1888182,,0,0,0,62822,1006347,298402,169091,70225,143401,152337
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",205893,152732,189155,116171,155570,134736,103821,116167,82205,115670,,2287603,2327695,2468013,2541122,2733749,3017606,3158880,3090826,2879060,2803422,,575500,560789,578261,496729,517604,459998,421460,422166,378786,503888
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",73377,107744,112049,115796,101181,129185,129535,148006,98619,114988,,7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429,,649352,670282,680273,645972,678491,749131,778546,838346,726916,1063239
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",68004,72525,78567,77749,91317,113359,98909,101386,86433,113063,,1782484,1721120,1750853,2005847,1845017,1797565,2061982,2507461,1999064,2377755,,230852,228942,256896,243918,238744,263720,248460,248663,259472,330468
847989,"Machines and mechanical appliances, n.e.s.",158306,147883,143291,127089,97544,95722,118538,121987,90335,112834,,3313444,3951424,4247448,4077682,3449591,3672177,3650442,3787243,3267817,3352429,,1122572,770085,824049,1294588,734904,684131,660518,695531,605930,859405
901420,Instruments and appliances for aeronautical or space navigation (excluding compasses and radio ...,99360,87547,79976,109333,114114,95055,88137,118698,69324,107893,,133641,242612,180176,195682,245402,261245,358524,362914,252374,187338,,176159,150456,148452,182093,167037,156162,171541,194213,150025,209565
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",85824,67288,60921,58165,45236,44999,78384,62650,67319,100399,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,268451,189913,181199,168126,157333,140462,191867,195185,184028,258628
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),283604,125041,88580,107253,73148,101108,101014,115947,138978,98348,,3085874,2679377,3211803,3034349,2309279,2033391,2010595,1876065,1702842,1676601,,307920,214440,197971,163085,207557,202620,112352,145203,177517,135150
842920,Self-propelled graders and levellers,223648,67640,37782,25104,16709,33531,95295,101758,59810,96077,,964593,672523,589154,451894,327499,439203,476042,449321,364754,420130,,310866,135490,87119,49974,55696,69955,175627,165543,127449,174459
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",145943,142961,114798,98001,111629,111080,90388,75335,56977,95918,,953775,1048069,1108448,1022164,1079827,1065749,1074059,959543,422170,641833,,292913,274426,254647,233669,253568,236142,192050,169036,144521,245073
870120,Road tractors for semi-trailers,0,0,0,55930,53385,69377,86306,50231,53658,94436,,3325688,2760796,2800561,2428089,1632024,1895456,2643626,2989553,1531193,2072304,,0,0,0,114873,202922,315736,337333,308088,214576,364977
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",119494,114163,114177,125452,125585,119119,122807,136090,103326,94425,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,457825,463563,462692,508964,449094,450725,486776,504438,486250,581294
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",124372,148894,151455,84183,68198,87182,93672,101924,76664,92415,,2787897,3093123,4694351,3413810,3094908,4442878,5486401,5856999,4370002,5597083,,302709,309622,286283,193415,182999,201158,228644,213112,169151,239296
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",238609,104389,155313,136877,125615,107193,108232,66229,75778,88853,,1152967,936911,1011101,1087735,945951,816621,948715,1100961,849024,1111823,,372078,271584,390925,348220,347098,321550,369757,360638,310503,582751
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",124110,157928,67469,129362,65666,55953,48932,56567,63118,88811,,1151491,1081557,1381556,1410528,1368381,1037501,913382,767828,463711,472152,,231639,251923,172549,205200,127177,104537,115501,103248,98236,136207
220830,Whiskies,126723,120286,102088,99933,87964,96756,92049,93909,98515,86733,,1222084,1282002,1296170,1238872,1149890,1317481,1357714,1194986,1020080,1060833,,301626,321323,280190,263255,278204,292636,310844,341401,296169,294301
843351,Combine harvester-threshers,216663,142203,105147,107194,56244,81999,50259,28098,29364,86428,,1743419,1517963,1169150,1137635,824402,963472,1117194,1180043,917019,1089582,,234937,160088,136044,138145,173704,224603,168943,127942,124486,314815
491199,"Printed matter, n.e.s.",10555,11634,12993,14049,19135,35487,19017,22377,27725,82724,,669030,723488,738246,703784,672779,744832,759551,759600,677641,845250,,65487,62750,69322,77184,72282,110853,93291,76869,79721,141114
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",124555,108262,96728,99641,96515,97960,98366,90067,76681,78709,,2411750,2359291,2287894,2187321,2153282,2147133,2096295,2058956,1759908,1937075,,533864,432138,450689,406158,359205,343454,337313,322639,297445,338897
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",90534,59235,71214,78050,71870,82791,84478,33945,43798,78692,,1265895,1123781,1180598,902783,723171,734620,735576,607467,608815,916980,,219067,146930,139077,156778,135234,163799,188212,140331,227292,382184
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",66789,66257,78716,81181,78581,82534,84694,72992,80484,77552,,3564242,3426212,3535393,3301146,3290556,3261618,3332519,3355080,3546856,4015339,,140067,140633,166822,165836,172251,191272,203357,179761,237681,234930
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",61962,44076,50767,47679,57617,61088,47292,42940,43204,77453,,967954,965974,828945,732792,717174,814715,788898,752313,719553,978409,,131386,89075,95771,95908,124974,137420,107366,97738,116185,178211
850440,Static converters,75808,54563,63077,53779,55769,64442,63804,68991,65768,75255,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,827891,680313,685075,636871,613036,812419,940969,924643,1043855,1211751
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",240387,102845,192461,85096,130786,101531,86495,89361,62560,73022,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,547299,371472,446423,300719,341776,312871,288988,269029,235776,259560
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",90272,56792,61086,68261,54168,60963,67512,70010,74470,70193,,1175187,1132810,1257701,1153327,1109223,1184312,1288862,1343212,1254043,1455147,,211136,156238,162031,154022,140691,160935,182517,194763,194975,210703
870600,"Chassis fitted with engines, for tractors, motor vehicles for the transport of ten or more ...",3147,246,168,441,161,15398,72614,49649,134406,69857,,167435,144192,104312,81037,43239,52960,57719,65978,34140,26952,,110300,88581,83230,69674,76308,87158,142578,135825,195541,125767
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",157414,129573,207743,154466,157187,111787,50877,98944,77588,69676,,3262364,2492757,3047709,3252409,3717052,3040553,2964777,2704548,1261367,941586,,2753722,2499632,1841353,1627544,2006416,2261018,1700563,1266688,961949,1220860
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",94188,77364,92016,88808,70767,83886,82581,75914,75937,69095,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,305217,280318,360676,322543,329914,265347,288698,307551,296332,328704
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",54284,55375,62527,58066,54603,52250,57749,57107,55217,67898,,1623905,1662188,1756022,1795736,1770617,1920498,1907993,1876530,1732660,2260425,,171005,164677,187005,177621,184667,200042,201593,188252,189861,246253
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",106784,59313,82748,83322,51353,102396,87582,81330,70390,67145,,2978189,2941903,2719414,1967965,1510408,1778450,1942512,1800787,1727937,1751755,,217296,124632,142959,141885,100215,162270,167075,158866,151771,160321
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",45953,34738,60500,44623,41457,51786,44031,54924,56651,66341,,1217511,1123291,1264417,1125545,1111448,1299925,1139419,1087704,1000756,922853,,87933,77170,102540,83121,80024,90589,75844,87587,106180,133728
852691,Radio navigational aid apparatus,68851,45578,55514,50504,43585,44200,46340,56978,82751,65270,,1045860,951807,865194,840453,859288,881091,837633,934954,754087,847176,,236629,170570,145646,142593,124281,120526,128028,133810,169396,179025
300220,Vaccines for human medicine,105957,179342,53165,30497,39074,64091,52709,49817,35781,64434,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,370011,477343,358733,287861,263479,345883,288491,292520,289704,1761029
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",19896,17438,20063,28258,36974,34099,37302,30472,54238,63302,,701263,598580,516978,696515,639692,1108227,1380550,1713444,2142169,3205328,,97506,87006,84474,93014,115884,139780,150678,147794,161358,217702
850153,"AC motors, multi-phase, of an output > 75 kW",26053,22879,12432,8133,4015,14678,64056,53162,113814,59925,,548416,581159,547452,495332,405569,428014,460040,483816,691219,748480,,175635,132975,104497,69409,53477,78535,123079,121161,190804,135702
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",325681,275130,110701,109156,86381,66345,63646,53789,45368,59364,,3226614,3266652,3345799,2608749,2050316,2421704,2324485,2139354,1918943,1927895,,831788,817137,731025,460515,494084,251071,273465,300333,241978,319897
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",35508,40337,38671,46566,41482,40151,61017,78772,65185,58676,,555292,588617,1142606,1092755,1075386,1236809,1393573,963715,1144374,1359851,,4428333,4210299,3779857,3796600,4193886,5090265,5428024,4578861,4071876,6109531
870130,Track-laying tractors (excluding pedestrian-controlled),44176,45011,36784,35720,37157,47890,40507,39270,59196,58636,,1781036,840493,705300,711997,559926,679115,866671,869000,652412,835623,,48527,50074,39414,38223,37971,49231,41618,41104,60397,60401
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",106481,110910,87372,90595,78828,73872,65764,57852,48475,58178,,1723523,1839311,1831712,1657055,1698983,1758131,1780071,1661346,1218442,1430062,,336228,358294,314249,316233,288471,318263,335225,378207,306926,362742
860210,Diesel-electric locomotives,113438,52215,174742,68347,32003,10147,48492,83411,51769,57393,,759068,914979,722953,1015986,530919,568467,653516,273526,411769,254800,,278562,193819,320009,158942,32003,10147,48492,85754,52351,89725
841199,"Parts of gas turbines, n.e.s.",64931,88498,97170,94015,108545,70733,82962,88722,59726,56190,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,177531,283433,364531,283791,270834,287713,253194,238757,195860,209518
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",29832,35671,34593,41769,35750,38279,43564,45089,43236,55663,,711059,714262,760578,832084,801053,781597,814889,831166,807900,916868,,136042,161396,156253,155674,154066,165603,182129,176647,177330,208741
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",29467,24426,29994,32875,54298,47271,27515,27882,29775,54500,,949344,1179701,1284980,1089502,1079960,1005528,1421054,1578792,1463072,1547791,,100604,110543,113444,99586,135364,143879,102231,98983,115476,150569
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",40654,35608,44907,42494,29594,36244,40090,49228,49386,53389,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,82124,75551,87780,78547,68419,84825,100436,121866,125081,134939
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,47936,43704,40767,51125,51769,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,211404,238153,210891,232148,275400
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,11688,15608,24483,34636,51507,,0,0,0,0,0,1040202,457965,561785,411079,200530,,0,0,0,0,0,71226,61098,94464,142815,144110
870590,Special purpose motor vehicles (other than those principally designed for the transport of ...,30568,33221,46114,40786,45000,34654,68687,39614,36938,51294,,1604304,1659449,1413189,1246130,1195345,1009430,1206749,1191415,945787,1179674,,113530,136468,101470,84876,82296,78504,195548,136334,101768,129499
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",47608,42036,40371,41819,52747,60257,48256,45427,39828,50927,,9004639,9893593,9440600,9092513,9429490,9447618,9764711,9401811,7297749,7306739,,431270,411817,397157,384487,402916,411701,409605,392088,349927,477877
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",94413,54010,65306,51498,41408,55850,53270,50405,52314,50278,,1582959,1553428,2047467,1946809,1640138,1694243,1669819,1857512,1458775,1684129,,349950,246845,261246,216087,188372,235223,269604,301012,298007,301452
300610,"Sterile surgical catgut, similar sterile suture materials, incl. sterile absorbable surgical ...",71409,76216,58071,28619,31115,34958,35671,44656,43397,50183,,923508,928325,872799,933362,920395,1060036,1195108,1278620,1062374,1216206,,92078,103632,89030,48539,53406,62168,64206,81813,84033,99028
842449,Agricultural or horticultural sprayers (excl. portable),0,0,0,0,0,43563,43925,47234,46436,50086,,0,0,0,0,0,36806,41697,38170,56366,69019,,0,0,0,0,0,56786,62327,66532,63882,73801
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",41145,44259,40218,34745,30248,30730,35266,30489,34398,49604,,738530,783253,847404,861796,827993,857538,877643,840081,724362,849669,,257015,261013,259747,211722,212434,224750,235399,234819,353549,452404
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,71793,65042,67985,54305,48909,44977,45034,51094,50199,49168,,1174074,1307952,1527864,1480311,1482490,1562528,1671342,1863248,1910886,2418886,,214245,227649,407105,206828,184131,186614,204694,206086,225665,215334
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",144504,57333,81877,72190,58572,55924,71854,57836,37077,48763,,762077,811678,931042,935044,837627,667645,828936,796476,659305,781974,,523212,438437,614809,487490,421221,458445,492625,482276,417356,586616
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",58854,57560,58628,50157,33066,34841,63879,51295,58738,48726,,1507588,1657429,1512861,1145621,869128,977889,1105915,1094255,819107,881721,,194573,159471,183593,134272,109481,130354,167671,162956,168112,192056
