Product code,Product label,"Taipei, Chinese's imports from Saudi Arabia-Value in 2012","Taipei, Chinese's imports from Saudi Arabia-Value in 2013","Taipei, Chinese's imports from Saudi Arabia-Value in 2014","Taipei, Chinese's imports from Saudi Arabia-Value in 2015","Taipei, Chinese's imports from Saudi Arabia-Value in 2016","Taipei, Chinese's imports from Saudi Arabia-Value in 2017","Taipei, Chinese's imports from Saudi Arabia-Value in 2018","Taipei, Chinese's imports from Saudi Arabia-Value in 2019","Taipei, Chinese's imports from Saudi Arabia-Value in 2020","Taipei, Chinese's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
300610,"Sterile surgical catgut, similar sterile suture materials, incl. sterile absorbable surgical ...",0,0,0,0,0,0,0,0,0,0,,4737,6183,9596,6368,999,979,1358,655,428,783,,18860,21649,26596,25892,32014,31567,37309,38397,42634,47397
310221,"Ammonium sulphate (excluding that in pellet or similar forms, or in packages with a gross weight ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,14,0,0,10,1353,,347,418,973,3094,1426,1302,1784,2367,4094,1126
310290,Mineral or chemical nitrogen fertilisers (excluding urea; ammonium sulphate; ammonium nitrate; ...,0,0,0,0,0,0,0,0,0,0,,137,0,32,33,0,0,0,43,21,0,,1722,1815,1777,2086,2375,2339,3247,4324,3914,3392
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",0,0,0,0,0,0,0,0,0,0,,245,0,0,39,0,19,0,0,0,618424,,16799,9898,10582,8514,7298,10190,16339,14469,13748,7105
310560,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium ...,0,0,0,0,0,0,0,0,0,0,,31,92,246,8,299,122,655,283,71,143,,1729,1532,1879,1836,1653,1367,1657,1581,1699,2168
320412,"Synthetic organic acid dyes, whether or not metallised, and synthetic organic mordant dyes; ...",0,0,0,0,0,0,0,0,0,0,,0,0,106,137,0,1,18,25,435,29,,30355,37527,47822,36593,29727,32982,40463,35474,26649,38512
320415,"Synthetic organic vat dyes, incl. those usable in that state as pigments; preparations based ...",0,0,0,0,0,0,0,0,0,0,,5101,147,121,0,0,43,0,7,0,0,,3074,3308,2661,3374,3363,4041,4094,4715,2081,3883
290543,Mannitol,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1475,0,0,0,,1237,1384,1279,1394,1199,1233,1451,1204,1295,1139
290619,"Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or ...",0,0,0,0,0,0,0,0,0,0,,1836,1762,1369,208,3,0,0,0,0,0,,5918,6834,7674,6356,6519,6795,7485,5470,6658,8702
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",0,0,0,0,0,0,0,0,0,0,,97,0,0,0,322,45,245,545,0,0,,31081,28922,19290,17142,17766,17671,18692,26995,17197,22731
