Product code,Product label,Australia's imports from Viet Nam-Value in 2012,Australia's imports from Viet Nam-Value in 2013,Australia's imports from Viet Nam-Value in 2014,Australia's imports from Viet Nam-Value in 2015,Australia's imports from Viet Nam-Value in 2016,Australia's imports from Viet Nam-Value in 2017,Australia's imports from Viet Nam-Value in 2018,Australia's imports from Viet Nam-Value in 2019,Australia's imports from Viet Nam-Value in 2020,Australia's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
680430,Hand sharpening or polishing stones,4,0,1,0,0,0,12,6,6,0,,38,119,153,298,629,591,613,694,698,2316,,1090,896,1077,1325,1193,1302,1582,1382,1855,1839
681091,"Prefabricated structural components for building or civil engineering of cement, concrete or ...",34,137,71,19,23,71,73,240,86,0,,516,3307,9164,5006,2867,609,2494,16280,28141,36891,,39536,34628,81781,9456,10676,20067,17650,11028,8955,8833
610829,"Women's or girls' briefs and panties of textile materials, knitted or crocheted (excluding ...",0,0,1,1,2,3,1,0,3,0,,31606,31763,23922,17561,39781,23135,32467,13065,10689,1679,,1036,1821,1619,714,1061,1260,3892,2580,2356,3152
580430,"Handmade lace in the piece, in strips or in motifs (excluding fabrics of heading 6002 to 6006)",0,0,0,0,0,0,0,0,0,0,,0,0,0,13,4,18,5,0,0,16,,25,31,12,34,11,7,20,5,1,40
580790,"Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to ...",0,0,0,0,32,2,0,0,3,0,,5707,7519,9158,12250,14399,17326,16351,17669,18600,6194,,359,481,387,357,479,508,279,468,309,330
610451,"Women's or girls' skirts and divided skirts of wool or fine animal hair, knitted or crocheted ...",0,0,0,1,1,7,0,0,1,0,,108,273,399,636,571,745,699,1141,670,149,,834,419,398,595,618,434,429,491,560,794
551519,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, other ...",0,31,0,1,0,0,0,0,0,0,,1111,1460,6722,10089,9760,8320,6687,8249,3357,3166,,2055,1501,1702,1660,1294,905,1111,899,912,1406
551599,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres, other than those ...",0,0,0,0,0,0,0,0,0,0,,843,611,1052,3081,2421,3401,2654,1265,1995,5198,,1264,550,496,536,482,652,569,310,354,492
551624,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,27,20,2,0,2,2,7,,149,153,192,47,94,85,53,78,43,39
570190,"Carpets and other textile floor coverings, of textile materials, knotted, whether or not made ...",0,0,6,0,1,0,0,0,0,0,,51,100,34,49,111,140,59,3,140,221,,7164,6319,5239,4061,4877,5000,5172,4492,4753,6477
570231,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, ...",0,0,0,0,0,0,0,0,0,0,,51,0,0,0,1,5,16,1,11,,,24195,17764,17141,15644,17935,15026,11977,9184,8685,9565
570292,"Carpets and other floor coverings, of man-made textile materials, woven, not tufted or flocked, ...",3,0,0,21,22,0,0,1,0,0,,0,0,235,0,87,6,0,0,12,695,,5407,4033,4939,5220,5454,6677,7350,6926,4864,9054
570310,"Carpets and other floor coverings, of wool or fine animal hair, tufted """"needle punched"""", ...""",0,0,0,0,0,0,0,1,0,0,,0,0,0,0,4,0,1,12,8,173,,86736,95580,95769,85885,84313,81232,71514,57991,50286,46363
590500,Textile wallcoverings,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0,0,21,,716,3262,3699,3036,3567,4412,4096,4714,4066,4877
591000,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, ...",0,0,0,0,0,0,0,0,0,0,,19,18,53,10,19,65,58,43,177,112,,3977,3131,5558,7551,9573,8611,10413,10641,8772,9824
600129,"Looped pile fabrics, knitted or crocheted (excluding of cotton or man-made fibres)",0,0,0,0,0,0,0,0,0,0,,292,177,39,46,445,22,73,173,189,255,,3,6,15,12,10,4,9,18,27,7
600534,"Printed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,1414,24,344,121,612,1098,0,0,0,,,139,221,115,196,328,0,0,0,0,0
600544,"Printed warp knit fabrics of artificial fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,0,0,18,0,5,44,3,0,35,5040,,0,0,3,2,8,15,8,1,6,4
580121,"Uncut weft pile fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, ...",0,0,0,0,0,0,0,0,0,0,,0,0,162,1,3,0,13,22,51,323,,87,38,47,19,6,8,7,4,5,8
580123,"Cut weft pile fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,,,122,105,136,51,78,89,89,58,150,127
520411,"Sewing thread, containing >= 85% cotton by weight (excluding that put up for retail sale)",0,0,0,0,0,0,0,3,0,0,,28,0,27,0,3,0,0,2,135,409,,92,149,117,175,90,47,69,79,90,67
520515,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",0,0,0,0,0,0,0,0,0,0,,0,0,3,0,660,148,4,5,34,148,,0,2,0,4,3,4,0,2,11,2
