Product code,Product label,"Viet Nam's imports from Taipei, Chinese-Value in 2012","Viet Nam's imports from Taipei, Chinese-Value in 2013","Viet Nam's imports from Taipei, Chinese-Value in 2014","Viet Nam's imports from Taipei, Chinese-Value in 2015","Viet Nam's imports from Taipei, Chinese-Value in 2016","Viet Nam's imports from Taipei, Chinese-Value in 2017","Viet Nam's imports from Taipei, Chinese-Value in 2018","Viet Nam's imports from Taipei, Chinese-Value in 2019","Viet Nam's imports from Taipei, Chinese-Value in 2020","Viet Nam's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",2761,3251,3161,3282,3564,4253,4640,4486,4737,,,42425,39221,39995,40397,37928,39891,40883,38274,36947,41487,,31974,33577,38052,38970,43665,52095,68539,65935,66383,72604
350110,Casein,0,0,0,0,0,0,0,0,0,,,138,192,180,166,129,79,96,60,100,83,,619,673,1428,1693,1137,1155,2255,1988,1711,2806
350220,"Milk albumin """"lactalbumin"""", incl. concentrates of two or more whey proteins containing by ...""",8,0,0,0,0,0,0,0,0,,,459,192,133,135,75,56,51,23,27,33,,9064,16430,13647,12794,10808,12801,9112,10665,10995,13887
370120,"Instant print film in the flat, sensitised, unexposed, whether or not in packs",0,0,0,0,0,15,8,7,2,,,584,489,343,68,79,7,97,25,2,49,,3,44,119,272,205,330,496,478,459,586
370241,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,9,0,0,0,0,0,,,10264,10622,12047,12966,11528,13551,16945,14882,16774,20664,,94,0,11,9,0,0,0,0,0,100
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,4,24,53,108,127,203,200,110,,,0,0,13,0,36,58,11,19,8,0,,4042,6582,7828,9052,10909,13732,14199,14132,16055,2031
370320,"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography ...""",0,0,0,0,0,0,0,0,0,,,322,320,96,19,16,106,35,19,47,2,,9186,8310,6117,5199,4166,3772,3107,2710,1237,6449
370710,"Sensitising emulsions """"for photographic uses""""""""",13,23,28,18,17,12,37,21,43,,,13744,13175,8913,7742,4702,3977,5102,3908,4690,4335,,329,467,445,509,479,442,653,713,908,7070
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",2,0,23,17,37,37,119,73,124,,,2485,2494,4706,5688,2149,1387,3452,2471,3650,9036,,2669,5291,11216,28313,30002,37867,42115,35793,20004,12705
380510,"Gum, wood or sulphate turpentine oils",0,0,0,0,0,0,0,0,0,,,240,559,352,199,191,287,566,419,79,568,,18,5,5,9,74,9,6,19,13,678
380610,Rosin and resin acids,30,40,4,10,2,43,14,45,35,,,281,80,228,190,327,582,361,308,367,375,,707,992,1363,674,1211,1569,1401,1194,1771,1812
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",384,67,79,175,47,347,320,321,62,,,54444,61804,57373,44251,36344,64659,71357,78146,74906,90915,,158887,179608,194966,206148,195776,273479,287111,270264,218016,209202
380992,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",3094,2249,2673,2084,2015,2302,2927,2221,2085,,,20022,19150,21814,20429,18064,22460,26041,24170,23454,26748,,15290,12809,10402,11158,11685,12607,15089,12176,12802,19073
