Product code,Product label,Viet Nam's imports from India-Value in 2012,Viet Nam's imports from India-Value in 2013,Viet Nam's imports from India-Value in 2014,Viet Nam's imports from India-Value in 2015,Viet Nam's imports from India-Value in 2016,Viet Nam's imports from India-Value in 2017,Viet Nam's imports from India-Value in 2018,Viet Nam's imports from India-Value in 2019,Viet Nam's imports from India-Value in 2020,Viet Nam's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,59,49,809,2883,3840,2689,817,1547,133,,,56109,35346,11884,6554,6387,9792,7844,9467,2522,1194,,9552,15918,19060,20681,35789,27707,20846,9288,3315,3340
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",1,0,0,0,82,37,728,724,800,,,4145,5819,5691,5900,5725,9714,23047,35627,30208,34701,,16743,14295,15222,11599,24363,20401,27031,32750,27515,11441
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",0,0,0,0,0,0,0,0,0,,,7781,13366,7977,6054,7377,9636,4377,4281,5233,12457,,8790,5094,4488,6675,6691,8803,9743,9132,6522,7809
852691,Radio navigational aid apparatus,0,0,0,0,0,6,160,0,41,,,5759,2309,5596,3440,3013,22435,36540,42304,74422,149787,,8931,12907,17305,21789,35826,23867,27720,36471,26902,66240
852712,"Pocket-size radiocassette players [dimensions <= 170 mm x 100 mm x 45 mm], with built-in amplifier, ...",0,0,0,0,0,0,0,0,0,,,7,159,6,1,68,6,13,3,1,11,,1,34,81,77,117,82,56,155,230,51
852719,"Radio-broadcast receivers capable of operating without an external source of power, not combined ...",0,106,0,0,0,0,0,0,0,,,878,1233,1943,1371,1000,957,801,912,321,281,,250,1140,261,249,1037,646,23,735,944,7131
852792,"Radio-broadcast receivers, for mains operation only, not combined with sound recording or reproducing ...",0,0,0,0,0,0,0,0,0,,,26,0,0,0,0,0,15,4,0,0,,32,2,0,0,2,0,0,0,1,88
852862,Projectors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,0,776,157,0,,,0,0,0,0,0,692,8794,5060,2505,2531,,0,0,0,0,0,0,1433,1589,3308,4107
853210,"Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power-handling ...""",0,140,404,277,606,1178,1574,1255,830,,,28744,46625,41735,34676,33885,40620,38696,32336,38226,45715,,13906,22552,18315,27054,35435,32251,34949,43225,42305,9944
853223,"Fixed electrical capacitors, ceramic dielectric, single layer (excluding power capacitors)",0,0,1,0,0,0,16,51,137,,,1134,803,781,562,770,601,740,850,316,416,,4618,4908,6646,10819,9377,10828,14001,13292,33137,17447
853225,"Fixed electrical capacitors, dielectric of paper or plastics (excluding power capacitors)",0,0,3,4,9,84,134,147,265,,,48456,56269,54974,55650,61332,67793,73612,54414,58954,79245,,12027,9360,9392,11400,27964,35141,42491,45401,52265,45596
853329,Fixed electrical resistors for a power handling capacity > 20 W (excluding heating resistors),12,10,12,11,10,22,52,55,22,,,2555,2798,2495,2887,2687,2838,2055,2135,4396,6520,,66369,20923,25101,28827,35586,40512,39919,37875,39983,16613
