Product code,Product label,Viet Nam's imports from Germany-Value in 2012,Viet Nam's imports from Germany-Value in 2013,Viet Nam's imports from Germany-Value in 2014,Viet Nam's imports from Germany-Value in 2015,Viet Nam's imports from Germany-Value in 2016,Viet Nam's imports from Germany-Value in 2017,Viet Nam's imports from Germany-Value in 2018,Viet Nam's imports from Germany-Value in 2019,Viet Nam's imports from Germany-Value in 2020,Viet Nam's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
292119,"Acyclic monoamines and their derivatives; salts thereof (excluding methylamine, dimethylamine, ...",1,2,1,169,64,125,4,321,70,,,0,0,0,0,0,170187,175639,169924,155284,188208,,6178,5178,5926,6254,5126,6881,7858,6546,5025,5867
292121,Ethylenediamine and its salts,0,0,0,55,40,170,112,208,83,,,2482,1428,1125,1246,1406,1429,1603,1729,1805,2377,,1704,1997,3384,4495,4335,5278,6850,5735,4691,6033
292142,Aniline derivatives and their salts,0,0,0,0,0,0,0,0,1,,,16672,13460,12937,11993,7329,10861,11695,9378,9811,10025,,2928,6764,5040,7520,18006,6371,14506,13134,5744,9288
292144,Diphenylamine and its derivatives; salts thereof,2,0,0,2,1,1,2,0,1,,,2512,3115,1999,1235,1009,1683,2125,1037,1724,1719,,79,159,216,90,140,250,319,160,179,323
292217,Methyldiethanolamine and ethyldiethanolamine,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,10058,12459,14068,7650,14468,,0,0,0,0,0,0,0,182,292,209
292219,"Amino-alcohols, their ethers and esters; salts thereof (other than those containing > one ...""",119,165,150,51,164,114,92,120,202,,,273615,306419,355020,298324,301101,309031,321485,323881,316802,416197,,4435,7732,11647,12365,13426,20048,26574,22153,23220,21515
292221,Aminohydroxynaphthalenesulphonic acids and their salts,0,0,18,0,0,0,0,0,0,,,1130,670,542,658,103,317,100,74,91,74,,22,53,83,19,18,17,19,33,37,58
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",93,267,34,87,105,3,8,61,84,,,218882,222637,223052,218674,205446,207352,235220,210424,225152,287163,,10788,12989,13330,15832,14144,19912,26823,26902,26737,48597
292421,Ureines and their derivatives; salts thereof,9,0,0,12,1,0,0,4,9,,,46107,43252,51741,55692,46671,24464,45922,50693,37655,40911,,81,93,139,77,54,109,86,39,61,909
292511,Saccharin and its salts,0,0,0,0,0,0,0,0,0,,,11437,14188,16628,16942,18286,13623,11682,13871,13833,15278,,1149,1144,1303,1338,2075,1835,1659,1943,2429,2323
292620,"1-Cyanoguanidine """"dicyandiamide""""""""",0,0,3,0,1,0,0,0,0,,,46013,42928,40194,30016,28394,30545,39951,36057,39914,51310,,726,1215,1758,790,1022,889,1215,1172,1288,2271
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",104,162,209,149,229,216,215,341,189,,,159728,166369,201147,180758,189048,211727,232757,229622,243369,285262,,1359,1581,1870,3398,3440,4848,7650,7738,5915,15667
293030,"Thiuram mono-, di- or tetrasulphides",1,1,1,2,4,2,32,1,1,,,1992,1793,2080,1743,2137,2676,3072,2890,2793,3261,,350,359,492,724,810,1418,1511,1126,875,1058
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",576,2231,2456,3148,1489,1617,1954,2011,2484,,,715115,1086121,893275,856996,767827,845671,874403,794231,865196,841517,,3957,6459,12615,13303,13694,13638,16625,22051,20236,31646
293621,"Vitamins A and their derivatives, used primarily as vitamins",1657,1041,1330,1482,1546,1800,3923,3191,2807,,,0,0,0,0,0,0,0,0,0,0,,4446,4517,5828,5894,11458,11502,22546,22102,24423,20994
293712,"Insulin and its salts, used primarily as hormones",0,0,0,0,0,0,0,0,0,,,5052,1771,3052,8993,6558,3434,4053,3639,7109,11667,,0,0,0,0,0,0,5,0,0,61
293979,"Vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...""",0,0,0,0,0,0,156,2,546,,,0,0,0,0,0,100335,130804,133249,134560,106276,,0,0,0,0,0,0,1777,3228,3350,540
293980,"Non-vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,184,198,319,508,377,,0,0,0,0,0,0,1317,699,330,874
300120,"Extracts of glands or other organs or of their secretions, for organo-therapeutic uses",20,5,5,4,0,0,0,0,5,,,9643,8032,6541,4364,11117,4325,8669,5862,8256,8238,,86,107,96,32,234,295,285,207,841,956
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,0,2,4,36,,,0,0,0,0,0,1626,1035,1073,305,830,,0,0,0,0,0,0,4086,3647,3858,1095
300360,"Medicaments containing any of the following antimalarial active principles: artemisinin """"INN"""" ...""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1585
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",908,1451,748,852,841,1084,1093,553,161,,,48181,54895,55690,36352,40147,51033,45824,52129,50436,49713,,63687,66169,69874,86771,79319,93211,92946,110896,108993,63991
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,0,186,0,270,,,0,0,0,0,0,2171346,2469990,2554643,2337387,1630688,,0,0,0,0,0,0,2046,4253,3276,26114
300510,"Adhesive dressings and other articles having an adhesive layer, impregnated or covered with ...",3,19,160,132,328,555,1246,477,477,,,406734,418798,465230,420670,458199,459276,473478,480441,458383,505921,,17656,17982,17495,18425,21226,29620,30723,36305,28119,19921
300660,"Chemical contraceptive preparations based on hormones, prostaglandins, thromboxanes, leukotrienes, ...",0,0,0,0,0,2,0,2,0,,,1047531,901430,921746,747948,752307,760248,722340,807970,768310,976542,,281,549,41,115,163,856,1698,1622,998,26558
300670,Gel preparations designed to be used  in human or veterinary medicine as a lubricant for parts ...,213,380,426,745,882,1311,1354,1920,1830,,,16093,15124,17728,14325,15200,17100,21703,23134,27743,22630,,1825,2772,3635,4318,5505,6493,8015,9471,7746,4317
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",619,675,483,864,1517,1248,367,1340,454,,,27039,32846,31246,25885,22286,24566,23048,21874,20202,23471,,14480,12957,16141,16114,21158,20505,18663,27827,21163,7716
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,4716,5545,4723,3968,3838,5315,8569,9678,5132,,,919189,876273,781959,641992,660369,895249,951758,976544,884963,1007458,,81145,92580,102722,108345,130672,193699,223657,243646,236902,262749
321210,Stamping foils of a kind used in the printing of book bindings or hatband leather,729,866,1200,1177,1423,1293,1311,1951,1298,,,155263,164197,166177,142165,149530,158419,166413,145294,134503,170006,,8780,8488,7529,16572,44044,39028,29358,13779,10583,10704
330125,"Oils of mints, whether or not terpeneless, incl. concretes and absolutes (excluding those ...""",180,229,190,79,138,124,125,118,79,,,7894,8739,10171,8843,8719,9179,9426,8887,10457,7150,,1127,1380,944,264,674,1034,484,1069,1618,1116
330510,Shampoos,286,368,307,197,241,269,267,450,261,,,366356,420453,414685,367619,366931,405177,436689,395798,401354,460285,,7588,8779,15641,11113,14483,37385,62948,62802,60241,82640
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",687,1262,1385,1142,972,1424,1168,1392,1060,,,895830,992755,957155,783939,796492,823735,890012,893504,841422,1008185,,17573,21736,19798,22538,27078,29234,33460,37059,33586,41534
340219,"Organic surface-active agents, whether or not put up for retail sale (excluding anionic, cationic ...",525,343,224,159,85,57,149,107,78,,,87778,95167,84159,79672,81372,89004,100962,95810,99481,112486,,8269,9273,8418,9187,9025,11081,14482,12857,10354,27873
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",260,260,243,219,144,212,414,227,223,,,89951,91562,100123,81717,89403,99954,100831,92679,82163,105193,,6141,7502,8351,13112,22243,36643,25151,18491,15197,19845
350211,"Egg albumin, dried """"e.g. in sheets, scales, flakes, powder""""""""",0,0,0,0,0,0,0,0,0,,,18496,17637,18140,15482,10255,8093,11406,9266,9057,13221,,2907,3166,5037,5314,3760,3099,4687,4697,5521,7851
350290,"Albumins, albuminates and other albumin derivatives (excluding egg albumin and milk albumin ...",0,0,0,0,0,0,0,0,0,,,8816,8375,8655,7359,7558,8983,10370,10437,15611,17104,,19,6,5,11,82,27,23,218,124,232
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",1539,1723,1550,1115,1627,1654,1714,1976,2399,,,374539,400977,427280,338077,339819,347606,367819,353746,360376,414314,,20409,25146,26128,27891,28932,33954,42250,48293,52883,50056
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,1828,2639,4605,2438,2473,2936,2856,4105,3108,,,1339833,1418743,1524868,1330425,1331186,1516301,1641790,1546394,1558570,1861434,,83920,91767,99493,101886,107170,141454,163596,191410,219240,452755
360500,Matches (excluding pyrotechnic articles of heading 3604),0,0,0,0,0,0,0,0,0,,,5018,5989,6517,3868,3860,4336,4032,4137,3903,4621,,1,5,3,15,8,10,27,46,403,475
370210,"Photographic film in rolls, unexposed, for X-ray (excluding of paper, paperboard or textiles)",0,2,0,0,0,0,0,0,0,,,8786,9253,7323,2734,2393,3075,2447,2027,2955,2731,,402,253,91,31,30,0,5,8,33,1
370242,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",152,181,274,277,282,222,276,360,281,,,41,56,4,0,0,0,0,5,0,0,,305,181,274,277,324,244,276,361,2023,20152
370244,"Photographic film """"incl. instant print film""""m, sensitised, in rolls, unexposed, without ...""",0,0,0,0,0,0,0,0,0,,,7358,5951,5180,6746,6277,6484,10766,7191,4589,4061,,1248,1339,1559,1677,1698,2408,2836,3275,3672,3287
370390,"Photographic paper, paperboard and textiles, sensitised, unexposed, for monochrome photography ...",0,0,0,0,0,0,0,0,0,,,1656,1653,1764,1000,938,701,485,665,346,312,,638,410,194,460,366,276,98,65,36,611
370400,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed",0,0,0,0,0,5,3,5,8,,,333,493,518,574,775,386,310,340,395,562,,204,223,105,266,627,764,276,133,78,19
370510,"Photographic plates and film, exposed and developed, for offset reproduction (excluding products ...",42,140,202,137,154,181,0,0,0,,,588,473,406,293,352,0,0,0,0,0,,427,541,540,318,591,412,0,0,0,
370690,"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting ...",0,6,3,0,0,0,0,0,0,,,86,16,179,8,25,8,7,31,13,9,,646,337,48,5,56,8,22,13,4,16
