Product code,Product label,"Korea, Republic of's imports from United States of America-Value in 2012","Korea, Republic of's imports from United States of America-Value in 2013","Korea, Republic of's imports from United States of America-Value in 2014","Korea, Republic of's imports from United States of America-Value in 2015","Korea, Republic of's imports from United States of America-Value in 2016","Korea, Republic of's imports from United States of America-Value in 2017","Korea, Republic of's imports from United States of America-Value in 2018","Korea, Republic of's imports from United States of America-Value in 2019","Korea, Republic of's imports from United States of America-Value in 2020","Korea, Republic of's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
940159,"Seats of cane, osier or similar materials (excluding of bamboo or rattan)",155,38,40,10,22,50,36,62,43,113,,1162,1385,956,905,1652,2724,3724,1787,2280,2059,,4625,4150,3221,3160,2329,1992,1552,1774,1680,1974
151610,"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",27,27,34,98,97,151,101,0,40,113,,5096,3828,4606,3508,2371,3327,3754,4050,10644,12411,,399,614,879,3320,6182,6992,4535,3705,6793,18149
200961,"Grape juice, incl. grape must, unfermented, Brix value <= 30 at 20¡ÆC, whether or not containing ...",861,1130,657,528,393,443,60,323,95,112,,22679,26674,27656,23304,24579,25861,22577,24456,19308,23963,,1335,1321,1021,1595,763,1062,1004,1341,942,1339
870790,"Bodies for tractors, motor vehicles for the transport of ten or more persons, motor vehicles ...",0,25,27,55,15,1,72,0,41,112,,401077,286228,198816,132551,98336,144027,159467,174241,121989,125680,,177,965,266,528,549,428,419,925,464,1346
900669,Photographic flashlights and flashlight apparatus (excluding with electronic discharge lamps),23,46,46,49,81,110,189,170,151,112,,7141,8198,8708,7394,4829,4112,4149,4300,3331,5290,,3653,2716,2321,2427,2127,1608,1529,1164,907,979
852321,Cards incorporating a magnetic stripe for the recording of sound or of other phenomena,212,928,2110,1315,1488,874,1972,1446,58,112,,107961,92637,93960,89274,89186,92717,101317,81829,51328,49031,,645,1778,2287,1395,1601,1348,2112,1647,168,256
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",98,112,140,137,151,130,255,219,132,112,,18382,17766,16741,17512,19973,17911,21130,19594,16221,15203,,180,238,259,334,402,337,491,374,357,428
950621,Sailboards,21,5,28,24,34,25,55,59,88,112,,5205,4571,4066,3952,2897,3259,3343,2552,2444,3882,,279,259,148,155,248,478,534,177,242,441
481720,"Letter cards, plain postcards and correspondence cards, of paper or paperboard (excluding those ...",46,41,19,37,62,65,98,108,122,111,,7602,9122,9371,15762,9673,9506,8093,7682,6253,6486,,496,579,427,1069,2614,994,1076,1269,1309,1733
900710,Cinematographic cameras,413,72,333,397,267,30,431,15,10,111,,26686,12921,12828,16374,20576,19458,20096,21890,15147,18640,,1111,108,344,521,485,222,745,214,76,164
852849,"Cathode-ray tube monitors, not incorporating television reception apparatus (excluding of a ...",416,1160,636,742,416,645,310,286,403,111,,23869,21878,20070,17217,37438,64975,59254,60424,49813,39633,,1177,1877,1143,1015,977,806,416,988,790,969
293321,Hydantoin and its derivatives,13,14,36,51,49,68,56,91,58,111,,19582,19963,22694,13062,12025,13050,14185,11840,9110,11698,,370,453,577,705,963,1162,1158,583,810,944
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",4544,9149,2196,431,372,907,420,1258,191,110,,268171,499155,424924,104605,72552,78275,79494,87646,64430,58565,,349430,318800,269006,197695,126259,124116,148979,142966,86418,100081
846820,"Gas-operated machinery and apparatus for soldering, brazing, welding or surface tempering (excluding ...",573,265,36,187,170,244,162,123,62,110,,19285,17761,14636,14151,17720,11541,13183,13388,8094,13793,,6833,7479,4707,5160,2538,3254,1812,2203,1654,2281
710221,"Industrial diamonds unworked or simply sawn, cleaved or bruted",961,197,416,1003,333,83,123,124,16,110,,25903,22451,23339,21502,15406,19215,13542,13361,6232,7952,,3147,3787,3642,3022,2807,2854,2547,2401,1508,1729
480257,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,82,0,0,2,389,397,371,218,110,,89067,67226,59773,51279,45471,42331,47257,41859,28156,30920,,15604,20342,24630,24948,23015,23752,27290,24791,21415,26331
540772,"Woven fabrics of yarn containing >= 85% synthetic filament by weight, incl. monofilament of ...",12,40,7,11,34,20,4,8,1,110,,4316,5172,5811,5690,9030,8069,9466,5115,7137,9754,,4543,4561,3233,4169,3671,3945,5802,5613,4506,12083
620111,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool ...",91,162,152,218,95,186,125,219,65,110,,6287,6716,6967,6289,4719,5704,5984,7252,5063,4162,,27497,32702,43304,41970,52942,53594,56408,57175,58184,55360
480550,"Felt paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with ...",1620,1832,934,747,834,841,221,10,15,109,,14177,11152,12192,11925,10633,7424,7508,5375,5837,6638,,2144,2881,3711,1722,1779,2093,920,812,621,555
520832,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",3,0,0,1,2,0,4,4,54,109,,4554,5598,5967,5348,4434,4037,3962,3488,3933,3404,,3385,2908,3568,3940,3164,2234,1989,1765,1882,3492
80122,"Fresh or dried brazil nuts, shelled",0,1,49,41,104,1394,1209,181,106,109,,1891,2689,3297,4236,3525,5817,4269,4378,2766,4239,,0,46,268,199,1010,42230,87306,20256,13440,19614
732010,"Leaf-springs and leaves therefor, of iron or steel (excluding clock and watch springs and shock ...",145,148,57,118,146,128,115,86,135,109,,41125,43406,48911,53837,49441,49812,63229,60572,48524,63592,,6672,6606,10244,11488,11077,10085,12827,15981,17919,20175
830810,"Hooks, eyes and eyelets, of base metal, of a kind used for clothing, footwear, awnings, handbags, ...",36,89,96,109,75,82,111,38,29,108,,25854,24473,24308,23909,22062,20076,20285,17839,10435,14906,,2734,3098,3925,4517,4292,5318,5688,7094,6400,7719
560121,"Wadding of cotton and articles thereof (excluding sanitary towels and tampons, napkins and ...",67,71,87,82,718,270,239,39,67,108,,30767,30949,30759,32990,35170,36170,31782,36127,28963,27072,,2250,2735,3161,4036,5687,9745,6811,5957,8008,6858
540233,Textured filament yarn of polyester (excluding that put up for retail sale),1,0,86,14,50,25,44,54,143,107,,115707,127035,139400,138252,119081,143498,124387,117433,92449,129854,,127773,154974,211683,181788,179365,205308,237975,223905,187129,224532
721069,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,13,5,0,3,91,74,0,0,107,,51879,46884,52197,41121,37922,44828,57565,57757,53070,99992,,44325,62209,74212,64212,58106,63228,54518,57962,11889,9539
293722,Halogenated derivatives of corticosteroidal hormones,60,10,21,35,29,34,64,115,94,107,,16141,7806,16741,16773,21589,16776,17287,13985,14913,18835,,7578,8351,6784,7309,8245,8345,8651,6365,8787,7288
60210,Unrooted cuttings and slips,15,27,34,23,59,46,51,49,62,106,,14437,13322,13403,14743,13177,16691,16830,15861,16788,22597,,1587,1799,1723,1748,2250,2702,3079,2829,2798,2656
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",379,414,497,382,394,236,420,277,121,106,,41457,23778,27005,30988,29427,29642,34037,42534,45828,39180,,155409,202247,231403,235516,228774,238145,257035,263907,223370,288824
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",374,683,535,54,88,159,48,112,91,106,,44348,42009,33283,36826,30813,29023,30698,31137,24871,24795,,9234,11543,14674,9828,7566,7528,7102,7149,7729,7716
750511,"Bars, rods, profiles and wire, of non-alloy nickel, n.e.s. (excluding electrically insulated ...",124,100,82,57,40,9,6,51,99,106,,5929,7442,5242,7053,9572,12121,22705,4010,7160,4228,,309,425,1010,748,893,1923,2134,5761,1819,1316
620444,Women's or girls' dresses of artificial fibres (excluding knitted or crocheted and petticoats),424,269,348,323,176,164,147,260,116,106,,18267,23318,27156,25882,29555,27708,24414,27182,17464,16903,,13186,13168,17847,18945,17375,21417,24865,31376,31291,35141
480511,"Semi-chemical fluting paper, uncoated, in rolls of a width > 36 cm",0,0,0,0,0,0,255,172,82,106,,180792,183527,235510,271843,234757,267021,306088,279667,297955,361639,,3201,3706,4788,5079,3546,4240,8563,6662,6108,8157
850690,"Parts of primary cells and primary batteries, n.e.s.",2846,667,342,369,2745,502,908,212,561,106,,55931,66443,68985,71212,62275,46855,52093,52604,47350,52132,,8008,4748,2871,2751,8317,5576,5651,4559,4979,3986
722790,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils (excluding ...",582,1230,1417,657,464,779,631,651,274,106,,63777,42272,56271,47360,45318,44741,30913,19153,17458,35943,,331685,404609,393172,299000,285842,355746,299571,315283,207881,364223
590500,Textile wallcoverings,357,237,306,149,154,348,139,204,220,105,,8214,5768,6323,8051,6305,5129,5749,5646,5320,4565,,865,565,794,404,792,1102,743,1056,923,944
710700,"Base metals clad with silver, not further worked than semi-manufactured",7111,3319,55,94,317,234,150,88,59,105,,48969,55762,50866,26591,30553,27551,29312,25500,20385,30026,,13779,7409,4599,3792,5745,5019,4190,3823,3420,4937
810530,Cobalt waste and scrap (excluding ash and residues containing cobalt),0,0,2,5,0,0,505,201,0,104,,8365,7785,11297,12718,10999,30054,34743,12528,10395,19768,,495,1089,3760,3951,2421,2024,2776,1886,1384,2961
846593,"Grinding, sanding or polishing machines for working wood, cork, bone, hard rubber, hard plastics ...",297,61,70,38,76,125,163,207,135,104,,19937,16234,15525,12593,15249,19912,18138,12739,13610,17706,,5095,1699,4936,3072,2484,4335,3383,3248,3115,2695
843710,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",379,15,220,1559,400,60,17,327,272,104,,54396,57772,57407,48226,48468,44941,43647,35829,35998,31613,,6506,5051,11340,5383,7092,7119,11764,9235,7089,4029
440121,Coniferous wood in chips or particles (excluding those of a kind used principally for dying ...,1,11,2,9,15,0,249,561,0,104,,203918,186667,198624,202206,193658,200407,266912,215299,184061,211688,,5063,3623,5370,2153,1363,1048,1708,1703,516,822
293625,"Vitamin B6 and its derivatives, used primarily as vitamins",188,80,60,70,45,83,110,97,72,103,,4580,3633,2844,3847,4081,5507,8751,4960,5533,5660,,3972,3533,3236,4615,5973,7133,7229,6701,7890,8285
40520,"Dairy spreads of a fat content, by weight, of >= 39% but < 80%",73,243,547,274,180,128,396,310,133,103,,4020,2216,2065,2892,1542,2856,1177,1095,573,309,,11343,8364,7746,9165,13900,19119,21420,19895,16087,24003
170191,"Refined cane or beet sugar, containing added flavouring or colouring, in solid form",811,1272,1001,1011,1115,1093,1232,1163,481,103,,32300,32170,31165,38461,31865,31936,33810,33161,20267,20905,,1134,1569,1794,1660,1648,1387,1442,1595,909,659
841420,Hand-operated or foot-operated air pumps,969,384,319,417,164,109,636,78,117,103,,12688,14220,15868,27775,36567,23013,24177,48879,36015,30809,,3477,3649,3383,4274,3646,3635,4410,3857,4811,4213
830120,"Locks used for motor vehicles, of base metal",340,184,108,1037,841,821,152,271,369,103,,219658,216504,229146,205303,205819,207536,212138,185912,131567,136151,,21440,25633,23399,33704,36681,33381,38776,30985,28313,31308
722691,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further ...",530,398,21,36,97,31,75,110,65,103,,48521,40841,47521,43102,47296,49121,58166,43622,40589,58225,,42530,36315,36370,43620,32913,30269,24536,25185,16742,22295
810820,Unwrought titanium; titanium powders,409,567,252,182,75,226,238,495,295,103,,86394,121311,179175,155839,180861,220485,253135,189725,112907,64493,,144207,65916,39358,25000,34342,56801,57508,54581,59382,67433
720890,"Flat-rolled products of iron or steel, of a width >= 600 mm, hot-rolled and further worked, ...",142,302,499,461,45,8,105,33,55,102,,13992,14707,10558,8406,6143,5384,7110,3337,3455,4513,,129024,130190,164823,145777,74316,21848,10169,16265,2630,9439
851010,"Shavers, electric",138,315,440,96,79,175,116,101,78,102,,45944,40215,48184,41177,25944,33274,31251,41732,36923,38142,,36896,61688,68018,65264,70384,75799,83647,91040,78144,85364
741210,"Refined copper tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",14,28,44,1018,29,59,70,1890,242,102,,49961,48124,50146,43099,31494,35497,47115,50649,49573,46944,,1322,2102,2631,2952,1751,2285,2044,3595,3204,4822
