Product code,Product label,"Saudi Arabia's imports from Taipei, Chinese-Value in 2012","Saudi Arabia's imports from Taipei, Chinese-Value in 2013","Saudi Arabia's imports from Taipei, Chinese-Value in 2014","Saudi Arabia's imports from Taipei, Chinese-Value in 2015","Saudi Arabia's imports from Taipei, Chinese-Value in 2016","Saudi Arabia's imports from Taipei, Chinese-Value in 2017","Saudi Arabia's imports from Taipei, Chinese-Value in 2018","Saudi Arabia's imports from Taipei, Chinese-Value in 2019","Saudi Arabia's imports from Taipei, Chinese-Value in 2020","Saudi Arabia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
291829,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, ...",10237,4787,6723,4774,3719,5229,5317,6586,5842,7053,,141360,135061,123685,123723,126629,134783,166947,137391,117714,178052,,20559,11445,18584,14945,13583,14233,14838,15645,16390,17993
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",2064,2148,2356,2796,2083,1233,807,2174,3014,6991,,86133,83012,85910,79244,80325,92753,103138,97007,101911,132536,,31537,41520,43876,46827,44524,36008,36951,56592,82833,122022
730424,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",517,34,0,0,1508,1599,2550,2306,7693,6536,,3,7,41,14,42,203,94,107,97,181,,2712,5650,5759,2376,12323,5770,10041,66152,62290,23799
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,0,0,0,6406,,0,0,0,0,0,90238,236361,173312,102783,152105,,0,0,0,0,0,0,0,0,0,14691
551299,"Woven fabrics containing >= 85% synthetic staple fibres by weight, dyed, made of yarn of different ...",0,38,38,0,0,0,500,4545,4018,6262,,24827,23263,34001,29598,14759,15786,17204,14518,9248,12787,,1026,2585,3010,2449,2079,1151,2401,12115,4586,7399
290244,Mixed xylene isomers,0,0,0,0,667,1664,4408,4544,5426,6250,,683,32,293,267,231,175,53,48,22,39,,16971,16001,41587,16279,11674,14454,9399,10724,8184,11174
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",11081,5055,4561,7007,3974,3181,3657,2342,2412,6003,,61106,57712,53883,54396,50169,75226,176010,221044,189941,216396,,927188,1196982,957671,978919,436575,415040,416922,398896,247046,285232
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",1421,2569,4324,2453,0,205,105,4390,3296,5914,,360527,352187,324722,219339,185874,227865,254918,222117,226680,362264,,20649,24511,16716,18709,8717,12788,14862,39506,49898,65694
721891,"Semi-finished products of stainless steel, of rectangular """"other than square"""" cross-section""""",188,149,213,0,0,0,113,88,528,5833,,8524,8266,7962,4724,7172,5457,7543,7706,5690,2810,,1351,253,618,1347,522,716,369,396,3456,9342
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",2432,5120,5907,4343,1542,2058,1642,2210,3295,5802,,203267,205089,196262,204543,203558,240909,253669,263335,314608,430377,,145550,89372,92466,87533,66515,59952,74805,88894,89213,68115
392410,"Tableware and kitchenware, of plastics",9349,16771,18550,17272,12270,10809,8880,7595,3280,5677,,212975,248251,272275,267313,261185,278585,292700,324811,312056,362739,,116362,148448,170098,193509,160741,149894,152603,173350,151619,202243
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",13019,13277,10400,6544,5978,7051,7709,7011,3426,5665,,361153,465208,477515,402084,397610,474919,584706,487987,469037,635745,,175778,196261,156965,152370,142013,140013,169442,182623,171886,180896
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",3106,3438,2434,3583,2713,6400,6154,4930,7786,5616,,749055,708956,828559,501733,502131,616373,616153,490308,389134,882179,,6874,7893,5707,7280,4915,9155,9589,10661,10905,10316
847050,Cash registers incorporating a calculating device,213,0,31,1479,1828,2805,2116,1271,1470,5539,,123523,159507,172925,176645,170974,169125,147913,140323,135699,197392,,12077,10241,10696,32958,19181,25853,17229,26803,61430,85483
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",3105,2753,4580,5935,5827,5043,5955,6905,9476,5091,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,15395,30897,26969,28036,22583,30484,48669,72881,78681,54743
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,355,0,3952,2034,136,5383,9447,12664,4992,,248312,207473,216993,207935,219168,193958,234567,190987,239260,387598,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
830242,"Base metal mountings, fittings and similar articles suitable for furniture (excluding locks ...",5491,4690,4687,4492,2105,1723,3771,3096,2670,4816,,242976,243381,254714,243881,238019,235772,244401,236791,222511,289679,,29013,29967,31340,30427,23611,20656,31480,31700,42530,62782
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",39,0,0,86,63,0,53,775,4488,4566,,14960,15739,15428,13147,11807,9195,8978,11305,8587,8832,,104378,92242,122047,148457,196701,256916,275093,296959,244864,305294
902110,Orthopaedic or fracture appliances,4070,2882,5778,5238,4597,2268,3421,3779,2612,4336,,23205,26072,26692,27753,31293,33671,36970,49184,39436,52736,,55101,33069,60256,62938,27670,18807,54897,49704,30404,75430
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",1919,3558,1684,2211,1859,3050,4625,3915,5965,4190,,658094,677425,687909,472295,520811,661971,662742,524117,436452,778384,,7015,4685,2692,4766,5621,5733,7377,8748,9262,8380
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",44,298,323,203,428,745,595,1945,3938,4146,,31178,32391,41469,52278,66694,77851,87593,75082,65106,85163,,68185,72877,84656,104269,67255,48430,58436,58774,109306,302359
381220,"Compound plasticisers for rubber or plastics, n.e.s.",1288,1761,2602,1364,1062,1562,1745,542,2247,4097,,19974,16953,15042,11927,13972,29283,31187,21758,19172,22419,,38655,35902,19995,17736,10897,36814,56243,70325,72846,68531
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",3117,5102,2721,7643,3053,5861,1182,4583,3290,3990,,342119,378357,370282,321806,289041,363946,345960,302090,247846,254370,,71132,65824,73889,77552,46674,39882,22699,29053,23988,27887
