Product code,Product label,India's imports from United States of America-Value in 2012,India's imports from United States of America-Value in 2013,India's imports from United States of America-Value in 2014,India's imports from United States of America-Value in 2015,India's imports from United States of America-Value in 2016,India's imports from United States of America-Value in 2017,India's imports from United States of America-Value in 2018,India's imports from United States of America-Value in 2019,India's imports from United States of America-Value in 2020,India's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",20776,4706,16579,41458,23382,76564,123610,135315,90235,129799,,5794347,6698628,6347103,6432894,6883929,7831725,8562310,8057202,6237398,6483538,,506974,489180,558583,683174,716393,946722,1063081,1047673,745364,1189612
999999,Commodities not elsewhere specified,2143594,3663642,391306,276361,245146,219067,76270,92200,102516,121323,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,12031294,11504703,10599267,10858832,10612878,4059866,2398328,1992015,1881351,1387613
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",6199,4953,3980,4849,5982,8476,6783,11288,6729,114778,,518710,577869,604958,598446,554728,617964,660674,666566,428258,458823,,29359,34911,41726,35712,38154,59745,55541,56169,34103,148400
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",298953,555997,225672,16677,14140,40054,43693,47731,47985,112664,,208083,206474,217715,233529,149606,205198,162542,217513,300871,397454,,3697739,3322588,604402,333142,140858,64329,117743,79336,103980,554419
290250,Styrene,2262,5139,1,0,19036,1,84496,245861,138550,110649,,2191741,2999165,2844525,2105486,1928710,2062892,2067629,2155266,1618147,2024542,,875954,963685,1008246,757252,775823,937421,1158098,880635,558533,1065778
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",50958,57398,67626,72571,72862,71691,81105,78686,80417,110634,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",82522,116438,116478,158675,1184991,84559,90282,92363,78206,101889,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,816935,693055,711071,806606,1772601,722631,888758,961255,838926,1088112
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,99353,87416,64211,44650,101026,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,473909,674567,580899,612358,886058
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",10775,12091,11968,15341,16813,21020,24114,25471,28982,96667,,397126,462682,477446,518669,575189,625595,734621,760476,873343,1135426,,19027,18933,20239,25928,31770,36908,50520,63311,76354,160240
846620,Work holders for machine tools,676,887,1741,1305,1149,1402,4348,7866,2955,86884,,256460,261408,280181,267439,260043,280088,325440,271095,192743,222578,,5386,7155,10278,8907,9120,11776,26915,21171,13604,100364
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",19755,29220,33866,74712,54952,60785,79198,70511,64418,86548,,1891008,2245259,1757316,1547391,1252116,1066073,1094032,1220679,1043606,1019697,,88871,98467,103189,157462,136884,139021,176180,211273,208179,225650
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",105033,50092,65524,82548,67047,67808,67384,50698,50169,85312,,11850020,10797792,10674546,11772683,10543240,11167993,10078492,9230539,7438310,8692030,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",39342,10207,23794,45040,115135,62626,50058,44642,48009,80717,,1687948,1566472,1623278,1821422,1516650,1619608,1853477,1890902,1432116,1510350,,140442,61270,70243,114137,167371,100462,126333,111974,120112,170596
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined",291134,213204,174659,140891,162673,95705,136799,114630,66818,80327,,540053,541127,451457,394389,388399,317897,346776,256811,220105,315633,,1731628,1358178,1246672,1574746,1621444,1670788,1869057,1931623,1550092,2332850
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",27421,30731,22570,37864,66893,64642,73564,81635,76970,79555,,1393734,1303089,1367566,1304489,1282172,1212870,1244984,1086371,1026089,1011673,,139656,150951,138651,177491,241602,257052,275494,298408,236107,308697
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",99354,104684,107515,113527,98523,95854,110544,103983,89362,77248,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,538722,493167,518370,520021,549866,598351,791610,881376,788337,816128
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",59265,56408,62965,55428,53349,51368,59645,55053,51418,76426,,1864458,2010519,2056817,2024956,1913451,1933251,2144692,2094839,1966354,2447217,,266936,266532,283321,291406,263406,293538,342499,380919,407171,493393
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",92927,71120,103877,86987,99096,70600,80037,66268,44907,74628,,2381134,2283805,2437360,2296613,2169990,2306589,2388030,2116973,1820914,2206297,,666905,502532,547557,491303,537214,676930,810200,663963,513285,858365
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",29094,33567,43648,44462,27008,27223,30687,37675,66803,74212,,356647,359233,372195,390854,364658,401643,494416,458870,446208,474052,,131955,148769,163086,185551,179090,173424,190606,190863,228299,277685
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",47666,46165,29367,36472,48990,41471,74374,63726,55189,73686,,3255016,3570863,3915829,3624414,3277853,3313514,3704464,3914166,3592091,4488128,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",85253,50662,45030,39818,50291,56042,54027,80564,91054,73399,,2222693,2444689,2502822,2366159,2125517,2123271,2475760,2481652,2321387,3456243,,1117880,1073212,1349834,1201315,1042600,1131284,787978,745255,648666,941634
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",58410,72007,69665,72771,85054,83180,86123,76336,48740,68532,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,244978,264349,286033,299149,328338,370233,374600,402585,289508,411496
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",89116,97329,67441,45290,48788,54102,36614,73853,78285,64635,,949344,1179701,1284980,1089502,1079960,1005528,1421054,1578792,1463072,1547791,,306639,313510,336829,355043,297466,378914,349652,389224,424435,500107
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",31350,40431,42113,29296,48207,69220,36203,54703,62487,62930,,1678136,1776013,1870699,1713391,1617062,1620984,1646915,1579363,1462065,1818388,,315017,379719,435205,405705,355993,404005,504946,485633,439961,892896
780200,"Lead waste and scrap (excluding ashes and residues from lead production heading No 2620"""", ...""",13088,20998,26086,25788,30334,43282,59118,54575,55204,62063,,30627,44941,51361,57472,56805,82477,81083,61652,70006,68695,,96687,113279,113924,91924,97460,160884,211692,166516,128937,168847
