Product code,Product label,"Germany's imports from Korea, Republic of-Value in 2012","Germany's imports from Korea, Republic of-Value in 2013","Germany's imports from Korea, Republic of-Value in 2014","Germany's imports from Korea, Republic of-Value in 2015","Germany's imports from Korea, Republic of-Value in 2016","Germany's imports from Korea, Republic of-Value in 2017","Germany's imports from Korea, Republic of-Value in 2018","Germany's imports from Korea, Republic of-Value in 2019","Germany's imports from Korea, Republic of-Value in 2020","Germany's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
911110,"Cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, of precious ...",0,0,0,0,0,0,0,0,0,0,,0,101,5,2,215,0,255,29,5,92,,24450,25112,23950,17435,15134,13559,11054,17054,17829,16176
940610,"Prefabricated buildings of wood, whether or not complete or already assembled",0,0,0,0,0,5,5,0,1,0,,0,0,0,0,0,140,263,109,296,1187,,0,0,0,0,0,192208,231042,229243,267427,353846
950611,"Skis, for winter sports",1,0,0,2,0,1,4,0,0,0,,82,147,156,248,131,148,115,87,31,115,,97627,102259,92582,79061,73006,80775,86490,85121,70079,51278
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",32,2,16,13,22,3,2,0,0,0,,826,304,318,181,245,180,468,859,380,1174,,70074,57352,70218,60251,52713,50526,53412,51189,56216,88538
220429,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",0,0,0,0,0,0,0,0,0,0,,4,31,19,23,70,33,16,5,12,8,,695795,839911,707886,552435,535121,556582,681047,566750,571299,541834
220590,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers ...",0,0,0,0,0,0,1,3,0,0,,13,5,0,3,0,0,0,0,0,0,,5405,8273,4372,2540,3794,2357,3868,2710,1578,2266
220830,Whiskies,0,0,0,0,0,0,0,1,0,0,,9398,8479,7357,7795,7961,8338,7418,8016,3051,998,,492333,570495,528203,469006,487488,525816,552045,495280,433465,483753
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,29942,71422,104137,48448,37261,40219,25772,29463,13218,23233,,1681515,1614951,1429787,1233326,1160980,1061079,1045921,898791,784458,1016277
230630,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,83959,89595,101068,78648,72036,96714,102839,115959,121424,133603
210610,Protein concentrates and textured protein substances,5,36,13,2,3,1,7,0,2,0,,4068,5506,5694,7661,7279,8402,9099,9642,17730,15806,,25618,32123,36861,37469,40191,52935,50979,79624,92646,113612
