Product code,Product label,United States of America's imports from Japan-Value in 2012,United States of America's imports from Japan-Value in 2013,United States of America's imports from Japan-Value in 2014,United States of America's imports from Japan-Value in 2015,United States of America's imports from Japan-Value in 2016,United States of America's imports from Japan-Value in 2017,United States of America's imports from Japan-Value in 2018,United States of America's imports from Japan-Value in 2019,United States of America's imports from Japan-Value in 2020,United States of America's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,251260,149745,229460,213217,201398,176708,194874,220511,312859,577017,,563584,497626,431855,357144,395482,457596,515283,482689,501694,691433,,2557520,2598887,2957942,2996345,2870512,3023144,3421054,3589182,4520463,5878978
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",463052,415962,499225,585665,420711,453804,444973,511007,432593,557273,,1969246,1561710,1492776,1183827,996829,1050072,1007519,1059841,824855,1060445,,4318411,4170089,4568257,4410636,4164016,4311347,4747328,4792756,4467190,5807888
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",786866,702586,619938,628607,576047,476733,552863,560366,434611,540589,,3315846,2931950,2731860,2326533,2091920,1920482,1972977,1890080,1499539,1876580,,7766860,8250764,8113907,8024235,7588516,7711584,8110683,8394340,7353764,8507632
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",651306,619435,553609,425432,449484,462882,465231,436928,334487,520297,,1913724,1746010,1570909,1370836,1301618,1322710,1350612,1069275,811851,1185481,,1186696,1124082,1111751,965833,986105,1056603,1109122,1010224,769993,1144758
847989,"Machines and mechanical appliances, n.e.s.",649140,595517,596062,524769,759900,1008991,785427,500307,483308,517344,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,3320662,3240773,3590171,3485083,3509142,4536854,4766746,4629761,4306969,5218856
910211,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",870899,1069759,1025738,969751,824041,731045,658716,613635,320646,500016,,83165,70309,97213,79014,81268,73132,69647,83982,93721,117146,,1847774,2039657,2053260,1908781,1656413,1404978,1271095,1115462,630837,941518
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",734012,706035,705543,623187,655498,614115,552190,482197,429663,495761,,6300567,5070097,4928240,3922028,3839023,3956388,3488007,3137388,2773698,3354625,,14982331,16865818,17807569,18228174,20936555,21096526,21617960,21568402,21399322,27551320
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,278784,283844,450454,386026,490934,,0,0,0,0,0,705691,767422,855445,752926,1003212,,0,0,0,0,0,900032,1059160,1099931,959680,1295602
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",243053,244601,263647,237053,237771,262193,362512,419454,318964,485387,,2823553,2603389,2703373,2801180,2805946,3206806,4040387,4315051,4679757,5595313,,542007,535857,1376083,903021,546250,570361,880101,901690,710627,1226684
841430,Compressors for refrigerating equipment,315311,363461,354636,300947,321509,301083,326793,276440,304716,484017,,1788703,1583292,1408478,1183748,1268087,1274628,1395504,1311744,1266744,1803557,,1827628,1951841,1987337,2127086,2122499,2186317,2161979,2258328,1945879,2441993
841391,"Parts of pumps for liquids, n.e.s.",271483,272351,274281,262866,264403,282306,329845,345064,418071,481113,,1201913,1092294,1055690,1009527,1119055,1018953,947676,902285,782383,883209,,2956423,2931006,3377183,2921602,2502555,2952816,3449786,3007590,2421994,3055653
870422,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",474654,506494,518160,554061,510809,615354,653024,737871,289735,468441,,5701383,4870748,5314745,4947932,4597140,4215465,4191716,3951568,2912694,4615752,,3850744,4415088,5298078,4816360,4402576,5498921,4288212,4111198,2839275,3206777
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",723449,679558,736645,680732,578635,466562,444658,403963,352920,458872,,1505443,1338402,1311576,1355502,1259881,1254378,1159466,1113115,967188,913676,,27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",444527,386540,322359,292798,268558,324289,331218,348663,382078,457470,,631089,795908,748949,956284,1038384,1012446,1053814,1193158,1165970,1066336,,1041547,984285,1014343,981893,1045398,1279158,2116323,2221867,1610198,1844389
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",503624,553276,563066,614462,610087,594632,582153,586089,453057,457424,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,691540,722565,682795,722831,707762,691664,682986,669405,525290,536905
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",207397,180949,192164,181475,139307,143927,154108,166291,299733,454128,,1371225,1309590,1395164,965605,985280,940690,1003959,987625,1239569,1651732,,1751064,1614886,1854547,2046319,2260510,2336152,2405471,2363941,2474796,2822655
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2767556,2584345,1211003,1390025,2341231,697823,2716888,939697,107892,444507,,8021167,6803802,4949131,4930431,6090438,4185856,7018835,5502329,2680999,2997833,,3719525,5160196,5653923,7066582,11027363,16084005,20867646,20863254,18258919,14705796
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",556696,467339,387359,363951,326228,406797,481717,456987,323934,427837,,2291970,1596532,1556977,1209474,1306332,1818446,2090725,1733903,1258041,1743400,,3834585,3295379,3504558,3262943,2874125,3386609,4072337,4073075,3073634,4274954
