Product code,Product label,India's imports from Germany-Value in 2012,India's imports from Germany-Value in 2013,India's imports from Germany-Value in 2014,India's imports from Germany-Value in 2015,India's imports from Germany-Value in 2016,India's imports from Germany-Value in 2017,India's imports from Germany-Value in 2018,India's imports from Germany-Value in 2019,India's imports from Germany-Value in 2020,India's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",27708,31945,34578,43689,41428,33292,38581,39693,31717,45965,,1429092,1432593,1602854,1320673,1422548,1637643,1721561,1498954,1369560,1493193,,139656,150951,138651,177491,241602,257052,275494,298408,236107,308697
848210,Ball bearings,45945,44893,45957,50552,42863,36717,53025,47973,28900,44980,,1605056,1717802,1731956,1479992,1516949,1728846,1869400,1691939,1569043,1922480,,323007,315467,373636,343538,348071,373302,497812,434874,342969,532604
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",6879,14205,26652,29362,40380,51113,37724,28196,38177,44160,,1047337,1120415,1223453,1130943,1154161,1213632,1258545,1142109,1042951,1086079,,41058,60303,106027,118291,127473,153126,140985,138950,186486,268661
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",27301,31015,34227,32579,34080,39812,49633,40546,31751,43685,,1325690,1486164,1579116,1418534,1413262,1559518,1646943,1541545,1486561,1771867,,246199,223400,230812,215233,235233,277984,346626,300850,263303,354701
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",20425,22270,26554,22574,29479,36227,37126,46112,30294,42513,,1746298,1796959,1857020,1808605,1798759,2165995,2306754,2095726,2164421,2460191,,244978,264349,286033,299149,328338,370233,374600,402585,289508,411496
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",8637,11467,14096,26247,33212,28492,38487,26212,21408,41512,,2390303,2620120,3001634,2740816,2844187,2794705,2867119,2523078,2288789,2819471,,86498,86576,85690,108193,114031,123866,133971,115691,105301,157256
711031,"Rhodium, unwrought or in powder form",1103,5004,4737,2636,2236,12549,21275,1281,6867,41428,,166187,117327,118900,108033,87914,185092,512700,902684,2505367,4630323,,6819,7195,11697,10415,7122,21429,40321,16145,42150,56858
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",16975,14500,19204,16212,24204,30335,42404,40704,27609,40957,,1386579,1402850,1426339,1115499,1102503,1263151,1376029,1459557,1280546,1389390,,80470,62781,65792,57773,71668,108099,142415,122871,88745,138277
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",22778,35416,56712,46168,65843,57557,70861,52910,56580,40774,,2468700,2750730,2807023,2340382,2421551,2561532,2778098,2805770,2881011,3175385,,168780,148166,163021,175318,233468,218191,252660,214972,218990,196216
902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",10167,5018,4570,3021,3287,3042,3958,5995,17190,40300,,699461,747212,760537,708446,810583,871389,874379,796712,708825,801980,,32902,33406,23609,24769,25693,34431,53672,88020,86094,111642
271311,"Petroleum coke, non-calcined",0,5,0,0,0,6040,11186,16140,11365,40242,,48859,59254,50093,31715,30302,51472,66910,46443,32777,71092,,460647,486532,540242,720127,842240,1324556,857267,1066864,794701,840353
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",2898,2616,9302,7115,8959,16017,16920,20350,47659,39582,,1342737,1635875,1685532,1494949,1528866,1513708,1407802,1303984,1027291,1094606,,114713,138156,186719,156466,168654,192503,232807,200254,278271,397983
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",12169,11148,17127,14336,28888,19739,27017,34353,42966,39295,,49549329,49490603,55114290,50015861,57000805,61580286,63825427,59214131,41983618,39686075,,24823,24395,24042,32713,45405,38728,42652,53226,75875,100435
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",36737,20557,32374,37114,28139,28199,41172,45937,42634,38114,,4130518,4291610,4905566,4667756,4681977,4863737,6033468,6286456,5890095,6291875,,1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
