Product code,Product label,Saudi Arabia's imports from Germany-Value in 2012,Saudi Arabia's imports from Germany-Value in 2013,Saudi Arabia's imports from Germany-Value in 2014,Saudi Arabia's imports from Germany-Value in 2015,Saudi Arabia's imports from Germany-Value in 2016,Saudi Arabia's imports from Germany-Value in 2017,Saudi Arabia's imports from Germany-Value in 2018,Saudi Arabia's imports from Germany-Value in 2019,Saudi Arabia's imports from Germany-Value in 2020,Saudi Arabia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
330124,"Oils of peppermint """"Mentha piperita"""", whether or not terpeneless, incl. concretes and absolutes""""",0,0,0,0,0,0,3,0,0,0,,7307,9499,7083,6018,7623,11461,8937,8004,8809,11518,,0,179,629,509,308,135,85,35,8,43
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",0,0,0,0,0,93,0,166,342,0,,40227,38794,32680,28560,26217,27134,23081,22596,23957,29941,,202,782,2716,3619,3857,5458,4555,4316,8126,1722
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",0,0,0,0,0,0,0,0,0,0,,20607,18585,8265,8362,11672,11354,9147,8703,6030,11226,,589,301,435,329,224,138,140,0,106,0
380510,"Gum, wood or sulphate turpentine oils",0,0,0,0,0,0,0,9,0,0,,1741,1743,2120,1818,1854,2180,3126,4511,3211,4640,,0,0,80,129,94,25,18,27,197,123
380610,Rosin and resin acids,0,0,0,0,0,0,0,0,0,0,,6286,6858,9800,4830,5816,6242,5381,4571,4810,7032,,1295,577,547,513,305,339,249,270,195,629
382473,"Mixtures containing hydrobromofluorocarbons """"HBFCs""""""""",0,0,0,0,0,0,0,0,0,0,,1,6,8,6,9,2,4,0,0,0,,0,0,0,0,0,102,0,0,0,0
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,268,0,0,51,0,0,0,14,0,0,,67281,71229,55980,19192,18215,18068,15141,12428,13849,15042,,26075,17990,12178,12356,14528,9369,893,1330,492,185
350110,Casein,0,0,0,108,0,0,0,0,8,0,,60735,72616,93410,78557,61689,51259,43342,47726,58133,53193,,9943,10157,13669,12754,7116,9199,9856,9574,17284,12574
370120,"Instant print film in the flat, sensitised, unexposed, whether or not in packs",0,0,0,0,0,0,9,20,0,0,,3061,3985,4987,4920,6826,6256,5958,11639,13390,11464,,306,40,0,50,26,64,566,332,325,654
370241,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,0,0,,12,75,156,177,573,895,806,1496,200,10,,471,0,0,0,0,20,0,0,0,111
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,3,0,0,,466,656,574,387,360,422,646,668,582,640,,0,0,0,80,0,2,0,3,0,1
370320,"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography ...""",0,0,0,0,0,0,0,0,0,0,,24682,24499,24658,23505,44321,26966,25162,20962,18148,17545,,3465,2122,1989,1781,555,519,710,845,491,666
150190,"Poultry fat, rendered or otherwise extracted",0,0,0,0,0,0,0,0,0,0,,47808,64405,58124,49163,49032,58839,59484,51921,57233,67488,,158,0,0,24,2,0,0,0,0,1
150200,"Fats of bovine animals, sheep or goats (excluding lard stearin, lard oil, oleostearin, oleooil ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,98
150430,"Fats and oils and their fractions of marine mammals, whether or not refined (excluding chemically ...",0,0,0,0,0,0,0,0,0,0,,31,0,298,0,0,0,3,8,31,0,,0,0,0,6,0,306,0,0,107,0
150810,Crude groundnut oil,0,0,0,32,0,0,0,0,0,0,,230,378,378,175,500,500,1173,431,355,802,,0,29,38,33,0,7,36,0,3,47
151229,"Cotton-seed oil and its fractions, whether or not refined, but not chemically modified (excluding ...",48,0,0,0,0,0,0,0,0,0,,359,323,339,396,1326,1531,1651,1378,705,600,,512,0,661,595,251,161,39,28,7,106
151321,Crude palm kernel and babassu oil,0,0,0,0,0,0,0,0,0,0,,1584,8846,4270,8093,844,50,269,235,385,162,,1711,629,371,919,383,616,213,2261,4809,13732
