Product code,Product label,"Russian Federation's imports from Korea, Republic of-Value in 2012","Russian Federation's imports from Korea, Republic of-Value in 2013","Russian Federation's imports from Korea, Republic of-Value in 2014","Russian Federation's imports from Korea, Republic of-Value in 2015","Russian Federation's imports from Korea, Republic of-Value in 2016","Russian Federation's imports from Korea, Republic of-Value in 2017","Russian Federation's imports from Korea, Republic of-Value in 2018","Russian Federation's imports from Korea, Republic of-Value in 2019","Russian Federation's imports from Korea, Republic of-Value in 2020","Russian Federation's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
620211,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool ...",38,50,45,77,81,115,86,181,45,44,,9770,10770,9696,12182,12309,9884,11459,9446,6433,7373,,44046,45613,47891,38206,38794,43215,48299,43589,40644,45246
551299,"Woven fabrics containing >= 85% synthetic staple fibres by weight, dyed, made of yarn of different ...",210,211,101,31,49,45,28,43,14,44,,15918,21226,25694,25490,28723,34421,42068,41167,27288,23960,,7966,5374,5336,3815,6809,15014,25977,15313,14460,13995
291521,Acetic acid,15,55,19,39,16,156,377,779,1307,44,,60814,63477,91784,79438,66242,79901,115455,93130,77172,120182,,14031,7793,1035,302,2329,1550,1301,1257,1840,4716
940350,Wooden furniture for bedrooms (excluding seats),221,77,29,26,28,167,69,22,71,44,,1534,2341,3029,2638,1900,3544,9156,3058,2928,1205,,187712,193287,167714,86349,53414,53175,54533,51737,50247,63441
853221,"Fixed electrical capacitors, tantalum (excluding power capacitors)",8,3,155,48,99,152,198,197,140,44,,25596,29362,20282,18599,29162,54584,53730,36827,37195,29389,,3176,2847,3217,2986,6413,11677,12667,12044,11954,15784
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",16,8,15,11,27,4,8,12,38,43,,225273,246907,213167,199882,149968,110629,73440,67833,58550,88824,,8600,13066,11933,8136,7967,11857,14584,13404,21312,20148
620323,"Men's or boys' ensembles of synthetic fibres (excluding knitted or crocheted, ski ensembles ...",7,40,164,43,40,40,32,51,40,43,,323,133,553,104,555,484,667,550,183,43,,15812,18424,26903,15608,12946,13037,16631,19358,18377,28848
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",6,23,19,12,45,93,76,64,67,43,,3683,3710,4448,16484,9027,5728,5872,7212,5940,5311,,9045,11727,19689,20789,29492,35859,42662,58066,48168,54889
220291,Non-alcoholic beer <= 0.5% vol alc,0,0,0,0,0,58,39,99,40,43,,0,0,0,0,0,555,718,374,2041,1809,,0,0,0,0,768,11899,18605,18077,17349,15713
620431,"Women's or girls' jackets and blazers of wool or fine animal hair (excluding knitted or crocheted, ...",30,13,8,3,1,1,1,17,20,43,,6364,4116,3491,2589,1577,2242,1909,2790,3574,8003,,8800,9809,8640,6669,8513,11455,15272,18223,19038,24045
940421,"Mattresses of cellular rubber or plastics, whether or not covered",4,40,37,1,25,2,21,1,34,43,,384,700,613,865,562,765,301,494,394,1014,,8950,9866,5482,3246,2662,3447,3851,3374,4493,6292
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",214,443,271,72,0,65,56,21,39,42,,711712,701773,619262,549747,480601,414106,387535,329566,305628,418609,,88475,51812,29142,29097,23799,23583,31344,32341,41910,60425
720853,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",29,4,13,1,0,0,1,1,2,42,,2053,6052,4771,2028,2661,7935,18711,6346,2908,4146,,37467,27845,34450,16859,12591,27367,31310,28867,28280,58829
851829,"Loudspeakers, without enclosure",3812,5023,6871,5011,2867,1389,615,381,579,42,,64281,91796,78048,77818,55818,52635,53823,41293,37861,57076,,139506,132754,115756,56803,55806,66788,78287,81698,74710,92921
230910,"Dog or cat food, put up for retail sale",0,29,23,50,40,74,122,34,32,42,,15806,10478,13305,12937,13518,12702,14498,36817,67491,99942,,221768,254380,266966,161805,199351,289237,314942,350796,387912,406607
