Product code,Product label,Japan's imports from China-Value in 2012,Japan's imports from China-Value in 2013,Japan's imports from China-Value in 2014,Japan's imports from China-Value in 2015,Japan's imports from China-Value in 2016,Japan's imports from China-Value in 2017,Japan's imports from China-Value in 2018,Japan's imports from China-Value in 2019,Japan's imports from China-Value in 2020,Japan's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
640319,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...",10313,10483,7610,4273,5028,3242,3487,2057,2293,2349,,646669,523932,494200,454561,416054,390240,378162,302243,166137,232722,,16073,13919,11061,10637,12563,11668,13219,11860,9479,9432
401011,"Conveyor belts or belting, of vulcanised rubber, reinforced only with metal",6638,5584,4406,1246,1567,118,2649,2589,1148,2348,,80954,84221,99819,79431,54919,70332,77052,117806,140094,113752,,7118,5615,4498,1328,2184,615,2733,2676,1745,2429
550110,"Filament tow as specified in Note 1 to chapter 55, of nylon or other polyamides",733,1000,716,1694,1341,1374,2344,2112,1633,2344,,11019,11854,11848,13136,16040,10411,5674,5880,5437,6521,,18854,27277,24197,27114,26320,25331,28014,28307,25808,33048
853329,Fixed electrical resistors for a power handling capacity > 20 W (excluding heating resistors),3774,6369,5846,2987,2441,4589,3593,3159,1863,2335,,24272,25704,29745,32268,33119,37509,42455,43700,38341,50162,,18444,16598,20309,11668,11162,15493,18589,12464,10396,13714
560790,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, ...",2643,2538,1891,2183,2216,2058,2134,2028,2106,2333,,64487,60126,70069,74085,73133,73126,79645,84684,96275,130712,,8632,8291,7277,6930,7139,7056,7411,7002,6325,7163
540742,"Woven fabrics of filament yarn containing >= 85% nylon or other polyamides by weight, incl. ...",841,543,1087,973,859,1328,1522,1870,1635,2326,,153839,201439,238535,214435,289426,364925,477758,546350,560860,650176,,6415,5778,6167,5162,3864,5141,5680,5914,4508,6032
391721,"Rigid tubes, pipes and hoses, of polymers of ethylene",4521,3592,3761,3513,3351,2650,1508,2088,1470,2318,,107903,119646,129752,135819,113939,139152,160472,171445,191725,227228,,14512,11476,10528,8786,9139,9139,9123,10859,7806,9560
290944,Monoalkylethers of ethylene glycol or of diethylene glycol (excluding monobutyl ethers),1272,1198,1285,1016,807,1043,1770,1458,1047,2314,,3758,8033,5348,5134,4632,6455,5022,6709,8322,15121,,19550,18294,19086,14784,13643,18943,19640,16903,17801,19362
90210,Green tea in immediate packings of <= 3 kg,2627,2423,1707,1536,1743,2043,2085,2009,1894,2313,,521045,641072,655015,654914,648563,637481,668895,685675,734142,695740,,2868,2725,2062,1930,2931,3458,3975,4026,3333,3237
294120,Streptomycins and their derivatives; salts thereof,1983,2615,2074,2435,2872,3507,2389,2545,2502,2306,,47842,41418,39357,47385,43816,60539,40399,37806,34848,40165,,2015,2638,2077,2443,2914,3507,2391,2545,2507,2306
843780,Machinery used in the milling industry or for the working of cereals or dried leguminous vegetables ...,3206,1690,1489,3869,5478,2359,2410,1790,2408,2302,,142517,157994,155286,121668,123103,139280,159355,173274,197155,203067,,6943,11424,4142,5890,11563,6244,4516,3584,7878,3784
670100,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down ...",5257,5463,5401,4874,5157,4182,3171,3432,2192,2292,,95390,112392,90432,59631,56358,59043,58817,77729,89209,46950,,5815,6128,6085,5330,6021,5827,4793,4857,3347,2508
560130,Textile flock and dust and mill neps,2494,1963,2876,2269,2278,2594,2476,2205,2235,2290,,8587,11949,11348,10951,12437,14041,15124,16199,14202,17354,,72245,54425,56561,48327,49524,60058,76725,81140,71659,76044
845710,Machining centres for working metal,8433,16724,13171,3505,1292,1591,6108,4382,3139,2283,,136290,157878,208301,198750,141200,144911,190059,249874,210006,256595,,84229,103606,95849,82532,97012,84296,134856,144417,82218,58479
390422,"Plasticised poly""""vinyl chloride"""", in primary forms, mixed with other substances""""",2388,4097,6173,4919,5383,5436,3901,3792,3144,2282,,83396,95558,103322,107728,120502,122913,126590,177911,264803,334073,,15645,15143,15964,10989,9356,8726,8476,10413,10333,7180
841319,"Pumps for liquids, fitted or designed to be fitted with a measuring device (excluding pumps ...",6198,6386,9221,8660,9533,9157,10278,8946,6708,2277,,46710,60893,86314,82587,77689,81330,96655,82566,93564,108555,,39447,52177,33021,25781,23799,27632,28876,32904,25914,21835
852799,"Radio-broadcast receivers, for mains operation only, not combined with sound recording or reproducing ...",10948,7468,5773,4905,3942,4141,7619,4235,3888,2274,,321208,398349,487207,465161,388925,324394,310167,324327,377332,403509,,23711,17300,16625,17013,19214,14761,17773,12939,12546,12293
