Product code,Product label,Singapore's imports from Japan-Value in 2012,Singapore's imports from Japan-Value in 2013,Singapore's imports from Japan-Value in 2014,Singapore's imports from Japan-Value in 2015,Singapore's imports from Japan-Value in 2016,Singapore's imports from Japan-Value in 2017,Singapore's imports from Japan-Value in 2018,Singapore's imports from Japan-Value in 2019,Singapore's imports from Japan-Value in 2020,Singapore's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",1,156,934,3,111,22,113,20,131,1488,,54,72,85,678,689,340,207,81,207,4254,,189309,217803,261253,170857,103528,134278,140628,144952,174239,186436
284210,"Double or complex silicates of inorganic acids or peroxoacids, incl. aluminosilicates whether ...",701,1118,837,967,1081,1378,1164,1371,1289,1481,,16980,15620,24693,42189,31166,128445,99670,91104,89933,109968,,2329,2593,2224,2047,2219,2514,3004,2783,2736,2702
330730,Perfumed bath salts and other bath and shower preparations,308,297,232,63,183,276,320,459,354,1481,,3723,3413,3778,3107,4059,5063,10353,10573,11617,16051,,24572,25413,19342,20106,19447,21715,24767,22658,28722,29124
841939,"Dryers (excl. lyophilisation apparatus, freeze drying units, spray dryers, dryers for agricultural ...",3056,5115,704,156,468,3189,1660,5786,735,1470,,225565,161005,124743,101246,135317,165014,140284,163150,107384,86921,,20837,36734,20336,19773,16688,18517,17515,17321,15113,26187
390469,"Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excluding ...",1562,1066,1455,2105,1128,773,533,859,775,1468,,393128,360915,392861,367596,375492,403457,464855,491471,436789,568787,,57687,23059,36927,26525,21124,19289,23647,25065,27033,33587
284920,"Carbides of silicon, whether or not chemically defined",1579,1377,2981,2795,2768,3978,3823,3695,1966,1461,,55199,38721,48979,38314,39051,46798,42265,29276,27531,45810,,19046,20722,27474,24119,20921,21005,12957,9060,7337,10245
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",725,288,292,171,185,699,655,980,1335,1459,,20155,16022,17429,19788,30790,36425,48459,58093,54554,72820,,149116,175494,165592,159966,156467,158899,164825,156752,125049,160310
291560,"Butanoic acids, pentanoic acids, their salts and esters",651,658,817,792,856,599,683,1275,978,1456,,12460,12403,10434,13104,13434,12866,14323,17098,16736,22843,,7284,6486,6990,11395,12893,6965,9297,16834,11979,44011
30771,"Live, fresh or chilled, even in shell, clams, cockles and ark shells """"families Arcidae, Arcticidae, ...""",921,1087,943,854,997,1018,929,992,820,1448,,835,1487,1311,1887,1163,1472,1777,1210,1818,5701,,6584,6645,7140,6719,6793,7174,6936,7217,4903,6612
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",1576,2462,3309,1060,2069,4116,1213,811,972,1448,,312180,259041,266790,311231,309676,335379,374373,291090,243401,253828,,26513,39676,33014,16926,23097,35163,36588,35212,29614,27357
900120,Sheets and plates of polarising material,4707,721,331,2371,3368,1603,1224,1849,1714,1447,,4273668,3769793,3411108,2747743,2573066,2853707,2816712,2638148,2403683,2447408,,7470,7857,3003,20445,24603,21414,33139,21524,17246,12669
730519,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external ...",3292,765,1205,1410,179,360,1170,332,697,1443,,0,32,4,0,0,0,0,44,0,70,,6477,1949,3311,4142,29249,4004,2636,928,2658,2969
840420,Condensers for steam or other vapour power units,606,22,90,110,280,268,844,570,1135,1439,,68266,19011,8530,10094,10604,3230,1537,7773,2952,4461,,12249,7783,2377,3140,536,1674,5697,5953,4348,2971
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,2120,1160,1025,800,1081,983,1257,1085,904,1431,,735668,740427,763205,700107,716952,742145,741376,641730,556449,665997,,23269,25502,19877,19292,24201,65670,94192,38712,34041,32773
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",1178,1377,1652,1244,651,1112,828,776,2550,1422,,367238,331309,358909,324955,325040,338364,358722,341415,341849,392330,,46379,50292,47822,47399,43888,47762,55185,41403,40643,54001
760120,Unwrought aluminium alloys,24,26,7,6,24,71,5,298,524,1421,,33740,37107,49348,47107,58944,67709,56239,45951,46450,80841,,25922,13029,20828,20805,14664,15889,14194,53172,63282,32511
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",1379,293,2869,11945,2406,1200,1080,1211,872,1421,,137159,135974,134973,104893,108007,97648,107747,102938,99630,115970,,16872,10882,19293,27538,107929,15867,17181,19425,24144,18118
740710,"Bars, rods and profiles, of refined copper, n.e.s.",1696,905,46,144,255,285,306,104,852,1421,,56081,47946,49845,45076,49030,61595,62803,59724,35747,86481,,172778,119702,139623,96203,78064,91226,101223,50040,38654,79089
291990,"Phosphoric esters and their salts, incl. lactophosphates; their halogenated, sulphonated, ...""",751,721,449,675,664,823,865,976,1335,1420,,87165,75689,78978,56525,58102,58544,65879,66706,80879,91530,,6237,7587,7295,7374,5787,8302,8569,6841,3964,11427
180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",5275,4599,4758,4592,5546,4081,2468,1405,1083,1417,,18146,15255,23638,25007,25589,21453,22617,22706,19517,24225,,97453,106029,95593,81125,90946,96354,99280,89824,51950,65142
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",1525,1073,505,1144,554,1910,1826,1143,803,1410,,675254,640742,541376,464930,490356,573910,623378,648067,615328,774066,,74787,42745,40295,41736,47974,54770,77819,77407,68530,64403
293220,Lactones,1324,1066,1060,1063,655,745,845,950,947,1408,,74994,70507,66672,59160,49825,47396,59743,65660,54553,52226,,50152,60035,88828,74231,52941,66470,61367,60551,152896,550663
847329,"Parts and accessories of non-electronic calculators for accounting machines, cash registers ...",315,279,2153,293,311,1083,1474,1280,485,1405,,81501,75536,67226,66063,53615,52539,47293,36886,30050,36141,,19615,26369,25201,50391,89022,78858,64162,53551,28470,91442
