Product code,Product label,Australia's imports from Russian Federation-Value in 2012,Australia's imports from Russian Federation-Value in 2013,Australia's imports from Russian Federation-Value in 2014,Australia's imports from Russian Federation-Value in 2015,Australia's imports from Russian Federation-Value in 2016,Australia's imports from Russian Federation-Value in 2017,Australia's imports from Russian Federation-Value in 2018,Australia's imports from Russian Federation-Value in 2019,Australia's imports from Russian Federation-Value in 2020,Australia's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not ...""",165,88,50,25,45,179,132,122,235,326,,27579,34867,21230,0,0,0,0,0,0,0,,2278,2839,2422,2186,2273,1962,1773,1931,2323,2403
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",0,0,0,0,0,0,2,14,249,316,,431,360,199,172,263,363,308,502,432,408,,834,631,822,818,668,550,888,839,1126,975
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",0,0,0,0,0,7,34,21,88,314,,8207,7369,8771,6526,5105,6986,7939,7730,7274,10009,,30463,36224,38300,29720,32937,33541,37731,38335,43508,48745
292142,Aniline derivatives and their salts,0,0,0,0,0,0,0,0,0,295,,49208,49717,32590,27864,25946,36814,23512,18436,14254,16298,,2056,2088,3326,1842,3551,4150,3661,3604,3209,3919
441011,"Particle board of wood, whether or not agglomerated with resins or other organic binding substances ...",0,0,0,0,0,26,141,186,92,289,,200778,194648,198774,157992,176756,248886,306422,303682,258496,456043,,17182,16469,19004,17520,20333,23345,32037,19064,14528,19420
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",306,2,3,0,1,8,1,14,83,275,,107743,114717,104644,74938,88655,124238,127830,149832,195152,192740,,392746,414714,444894,461474,464097,498852,637900,651889,602796,673292
310250,"Sodium nitrate (excluding that in pellet or similar forms, or in packages with a gross weight ...",0,0,0,0,0,0,160,114,111,266,,1217,827,1107,2089,2438,2997,3324,5467,3190,3810,,1660,1521,584,532,857,1249,1654,1258,1485,1573
871000,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, ...",0,0,0,30,56,80,0,0,0,258,,132564,10135,13491,0,0,0,0,0,0,0,,47338,30765,26263,30457,100620,213561,249582,257877,162009,150735
630299,"Toilet linen and kitchen linen of textile materials (excluding of cotton or man-made fibres, ...",150,143,147,199,214,96,156,217,123,258,,1657,1637,2289,1635,2687,2155,2544,2189,1352,1335,,1601,1274,1652,1329,1229,1789,1873,1987,1915,2322
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",120,76,214,219,206,240,352,208,156,256,,99894,90511,138919,49866,60082,124181,137971,181324,114701,150374,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
271320,Petroleum bitumen,0,0,0,0,0,0,0,5,126,248,,285560,269969,138228,55264,47747,58087,87421,69167,87898,177449,,404522,496992,410666,254064,135064,269635,362786,338974,302806,386883
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",101,220,159,168,136,151,119,106,161,239,,21064,17912,19857,15946,12520,22656,22339,33653,26118,29591,,206644,202631,180369,174791,162088,132888,99017,100368,87836,116523
310260,Double salts and mixtures of calcium nitrate and ammonium nitrate (excluding those in pellet ...,0,0,0,0,0,6,19,0,134,238,,4,1,136,24,260,169,692,558,5492,7470,,10930,10225,14769,12873,13155,10307,13326,10757,14494,13909
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,141,130,153,177,233,278,359,235,149,237,,3970,2972,4460,2699,1795,1932,2382,2600,1958,2632,,8416,7372,6571,7637,7216,11254,14808,13802,8626,13132
731829,"Non-threaded articles, of iron or steel",12,35,8,13,2,7,6,77,272,223,,2271,3394,3171,3212,3976,4251,5163,6898,6576,8300,,63170,52099,57806,53670,47209,58576,63819,64435,55261,57568
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",0,0,0,0,0,1,0,116,0,210,,367851,290696,292977,263202,319182,348496,358492,398116,523583,581604,,7022961,6092237,5517512,4450570,4706668,4337316,4291148,4342930,4624241,4680409
330720,Personal deodorants and antiperspirants,224,521,228,52,2,6,2,2,6,181,,47641,61595,50073,38998,53041,72283,71435,99734,118212,171401,,34343,36816,33935,29669,29411,26575,28320,27386,28078,27830
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",0,21,72,13,12,8,24,30,683,180,,59302,68230,54589,32561,42799,48729,50136,58607,73423,86273,,56832,64908,82239,90407,94392,96342,99633,112054,121689,118635
854081,"Receiver or amplifier valves and tubes (excluding microwave tubes, photo-cathode tubes and ...",95,108,83,146,175,143,139,158,228,176,,11255,8415,9618,8386,7302,8024,8551,7816,8632,8233,,567,389,410,488,259,433,418,326,526,497
