Product code,Product label,"United States of America's imports from Korea, Republic of-Value in 2012","United States of America's imports from Korea, Republic of-Value in 2013","United States of America's imports from Korea, Republic of-Value in 2014","United States of America's imports from Korea, Republic of-Value in 2015","United States of America's imports from Korea, Republic of-Value in 2016","United States of America's imports from Korea, Republic of-Value in 2017","United States of America's imports from Korea, Republic of-Value in 2018","United States of America's imports from Korea, Republic of-Value in 2019","United States of America's imports from Korea, Republic of-Value in 2020","United States of America's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",24393,31377,34482,38206,39635,67171,87227,74443,85310,227130,,901491,990534,1078817,860635,740035,782301,917776,885612,878218,1432086,,306299,303177,351025,353046,376391,477199,477620,409287,393891,935146
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",99014,102204,124691,117614,133483,167116,164404,160103,183630,227123,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,5675487,5906734,6269066,6677328,6707960,7387174,8219633,8721334,9164364,11202232
842211,Dishwashing machines of the household type,44714,80198,68379,77576,82341,117166,123789,116259,151552,225400,,158277,157841,138455,134967,156637,205084,165256,174340,245780,408410,,223533,308497,340185,334285,358686,422163,436298,470122,563148,767468
711031,"Rhodium, unwrought or in powder form",625,7553,17791,21485,11423,1072,2389,504,54259,224135,,1977,7793,20661,18206,11614,950,4436,7852,115804,563984,,505420,342941,387089,331684,218714,380415,979368,1635004,4357402,9156283
830230,"Base metal mountings, fittings and similar articles suitable for motor vehicles (excluding ...",233248,215367,232336,236289,241158,204903,190496,211625,197610,221788,,141949,190338,226740,226719,327395,424957,480009,484919,412157,467366,,1641782,1716297,1859620,1910969,1879918,1977043,2121625,2181499,1776644,2241301
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",193342,170115,194612,191913,192794,160417,153677,228199,187306,218989,,459989,452922,532346,572947,553269,546328,510486,502789,338893,355300,,3391108,3430562,3848080,4314409,4190768,4260337,4665225,4107986,3655401,4879561
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",184568,197505,238602,269704,252745,243605,326421,355637,234182,216063,,1182100,1177544,1015781,882165,778027,731120,740000,665101,473295,499968,,522133,521657,552708,627437,594197,574514,647948,661218,473960,554097
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",59999,36367,207086,84323,97387,71434,28123,9243,337751,206979,,2308729,1633965,1729466,1296941,1579533,1262091,1173496,1175432,1522601,2001367,,5626853,4562786,3505923,3501566,3935002,3297128,3040504,2993541,5021818,5581727
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",114573,127436,142390,123836,127809,176731,169429,134512,105228,201842,,2544192,2677541,2557618,2133712,2072914,2684243,2793255,2244479,2051130,3011110,,375842,352178,373795,323927,300568,383299,404218,311242,266686,561287
940190,"Parts of seats, n.e.s.",170510,197224,207231,157644,170543,141844,157094,162671,133920,197932,,818046,874738,824525,739917,843934,850142,873080,798014,666175,750707,,8535193,8930647,9886493,10591022,10700043,10027317,10346533,9981184,8022816,9332611
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,152471,177350,194906,172585,196528,,0,0,0,0,0,158959,177294,174966,138337,249033,,0,0,0,0,0,900032,1059160,1099931,959680,1295602
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",55947,86198,114733,115858,120355,114528,143838,173014,143474,196247,,188589,215870,295377,368268,361594,352843,434986,523087,420996,435043,,1718698,1748973,1847689,1943190,2008689,2341411,2222323,2225066,2151365,2687224
721061,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",64421,132472,151384,211594,164645,131443,146931,128969,122367,196055,,453391,403181,397031,342296,336365,388965,509270,425809,380671,595330,,417868,481761,695001,601482,571240,747523,640843,391102,346001,961320
741110,Tubes and pipes of refined copper,99177,140780,156377,121627,73378,83682,85749,73313,77141,193303,,395090,401242,388895,333406,258868,305123,303545,267970,258538,419367,,556433,551168,581756,463916,404428,480249,531467,515925,603017,876164
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",51788,72097,74816,75072,76508,86926,107880,122105,160173,192672,,14712,16229,16804,13462,16326,17738,22109,150995,465887,553982,,857591,921686,953265,1024957,1074138,1262083,1440158,1408759,1446298,1709120
850440,Static converters,74169,66190,72503,92955,70685,89728,137082,136378,165194,192466,,825144,629962,609623,590316,564278,642611,751976,715934,792460,1005992,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
841191,"Parts of turbojets or turbopropellers, n.e.s.",149537,193345,179841,153557,179344,197542,198840,218909,195479,179620,,165142,178745,186332,173884,150613,172090,194203,233712,195107,214599,,10363016,11273825,12132580,12584051,12180613,13619339,14280649,15566416,9390307,9624664
820730,"Interchangeable tools for pressing, stamping or punching",67484,89224,160067,143767,79442,163826,241765,177029,225971,179539,,771173,789785,959716,951945,924128,992845,1109868,1020994,1101072,833162,,936427,1121339,989224,1060654,1058765,1237000,1474286,1136697,1149821,1239366
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",39489,30119,36208,55003,82234,125063,129602,173289,163804,179075,,131721,147973,171451,174704,201273,209956,230765,212528,204738,259290,,1933657,1829301,2014384,2032707,1822412,2004674,2203939,2102942,1773411,2301383
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",273405,280656,271908,266587,234275,222489,235004,239796,184976,177210,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",28274,28397,53955,61084,71215,80003,84570,92773,116771,173857,,56929,88933,104696,118053,136247,135203,151892,173333,212562,315470,,929059,1033832,1053970,1136304,1195308,1425739,1832639,1701910,2031276,2560857
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,120788,201228,346018,153672,93521,316843,134558,94829,79520,172739,,544208,854869,1121897,1231861,684594,748267,1096304,2020657,1876984,2936715,,4231430,3006436,4971735,2910361,2545081,3462147,3805289,6652928,3711923,4492157
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",128687,104506,99700,206266,127941,132668,170811,153030,157598,170102,,940083,853307,750715,647851,633800,691605,1297221,972899,922276,1071559,,1389498,1369070,1368945,1586136,1373971,1511466,1799530,1674363,1541409,1731282
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,76186,34668,73308,85445,167260,,0,0,0,0,0,513464,608747,506925,410998,437440,,0,0,0,0,0,764292,1286381,998364,902218,1660815
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",57645,30801,64884,133774,109825,73727,76728,102106,144657,166885,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,1814041,1937079,1973460,2728281,3108571,3085085,3215045,3413691,3509957,4654092
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",155069,177971,189024,194701,188961,167760,149757,143268,120411,163150,,317047,305569,341190,449777,417334,404999,416766,401876,293201,344006,,2277082,2275206,2546174,2573871,2411992,2513070,2726134,2583055,2229814,2725240
