Product code,Product label,"United States of America's imports from Korea, Republic of-Value in 2012","United States of America's imports from Korea, Republic of-Value in 2013","United States of America's imports from Korea, Republic of-Value in 2014","United States of America's imports from Korea, Republic of-Value in 2015","United States of America's imports from Korea, Republic of-Value in 2016","United States of America's imports from Korea, Republic of-Value in 2017","United States of America's imports from Korea, Republic of-Value in 2018","United States of America's imports from Korea, Republic of-Value in 2019","United States of America's imports from Korea, Republic of-Value in 2020","United States of America's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
521039,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",74,290,438,60,49,40,59,37,2,7,,18586,15894,13804,16416,17653,14545,11864,9206,7739,7943,,4149,2989,2978,2567,2119,2263,2112,1584,1677,1870
620891,"Women's or girls' singlets and other vests, briefs, panties, n?glig?s, bathrobes, dressing ...",41,31,14,7,35,5,13,42,4,7,,1291,1355,1467,528,1228,564,625,395,294,258,,141456,127076,131387,123002,105093,119456,129489,120282,99989,158859
310590,Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium ...,112,168,12,64,102,9,0,0,6,7,,3806,7154,2995,3777,3021,4115,3907,3510,3935,4132,,133865,114579,109266,108442,128664,93032,126959,118257,87594,106817
401490,"Hygienic or pharmaceutical articles, incl. teats, of vulcanised rubber (excluding hard rubber), ...",14,17,174,4,15,23,1,3,3,7,,7308,5017,4949,3934,4214,5286,6235,7120,6606,6224,,15694,14085,13930,12451,13849,11795,14267,15679,16217,18033
30788,"Smoked, dried, salted or in brine, even in shell, stromboid conchs """"Strombus spp.""""""""",0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,0,0,0,0,0,25,678,516,144,598
450200,"Natural cork, debacked or roughly squared, or in square or rectangular blocks, plates, sheets ...",0,0,0,0,0,0,0,0,0,7,,0,7,1,5,0,0,0,97,214,291,,607,527,866,971,823,907,1137,968,539,743
850220,Generating sets with spark-ignition internal combustion piston engine,22,0,23,42,2,0,182,182,16,7,,8622,39865,5014,29620,23930,87,32372,5665,1818,13622,,694121,834611,547310,560466,513780,779601,1173137,704717,977862,1455765
902511,"Thermometers, liquid-filled, for direct reading, not combined with other instruments",11,2,6,0,12,74,19,32,179,7,,162,294,308,82,145,209,396,338,367,531,,13992,15831,15173,16762,14589,16580,17567,19866,39520,19920
900652,"Cameras for roll film of a width of < 35 mm (excluding instant print cameras, single lens ...""",14,137,49,47,3,0,0,0,17,7,,384,249,0,0,2,3,45,0,23,0,,2377,5376,5476,6733,2064,2015,1727,1038,1128,816
442110,Clothes hangers of wood,8,0,0,12,15,28,0,5,0,7,,255,273,197,130,152,209,150,300,188,184,,51142,53303,55083,60717,46774,48409,54401,52485,35217,41947
846722,"Saws for working in the hand, with self-contained electric motor",0,10,0,37,0,11,66,2,92,7,,905,698,600,363,394,156,188,142,67,51,,499522,547532,577093,683829,710763,828713,877066,917467,1117625,1500498
681019,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone (excluding ...",714,23,0,186,43,90,147,115,40,7,,21837,28152,29574,13453,3634,4460,3308,2555,2138,2203,,47634,47512,63837,69153,77432,77709,87263,81230,68648,84772
630259,"Table linen of textile materials (excluding of cotton or man-made fibres, knitted or crocheted)",0,0,0,1,0,2,1,0,3,7,,1,6,2,1,3,2,4,81,4,4,,16545,21169,28282,29047,24173,27980,33247,30912,26089,41675
521119,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",12,1,4,12,1,7,16,9,7,7,,354,858,168,218,114,28,110,222,37,25,,5468,4866,3972,3822,3161,4496,4788,2243,2069,2393
551693,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",19,22,17,7,4,0,0,8,11,7,,91,16,209,224,21,960,547,306,262,93,,8575,8534,9662,10323,8978,8625,9807,8157,6687,9955
510130,"Carbonised wool, neither carded nor combed",0,0,0,0,0,1,0,0,0,7,,49,4,1,0,1,0,0,0,0,0,,2240,2739,2174,3124,3202,2388,2336,2233,1759,1511
520952,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, in three-thread ...",229,419,103,39,44,5,4,2,5,7,,3864,2103,1358,1040,1377,710,593,380,71,387,,1471,2073,1639,1256,982,1060,940,438,507,681
284329,"Silver compounds, inorganic or organic, whether or not chemically defined (excluding of mercury ...",0,8,105,2,0,14,0,5,0,7,,714,166,284,546,1228,1333,1337,1378,1302,250,,4809,2745,2706,1499,4393,4082,4333,3615,4901,3588
950651,"Tennis rackets, whether or not strung (excluding table-tennis bats)",0,0,0,40,7,0,10,0,3,7,,17,23,0,2,16,5,2,5,4,93,,60661,60747,54367,52837,42483,46224,47990,45050,48601,81839
900792,"Parts and accessories for cinematographic projectors, n.e.s.",2259,2017,995,2167,1722,165,117,101,15,7,,3505,1582,2564,416,363,348,233,218,19,15,,5708,4196,3573,4562,4206,3567,3031,3072,916,2498
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",0,0,0,0,0,0,5,11,0,7,,13,20,25,617,368,692,357,280,236,366,,19749,24867,29595,36680,31915,32130,32337,26032,21095,25909
845310,"Machinery for preparing, tanning or working hides, skins or leather (excluding drying machines, ...",0,0,201,0,0,0,3,98,137,7,,5129,11468,8660,5612,6996,5112,9193,5374,4262,3391,,8360,12524,12581,12975,10191,14176,11823,7625,6117,9441
610431,"Women's or girls' jackets and blazers of wool or fine animal hair, knitted or crocheted (excluding ...",25,0,2,2,1,9,0,3,10,7,,1163,1893,921,249,574,3611,3931,121,205,358,,15243,13491,11591,10845,12595,11200,8585,10814,8259,10000
902810,"Gas meters, incl. calibrating meters therefor",48,5,2,3,8,0,9,0,4,7,,7930,8538,11950,8113,11057,13256,8611,11283,12334,10687,,33068,41039,37556,38910,26810,34610,37809,55219,57566,58302
870350,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,0,0,0,7,,0,0,0,0,0,52,79,55,1605,2081,,0,0,0,0,0,317,328,1001,407,640
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",232,1,1,1,1,5,10,101,72,7,,814,922,913,1128,1289,1538,871,766,320,374,,422302,414589,509492,516897,435464,482348,516008,491387,355735,478484
843049,"Boring or sinking machinery for boring earth or extracting minerals or ores, not self-propelled ...",1217,822,958,323,135,501,442,687,0,7,,11618,10599,12175,6310,5196,7611,7202,5411,6269,6021,,254862,143362,116406,163343,85951,106444,135325,103550,63180,81473
846039,"Sharpening """"tool or cutter grinding"""" machines, not numerically controlled""""",45,43,2,17,4,0,25,15,21,7,,698,1112,1010,745,821,90,576,211,218,267,,18012,19295,21412,17677,19937,16647,19725,19370,16309,24007
740200,"Copper, unrefined; copper anodes for electrolytic refining",9,6,6,28,25,7,19,0,3,7,,4409,2879,11899,14063,14566,19911,27186,15283,191710,331315,,8737,7441,5185,46344,3129,3603,3006,1911,2101,2999
852842,"Cathode-ray tube monitors """"CRT"""" capable of directly connecting to and designed for use with ...""",0,0,0,0,0,1530,0,46,0,7,,0,0,0,0,0,575,1294,380,35,34,,0,0,0,0,0,9606,841,1519,354,331
550810,"Sewing thread of synthetic staple fibres, whether or not put up for retail sale",15,35,17,19,17,84,20,16,45,7,,56653,51331,44432,30825,30996,29944,22967,18899,11107,14797,,12438,11951,12813,12094,10524,11156,13061,10003,10361,10250
711711,"Cuff links and studs, of base metal, whether or not clad with silver, gold or platinum",112,72,126,108,83,79,57,91,11,7,,222,301,265,70,81,108,52,126,135,71,,13504,13529,12534,10837,8504,7370,7950,6563,3314,4194
710410,"Quartz, piezoelectric, of synthetic or reconstructed stone whether or not worked or graded, ...",0,0,2,15,161,40,11,12,12,7,,1527,1484,1482,1060,1727,1184,1157,1009,1178,1071,,2754,2525,3077,2061,2260,2788,4401,8556,10445,9209
750521,Wire of non-alloy nickel (excluding electrically insulated products),4,11,0,0,0,0,0,0,0,7,,297,275,109,89,50,35,33,25,15,20,,8366,6875,6221,5413,8742,8310,4235,5165,4648,4802
940530,Electric lighting sets of a kind used for Christmas trees,9,0,4,7,0,0,5,1,0,7,,9,29,6,79,33,12,155,98,13,31,,508159,575397,562824,564148,549359,494529,515385,502689,478541,577096
844230,"Machinery, apparatus and equipment for preparing or making printing blocks, plates, cylinders ...",22,9,71,254,153,6,189,246,196,6,,17939,4825,4763,2359,7188,2418,13494,4792,5502,4998,,63607,52362,57025,54545,52690,41896,44584,40392,28923,34127
411510,"Composition leather based on leather or leather fibre, in slabs, sheets or strip, whether or ...",4,34,18,10,74,0,1,19,11,6,,2133,3054,5180,5801,2805,2007,2035,3802,2070,2878,,16049,17891,19690,19751,34766,27010,17436,18564,7481,7005
620199,"Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles ...",1,1,73,8,22,5,1,45,10,6,,311,807,1682,1289,2255,583,416,1422,876,1904,,6733,8098,8848,7916,6498,6953,9560,8175,7098,9594
845612,"Machine tools for working any material by removal of material, operated by light or photon ...",0,0,0,0,0,62,0,0,29,6,,0,0,0,0,0,7502,2548,140,50,26,,0,0,0,0,0,8108,3820,4480,3922,3341
71440,"Taro """"Colocasia spp."""", fresh, chilled, frozen or dried, whether or not sliced or in the ...""",3,0,0,0,0,3,0,0,0,6,,0,1,0,0,2,0,0,1,0,1,,2021,1824,1833,2213,7998,44922,57356,69661,64948,64674
630630,"Sails for boats, sailboards or landcraft, of textile materials",0,0,0,0,0,11,0,19,0,6,,76,20,13,0,2,0,3,0,0,3,,23753,26099,26013,28959,29069,31560,33746,38630,26824,36335
283539,"Polyphosphates, whether or not chemically defined (excluding sodium triphosphate """"sodium ...""",38,39,203,51,51,75,58,110,12,6,,2147,2546,2228,2364,2846,2772,2663,2212,1377,1171,,100810,102999,110063,107284,82522,83296,84652,77788,72036,87053
401011,"Conveyor belts or belting, of vulcanised rubber, reinforced only with metal",13,17,8,25,5,0,20,41,2,6,,1805,3011,697,5031,2567,2926,2469,1012,928,1333,,24554,23935,22302,18832,15606,16652,28394,24015,22474,16377
620721,"Men's or boys' nightshirts and pyjamas of cotton (excluding knitted or crocheted, vests, singlets ...",1,5,0,0,12,0,0,0,1,6,,20,21,63,54,43,29,35,92,25,221,,36192,37845,40138,41524,38678,36325,41462,40616,30822,53359
551422,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",6,0,0,3,0,0,2,0,0,6,,1333,2242,2199,776,1205,1278,570,497,736,2141,,2022,2443,2209,2966,2548,2312,1873,1736,1571,1350
320620,Pigments and preparations of a kind used for colouring any material or used as ingredients ...,0,0,0,4,0,0,0,0,0,6,,7765,8042,8391,7851,5342,4441,3988,3702,2556,2262,,11752,10061,8785,7998,8266,8778,9004,16147,16240,19581
860800,"Railway or tramway track fixtures and fittings (excluding sleepers of wood, concrete or steel, ...",19,4,11,15,13,44,89,69,18,6,,3254,20944,5011,4841,4944,13122,6899,2377,2540,19923,,25550,34580,40303,34989,38033,36326,38634,31964,30266,34223
940591,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, of glass, ...",5,1,12,19,5,22,7,6,99,6,,169,1105,1527,1193,1077,871,717,740,793,621,,71394,69166,70851,69579,66776,69702,63754,50695,41470,54785
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",0,0,0,0,0,0,41,7,0,6,,254601,102082,57837,61647,29091,41467,37261,42067,55262,160394,,827973,1254756,1601314,1565484,921104,742535,563735,382569,266665,218073
611220,"Ski-suits, knitted or crocheted",0,0,0,1,0,4,0,0,1,6,,2,2,0,4,2,1,2,12,1,5,,1259,1540,1211,1778,1036,1513,1889,1675,970,2063
760529,"Wire, of aluminium alloys, having a maximum cross-sectional dimension of <= 7 mm (other than ...",123,113,50,84,61,57,38,35,21,6,,7925,661,2706,2839,1153,1555,1218,1341,917,1449,,24925,16839,21336,23851,22743,24277,30292,29288,20054,27045
580133,"Cut weft pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry ...",2125,1085,302,11,17,11,20,90,11,6,,1988,876,457,875,1180,1095,1054,1048,1316,1745,,13143,12783,10081,12222,11513,10829,9897,8314,6254,7894
550921,Single yarn containing >= 85% polyester staple fibres by weight (excluding sewing thread and ...,141,15,14,26,37,36,96,138,29,6,,1969,2331,1674,801,1273,1502,2344,4792,732,2291,,45968,46177,37992,37517,24014,21897,28605,39432,31444,44376
441231,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of tropical ...",0,0,7,12,0,5,5,0,0,6,,35,675,957,1839,155,252,142,351,239,301,,294628,286770,265684,325032,277895,305675,549240,367533,338502,657883
611190,"Babies' garments and clothing accessories of textile materials, knitted or crocheted (excluding ...",68,78,80,20,29,10,10,33,51,6,,218,621,739,834,613,389,888,1043,967,693,,8446,9058,11409,12379,11152,10662,13893,17214,24458,40569
271114,"Ethylene, propylene, butylene and butadiene, liquefied (excluding ethylene of a purity of >= ...",9153,4556,0,17,35,45,5642,69,35,6,,296,1846,419,16112,427,569,843,525,569,513,,1064818,739354,663318,271687,209354,425727,429144,345579,232289,477625
620291,"Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",28,24,110,27,21,23,27,93,40,6,,965,793,256,486,657,753,1778,3051,2021,2145,,40953,37251,38979,30358,25435,20688,20337,19187,12914,17967
480459,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",68,33,231,27,6,299,68,13,0,6,,2152,12064,14784,11010,2370,1547,1649,1995,931,761,,4375,4081,4614,5156,4945,6816,7781,5779,6324,4748
370120,"Instant print film in the flat, sensitised, unexposed, whether or not in packs",4,3,0,48,18,1685,5,0,11,6,,1350,2125,375,938,138,1756,118,4,5,139,,10020,14142,22990,33653,71849,112443,137965,120891,105027,137763
90300,Mate,0,4,0,2,0,0,0,0,0,6,,12,57,3,14,2,3,2,2,0,5,,5124,8134,7999,7573,7990,6390,6505,8066,7005,5417
30111,Live ornamental freshwater fish,25,17,11,9,0,0,0,46,0,6,,104,11,9,0,1,0,5,0,1,1,,48748,50391,45420,44070,47276,48222,54761,53454,54736,77821
847010,"Electronic calculators capable of operation without an external source of electric power and ...""",16,19,7,62,28,24,0,5,31,6,,35,12,88,118,227,46,18,42,61,129,,174031,166158,167001,159572,130454,123797,123425,115394,95238,88187
830610,"Bells, gongs and the like, non-electric, of base metal (excluding musical instruments)",0,18,3,53,13,71,0,0,0,6,,1660,228,1603,398,167,46,282,314,459,1382,,51683,53950,53510,58113,57568,58143,61190,62156,52514,73432
960622,"Buttons of base metal, not covered with textile material (excluding press-fasteners, snap-fasteners, ...",8,13,13,29,3,7,19,6,0,6,,6463,5919,4985,6089,3742,3371,3153,2073,2308,2395,,11800,11948,8555,9030,8121,8517,8157,5856,3473,5079
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",50,127,3,82,231,757,59,1491,79,5,,2664,2160,3437,2822,4498,7721,1601,2608,4503,3107,,228349,232352,231147,197416,238435,251228,273037,303253,306463,335078
521111,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,0,5,,809,1439,215,145,285,145,276,295,55,53,,3418,2250,944,883,752,733,1350,2213,1467,827
370130,"Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm",6,0,6,3,0,10,105,9,4,5,,15974,19405,18972,15872,16911,17231,21923,31862,31064,39506,,138047,146087,155461,143963,114676,120516,121961,155238,115241,158511
160561,"Sea cucumbers, prepared or preserved (excluding smoked)",0,0,0,0,0,3,4,0,0,5,,8852,16849,6749,13938,8717,10171,4200,3461,8286,20342,,2048,2352,3936,4548,5242,6103,2836,2155,702,1184
30497,"Frozen meat, whether or not minced, of rays and skates """"Rajidae""""""""",0,0,0,0,0,0,0,0,0,5,,0,0,0,0,0,4,32,30,0,20,,0,0,0,0,0,0,0,24,97,5
90620,Crushed or ground cinnamon and cinnamon-tree flowers,4,0,0,0,0,0,0,0,0,5,,2,5,2,2,5,2,9,127,16,71,,15778,16139,16854,18726,21511,44521,41418,48888,48246,66471
551443,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,5,,2580,2753,2475,2026,2445,2685,2668,2268,4143,693,,384,115,244,271,377,147,60,53,77,75
852719,"Radio-broadcast receivers capable of operating without an external source of power, not combined ...",0,0,13,15,42,123,128,48,19,5,,146,220,139,99,205,104,100,649,148,11,,132323,121927,103510,96924,83637,108075,143764,138162,174954,185657
30493,"Frozen meat, whether or not minced, of tilapia """"Oreochromis spp."""", catfish """"Pangasius spp., ...""",77,134,0,0,0,3,0,0,0,5,,69,3,1,0,0,1,0,0,0,1,,886,3206,1078,831,450,486,330,509,267,597
71331,"Dried, shelled beans of species """"Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"""", ...""",0,0,0,4,0,0,0,0,90,5,,27,2,4,41,24,4,5,1,16,332,,30668,31234,35215,43893,46353,45430,40606,37465,62434,67492
30382,"Frozen rays and skates """"Rajidae""""""""",0,0,3,7,0,0,5,30,2,5,,126,145,173,230,169,415,871,446,400,1137,,76,17,73,49,83,6,41,92,8,15
680990,Articles of plaster or of compositions based on plaster (excluding plaster bandages for straightening ...,2,0,0,0,175,0,7,0,0,5,,1390,995,274,121,228,47,157,219,137,101,,38136,29535,32092,32039,27348,24861,30737,28671,17980,25062
481850,"Articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs ...",0,0,0,0,3,0,16,21,4,5,,3752,3648,3206,1635,1830,1631,2130,708,886,567,,6888,6671,6858,5634,6147,6359,6084,3594,4338,3505
551522,"Woven fabrics containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, ...",16,35,0,0,0,0,0,0,1,5,,3717,1824,1576,1937,3228,1325,2568,3765,3168,4934,,668,563,453,442,194,148,375,299,286,700
761520,"Sanitary ware and parts thereof, of aluminium (excluding cans, boxes and similar containers ...",18,17,32,3,2,8,2,11,0,5,,438,375,258,259,230,257,639,172,218,137,,12557,9061,14037,14494,15877,14454,17041,18740,19259,22819
841392,"Parts of liquid elevators, n.e.s.",12,45,63,47,53,115,5,18,2,5,,22,14,542,831,815,1072,612,1165,650,1099,,7917,8721,8505,9263,12060,10109,22025,22330,18797,19652
630800,"Sets consisting of woven fabric and yarn, whether or not with accessories, for making up into ...",0,0,5,0,0,0,0,7,1,5,,218,55,10,93,29,27,16,152,40,75,,6578,5849,5851,5582,5879,7579,7992,6050,11239,13477
630253,Table linen of man-made fibres (excluding knitted or crocheted),28,6,4,4,4,2,3,26,16,5,,1,0,196,38,6,34,18,4,6,11,,197462,218309,216115,235716,222046,230956,233686,222753,127565,186190
854040,"Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor ...",0,203,0,11,0,4,0,0,0,5,,533,184,1,1,3,21,0,12,26,179,,29575,29674,29033,23097,21221,16510,16420,20124,12816,6344
920190,Harpsichords and other keyboard stringed instruments (excluding pianos),0,0,0,0,0,0,5,0,0,5,,958,1787,2474,1678,2782,1478,1211,1171,498,524,,495,864,984,1014,750,757,668,794,750,819
900140,Spectacle lenses of glass,63,0,5,13,5,0,26,52,22,5,,33,46,171,231,155,154,201,34,46,86,,18285,21396,22680,22544,13420,19482,24919,21448,5789,9997
292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",0,0,0,0,68,82,0,0,0,5,,1521,1592,2102,3967,2597,3483,2420,4979,4970,9630,,52763,57403,64803,73490,64665,69909,87622,79923,57218,86843
481200,"Filter blocks, slabs and plates, of paper pulp",4,0,4,12,5,0,32,17,3,5,,164,171,389,401,593,634,1116,1238,673,1209,,8774,10857,12485,12584,14533,16049,16884,17203,16397,19481
150710,"Crude soya-bean oil, whether or not degummed",3,0,0,0,0,0,0,0,3,5,,22674,5431,1892,285,61,6678,55,20,26,21,,13346,10381,4005,44269,29217,7385,21103,7541,18632,16128
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",3,9,3,0,10,5,7,12,2,5,,3961,4613,7214,5368,4239,3335,1915,2110,2077,2382,,120581,146654,148299,152593,169635,164563,172492,170092,193149,250161
293712,"Insulin and its salts, used primarily as hormones",0,0,0,0,0,0,0,0,0,5,,41,1,0,0,0,0,1,1,0,4,,146521,141767,137663,146198,99407,101099,100487,123974,135872,131416
200540,"Peas """"Pisum Sativum"""", prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",12,5,37,43,61,49,22,2,0,5,,169,153,145,142,163,128,206,107,141,182,,23281,24140,23245,22654,17874,17930,17477,14889,24534,22239
850630,Mercuric oxide cells and batteries (excluding spent),0,0,0,10,0,0,8,5,0,5,,0,3,1,0,1,0,9,2,0,3,,356,425,382,625,476,670,767,732,452,937
700420,"Sheets of glass, drawn or blown, coloured throughout the mass """"body tinted"""" opacified, flashed ...""",0,12,0,0,0,0,0,0,0,5,,0,0,1,4594,138,51,27,70,154,109,,6326,6040,9269,6917,7168,7017,6972,7048,7832,7945
620412,"Women's or girls' suits of cotton (excluding knitted or crocheted, ski overalls and swimwear)",0,0,0,1,3,0,5,9,2,5,,266,231,215,236,301,243,143,247,117,53,,3499,1501,1411,1323,967,3378,5486,6403,1854,6563
610419,"Women's or girls' suits of textile materials, knitted or crocheted (excluding of synthetic ...",0,0,0,2,0,1,4,50,23,4,,202,78,97,49,34,76,113,195,155,357,,1831,1306,1868,2460,2062,2343,3655,3836,5105,13204
551621,"Woven fabrics containing predominantly, but < 85% artificial staple fibres, mixed principally ...",31,28,22,13,2,33,24,74,0,4,,933,821,691,805,203,524,269,192,46,212,,1145,1228,1043,1070,573,287,394,393,179,146
540744,Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides ...,74,31,10,6,3,6,18,0,11,4,,2688,2050,2200,2178,1507,2632,2274,1559,1399,2827,,917,1157,1684,887,648,735,747,416,217,276
511190,"Woven fabrics containing predominantly, but < 85% carded wool or carded fine animal hair by ...",9,2,15,8,22,54,16,13,1,4,,4026,3104,5890,5585,6847,6213,4010,2457,2243,2684,,1295,1658,1375,1375,1461,1656,1953,2418,1702,2277
845939,"Boring-milling machines for metals, not numerically controlled (excluding way-type unit head ...",0,0,368,0,5,51,16,145,4,4,,963,700,60,86,481,573,772,189,350,372,,3469,3701,7286,2754,2638,3116,2552,2403,1712,2265
722619,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",139,321,122,0,53,0,0,163,42,4,,5720,3035,4423,6462,4722,7504,5664,7043,5568,10299,,26965,21401,12224,4846,3727,4809,3989,2377,2128,3671
291260,Paraformaldehyde,0,0,0,0,0,0,0,0,62,4,,0,0,7,0,7,16,48,16,51,14,,10677,13614,11522,9629,7831,8456,7860,5461,5298,9843
130212,Extracts of liquorice (excluding that with a sucrose content by weight of > 10% or in the form ...,0,0,0,0,0,0,0,0,0,4,,331,240,469,564,527,528,589,608,456,525,,19291,37723,11780,17053,32188,19289,26660,13442,20368,17205
280610,"Hydrogen chloride """"hydrochloric acid""""""""",3245,2162,939,986,1371,1763,0,0,0,4,,13985,5340,3553,4703,6485,5860,4516,4335,5490,8228,,40771,42775,54007,39197,20925,31633,52144,40959,22816,35000
851930,"Turntables """"record-decks""""""""",0,4,5,0,0,11,25,0,9,4,,47,12,91,14,38,2,27,439,39,91,,30377,33936,48525,70702,92197,65874,67558,93830,85097,127416
680300,"Worked slate and articles of slate or of agglomerated slate (excluding slate granules, chippings ...",0,3,47,0,0,0,0,5,5,4,,21,32,73,14,39,23,38,25,41,57,,74181,77972,80745,83398,77608,67777,69778,61237,54344,67774
551691,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",0,0,0,38,0,0,8,0,0,4,,196,123,55,35,78,101,16,93,81,61,,390,934,416,427,703,866,663,713,429,705
560500,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ...",1953,408,83,60,38,13,18,5,19,4,,8949,3772,3065,2618,2307,2268,2394,2215,1744,1997,,17250,15133,11499,11348,10061,9327,10110,9144,8966,14957
610290,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,0,0,2,7,7,3,0,1,4,,506,123,244,179,530,118,430,1641,646,1211,,4916,3499,7470,7101,9315,5600,4728,4499,3407,4574
280530,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",183,0,78,9,17,20,37,0,10,4,,233,176,498,3354,227,714,1086,1686,3168,1893,,22181,9765,5712,4459,3963,5466,7915,8281,8978,17422
760320,"Powders of aluminium, of lamellar structure, and flakes of aluminium (excluding pellets of ...",21,8,18,27,27,18,26,4,2,4,,1417,1427,1714,1650,2725,2384,1563,425,450,771,,8020,8904,8209,8842,8026,9563,8550,8017,7369,8589
961390,"Parts of lighters, n.e.s.",84,17,0,2,2,0,6,0,6,4,,3460,2716,2546,2300,1625,1203,937,858,663,549,,16701,16913,17707,17672,16245,14164,18411,24736,22075,34563
262040,"Slag, as and residues containing mainly aluminium",0,0,0,0,16,2,0,0,3,4,,1898,2417,2369,1218,537,141,383,825,813,4683,,14882,14390,18274,15881,16343,12100,13121,21008,24065,25287
80212,"Fresh or dried almonds, shelled",0,0,0,0,0,0,18,0,0,4,,139,186,188,738,1813,416,522,375,210,725,,29994,35062,78679,101254,70481,60968,91263,95651,42656,39656
290329,"Unsaturated chlorinated derivatives of acyclic hydrocarbons (excluding vinyl chloride """"chloroethylene"""", ...""",0,0,0,0,7,0,0,0,0,4,,86,267,285,5,446,653,513,80,157,184,,29374,28068,28340,25545,23153,26443,34100,42300,32042,65283
600290,"Knitted or crocheted fabrics, of a width of <= 30 cm, containing >= 5% by weight elastomeric ...""",141,191,14,98,437,568,81,11,38,4,,2939,2457,3263,4557,3923,2947,2473,797,865,357,,5222,5111,5331,5180,4958,6087,7995,6608,9823,6689
621120,Ski suits (excluding knitted or crocheted),2,1,0,0,5,1,4,0,0,4,,109,71,95,209,152,87,36,337,15,152,,5763,3882,5770,7112,5125,4271,6694,6088,5309,10113
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",216,196,203,79,187,0,0,13,10,4,,1894,1322,1295,1033,815,1072,1188,1057,1438,1354,,363973,435545,480529,510694,587315,621508,644624,598786,633023,870912
392079,"Plates, sheets, film, foil and strip, of non-cellular cellulose derivatives, not reinforced, ...",76,80,26,0,26,35,232,2,10,4,,366,504,265,919,2770,523,1049,347,765,492,,28204,30053,31373,29826,29702,29935,37622,34394,37997,47858
40900,Natural honey,0,6,0,0,18,0,26,37,28,4,,125,481,304,698,175,366,227,171,86,83,,429984,498817,582238,605037,422382,568731,483752,416895,441475,666567
521132,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,19,71,33,10,1,0,8,0,4,,9060,7307,9001,6939,8166,6416,6448,6699,5202,8055,,5040,4170,4906,4222,5597,3909,3589,1535,2047,2445
