Product code,Product label,"Taipei, Chinese's imports from Singapore-Value in 2012","Taipei, Chinese's imports from Singapore-Value in 2013","Taipei, Chinese's imports from Singapore-Value in 2014","Taipei, Chinese's imports from Singapore-Value in 2015","Taipei, Chinese's imports from Singapore-Value in 2016","Taipei, Chinese's imports from Singapore-Value in 2017","Taipei, Chinese's imports from Singapore-Value in 2018","Taipei, Chinese's imports from Singapore-Value in 2019","Taipei, Chinese's imports from Singapore-Value in 2020","Taipei, Chinese's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",3029,2585,7068,4835,13575,27246,16507,24979,29568,40860,,377016,629062,810467,1329472,1830931,2799697,2656865,1652974,2263685,2194265,,1332500,1343417,886475,630992,748402,977151,1085863,1176452,1711229,2006601
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",453,589,314,396,10139,16357,3483,9948,17254,34467,,122564,93725,117322,131769,124416,97744,68403,91102,78327,81645,,609933,932701,1005308,878665,450307,493144,518692,485372,438637,551337
210690,"Food preparations, n.e.s.",25165,27011,34361,32022,30540,26544,33170,33054,31415,33027,,441219,1085009,1574538,1437089,1457191,1506006,4754049,5173579,5798884,6430706,,487157,505972,534435,559427,586656,593092,669946,688011,674757,788143
902219,"Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary ...",0,18,175,58,1397,1730,350,43,8,31954,,13746,22907,26663,27311,72895,60640,65061,60491,61634,72093,,132843,107965,104003,174984,158656,60712,246294,167090,165986,349561
850213,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",5377,9443,7635,8543,2526,5580,17675,21427,30899,30546,,322596,219172,247420,231573,202410,196676,246412,117633,104098,107766,,25284,35750,33703,29626,39769,19420,41290,57502,56239,52819
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",9757,11166,14173,30035,24930,29804,23404,19464,21376,29904,,120106,146245,161381,163612,155726,150712,163361,152095,132594,192774,,34223,44432,40613,66056,73441,92228,90155,74265,73572,172804
853400,Printed circuits,17185,17479,22264,20243,10646,7467,9717,13657,34345,29763,,656601,743971,692731,740055,665735,658194,629727,623681,653253,761160,,1328828,1381011,1517079,1483156,1442312,1554941,1750855,1975409,2669488,3610051
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",24056,36885,39544,26480,30819,43239,43920,30007,16697,27614,,267700,246794,204386,169412,141284,157382,180554,197387,122492,180250,,632697,646690,591060,493063,495070,653439,823173,669883,613105,977130
390210,"Polypropylene, in primary forms",10641,18940,28336,20019,13524,13447,19621,19866,20722,27604,,1186430,1278841,1460392,1158790,1139644,1228832,1360322,1200340,1145439,1209236,,183952,188309,211589,199975,161391,145032,147191,141896,161564,190861
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,0,0,0,0,0,0,6335,25364,27469,,42897,1399615,38040,62085,66273,57631,1230,8876,9491,30936,,68301,13727,6382,9519,40919,2905,24198,10006,54056,33334
