Product code,Product label,"Korea, Republic of's imports from Australia-Value in 2012","Korea, Republic of's imports from Australia-Value in 2013","Korea, Republic of's imports from Australia-Value in 2014","Korea, Republic of's imports from Australia-Value in 2015","Korea, Republic of's imports from Australia-Value in 2016","Korea, Republic of's imports from Australia-Value in 2017","Korea, Republic of's imports from Australia-Value in 2018","Korea, Republic of's imports from Australia-Value in 2019","Korea, Republic of's imports from Australia-Value in 2020","Korea, Republic of's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
730110,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements",0,0,0,0,0,0,0,0,0,0,,7688,4200,664,1016,102,695,2815,395,694,773,,8077,994,17097,9797,3215,12739,594,4091,339,745
730423,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excluding ...",641,0,0,285,0,0,0,0,0,0,,4594,7331,4098,5504,5023,3340,5270,9204,4517,3340,,8677,46543,83059,18090,1637,2549,587,450,471,1394
730520,"Casing of a kind used in drilling for oil or gas, having circular cross-sections and an external ...",0,0,0,0,0,0,0,0,0,0,,4233,615,2664,274,339,985,0,135,286,148,,0,6,671,17749,130,1213,0,0,32,0
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",0,0,0,0,0,1,0,0,0,0,,3788,2458,1590,317,2547,526,1015,807,684,1210,,19028,27704,37457,21157,22065,24130,22362,24917,19285,30234
730650,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than ...",0,0,0,0,12,0,0,0,0,0,,7446,1813,924,348,439,230,1865,1348,310,502,,5924,7827,2892,3800,4849,2629,14086,14408,1872,2014
740319,"Copper, refined, unwrought (excluding copper in the form of billets, wire-bars, cathodes and ...",0,0,0,0,0,0,0,0,0,0,,114,67,163,90,92,200,406,120,169,190,,117398,72917,81563,114526,106277,91403,109712,81399,76627,108855
740322,"Copper-tin base alloys """"bronze"""" unwrought""""",0,3,0,0,0,0,0,0,0,0,,194,315,447,650,175,134,2283,194,212,29,,832,807,423,273,43,38,26,41,49,190
740822,"Wire of copper-nickel alloys """"cupro-nickel"""" or copper-nickel-zinc alloys """"nickel silver""""""""",0,0,0,0,0,0,0,0,0,0,,69,231,473,140,220,396,477,565,821,616,,2886,2864,2699,2147,1440,1528,1747,1878,1851,2480
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",0,0,0,0,0,0,0,36,0,0,,83,172,88,79,60,70,3,84,10,28,,32592,37506,25671,16217,14881,32257,31619,41010,40010,79402
740939,"Plates, sheets and strip, of copper-tin base alloys """"bronze"""", of a thickness of > 0,15 mm, ...""",0,0,0,1,0,0,0,0,0,0,,23,48,16,60,20,16,35,0,92,2,,601,540,337,253,347,713,880,792,683,910
740940,"Plates, sheets and strip, of copper-nickel base alloys """"cupro-nickel"""" or copper-nickel-zinc ...""",0,0,0,0,0,0,0,0,0,0,,32,13,0,0,17,0,11,5,3,4,,24415,24219,4369,6776,2157,5199,7146,6085,10074,9906
741121,"Tubes and pipes of copper-zinc base alloys """"brass""""""""",0,116,0,0,0,0,0,0,0,0,,1612,2120,627,892,184,261,401,245,137,94,,2054,4320,16008,4595,1764,1561,3920,2777,4013,4972
730810,"Bridges and bridge-sections, of iron or steel",0,110,25,0,0,0,0,0,1,0,,62,49,133,1758,1475,0,168,302,222,145,,7528,10387,11760,5602,8645,6136,5578,3322,2821,4461
731581,Stud-link of iron or steel,0,0,0,0,0,0,0,0,0,0,,40,174,6861,97,35,360,3014,4723,47,2914,,1363,2591,4842,14980,6783,3866,3572,3085,3675,3628
731812,Wood screws of iron or steel (excluding coach screws),2,0,0,0,0,0,0,3,0,0,,356,93,520,543,617,882,460,223,523,276,,711,1028,674,898,954,896,1054,986,1000,1124
760410,"Bars, rods and profiles, of non-alloy aluminium, n.e.s.",0,0,1104,2130,288,46,1,0,0,0,,1219,2121,1746,3113,1592,830,2759,781,639,1053,,7651,5330,17300,13206,7078,4550,7012,5061,3312,8863
760611,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm, square or rectangular ...",36,0,0,0,0,1,0,0,1,0,,7500,2468,2969,3130,891,2164,1069,1135,1806,2665,,85376,97451,161791,244331,87576,164634,378273,202233,94482,122975
761520,"Sanitary ware and parts thereof, of aluminium (excluding cans, boxes and similar containers ...",103,0,0,0,0,0,0,0,0,0,,109,80,41,17,8,26,15,59,34,22,,1730,781,889,842,784,928,1016,761,1088,1224
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",734,0,0,0,0,768,0,0,0,0,,3901,49,154,119,91,2,27,69,300,232,,77351,20283,19802,16206,18584,36117,14933,205,423,1907
790310,Zinc dust,0,0,0,0,0,0,0,0,0,0,,5712,6799,865,254,345,284,282,348,77,154,,2316,2442,4764,4325,4619,1265,1288,780,1510,1408
800700,"Articles of tin, n.e.s.",0,0,0,0,0,0,0,0,0,0,,2551,1228,1675,1544,1225,962,7995,17514,15301,13774,,19402,16772,15951,14618,22426,27619,26494,26547,10587,19212
810194,"Unwrought tungsten, incl. bars and rods of tungsten obtained simply by sintering",43,21,0,0,0,0,0,0,0,0,,85,5,4,1,45,0,2,0,11,82,,1901,3459,3376,4103,3179,6436,6197,6172,5443,6155
810320,"Unwrought tantalum, incl. bars and rods of tantalum obtained simply by sintering; tantalum ...",0,0,0,0,0,0,0,0,0,0,,13,0,0,0,148,2,0,0,0,9,,744,1310,814,650,955,521,31,205,119,294
811299,"Articles of niobium """"columbium"""", gallium, indium, vanadium and germanium, n.e.s.""""",0,0,0,0,0,3,0,0,0,0,,75,1,13,9,15,1,39,2,9,25,,14153,11236,15675,11354,18394,14302,16514,10013,17459,14087
820110,"Spades and shovels, with working parts of base metal",0,2,0,0,0,0,0,0,0,0,,178,100,220,195,191,51,42,307,536,1277,,2897,3618,3481,3486,3638,3133,3405,3034,3870,5085
700232,Tubes of glass having a linear coefficient of expansion <= 5 x 10-6 per kelvin within a temperature ...,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,2,2,0,11,3,3,,1109,1515,2111,1263,1510,2653,6587,5083,6064,4976
700312,"Cast glass and rolled glass, in non-wired sheets, coloured throughout the mass """"body tinted"""", ...""",0,0,0,0,0,0,0,0,0,0,,36,7,8,9,11,20,4,9,0,40,,3686,4563,5337,5186,2730,3575,4501,2897,268,1344
700510,"Float glass and surface ground or polished glass, in sheets, having an absorbent, reflecting ...",0,0,0,0,0,0,0,0,0,0,,122,41,46,221,57,27,64,14,20,15,,43259,50105,47066,37613,26740,29037,25942,17765,16371,14610
701328,"Drinking glasses, stemware (excluding of glass ceramics or of lead crystal)",0,0,0,0,0,0,0,0,0,0,,226,363,227,182,207,574,575,129,324,308,,3562,4097,5012,4933,4246,6371,5241,5319,6620,12328
701333,Drinking glasses of lead crystal (excluding stemware),0,0,0,0,0,0,0,0,0,0,,110,12,6,1,69,7,2,1,5,9,,1020,999,1218,1195,604,570,520,507,796,1289
690590,"Ceramic chimney pots, cowls, chimney liners, architectural ornaments and other ceramic constructional ...",0,0,0,0,0,0,0,0,0,0,,92,48,61,119,125,154,170,168,153,59,,1676,251,35,40,48,220,53,79,411,506
690710,"Unglazed ceramic tiles, mosaic cubes and similar articles, whether or not square or rectangular, ...",0,0,0,0,0,0,0,0,0,0,,47,81,61,85,62,0,0,0,0,0,,549,759,1242,1522,1422,1,0,0,0,0
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,3,0,0,0,,0,0,0,0,0,724,259,508,673,299,,0,0,0,0,0,112396,145688,172111,180545,234523
681019,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone (excluding ...",0,0,1,0,0,1,0,0,0,0,,3189,750,1087,2801,2772,3061,2011,1554,1350,978,,12775,12092,16519,16957,20960,18265,20167,28177,16354,25790
681291,"Clothing, clothing accessories, footwear and headgear of asbestos or of mixtures with a basis ...",0,0,0,0,0,0,0,0,0,0,,124,5,0,26,15,0,6,0,0,0,,94,6,1,0,0,0,0,0,0,0
681591,"Articles of stone or other mineral substances, n.e.s. containing magnesite, magnesia in the ...",0,0,0,0,0,0,0,0,0,0,,0,3,0,18,10,260,95,358,430,985,,599,6088,8025,9021,8990,10332,1015,155,641,33
660390,"Parts, trimmings and accessories for umbrellas and sun umbrellas of heading 6601 or for walking ...""",0,74,0,13,0,0,0,0,0,0,,18,40,97,57,66,37,77,124,171,41,,1093,692,721,662,922,977,1599,1417,1444,1943
680100,"Setts, curbstones and flagstones, of natural stone (excluding slate)",0,0,0,0,0,0,0,0,0,0,,292,109,4,43,98,12,53,26,295,601,,12681,9663,20205,23405,54000,73303,87833,73027,63166,69955
650100,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux ...",0,0,0,0,0,0,0,0,0,0,,288,569,991,334,294,355,103,62,93,102,,186,157,240,174,575,209,164,155,132,109
710121,"Cultured pearls, unworked, whether or not graded",190,172,246,234,57,0,28,1,6,0,,46153,16396,17647,0,0,0,0,0,0,7387,,1116,786,1222,676,352,252,137,161,176,110
710610,"Powder of silver, incl. silver plated with gold or platinum",0,0,0,0,0,0,0,0,0,0,,7,86,87,6,3,42,9,5,10,12,,415916,441138,298157,266732,374153,171948,66941,61556,63739,100198
711011,"Platinum, unwrought or in powder form",0,0,0,0,0,0,0,0,0,0,,4,0,0,4,90,0,0,0,121,0,,152623,136686,149052,122705,54311,81648,49075,65795,113198,172483
711039,Rhodium in semi-manufactured forms,0,0,0,0,0,0,0,0,0,0,,0,0,0,11,0,15,0,226,1912,1100,,201,205,58,52,73,89,96,251,364,684
721932,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,0,,5997,49,0,222,350,112,1630,32,57,51,,11537,20729,16893,22690,20299,23732,38201,58862,50257,51624
721935,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,0,,285,1266,4,0,1,10,4,9,11,1,,22087,37805,38152,29999,31093,35862,40384,44215,55718,66958
722011,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,41,0,0,,15,30,13,26,26,31,64,0,892,15,,16143,16202,14696,5595,4259,4915,4513,5193,3667,1588
722012,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,762,202,366,183,149,190,119,187,175,175,,17629,7105,9368,4072,4685,3911,2208,2649,2096,2685
711420,"Articles of goldsmiths' or silversmiths' wares and parts thereof, of base metal clad with precious ...",0,0,0,0,0,0,0,0,0,0,,263,66,307,63,262,72,34,42,91,99,,128,224,64,119,53,186,113,213,143,143
720211,"Ferro-manganese, containing by weight > 2% of carbon",6245,851,4976,0,4204,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,23541,7322,7683,4498,6766,1727,29742,20779,6513,26207
720229,"Ferro-silicon, containing by weight <= 55% silicon",0,0,0,0,0,0,0,0,0,0,,170,368,134,180,316,37,68,72,9,7,,47426,41417,42697,40012,34198,34484,37643,32699,24082,38195
720241,"Ferro-chromium, containing by weight > 4% of carbon",0,0,0,0,0,0,0,0,0,0,,66,378,2,6,22,75,443,133,44,17,,547162,567569,499757,498648,473699,688584,668230,516080,396524,662355
720410,"Waste and scrap, of cast iron (excluding radioactive)",13,127,250,0,162,0,23,77,0,0,,74235,48201,67815,76336,76511,112994,205902,155179,148652,208729,,21764,11686,6728,8308,7970,9506,12015,15970,8257,11069
720430,"Waste and scrap of tinned iron or steel (excluding radioactive, and waste and scrap of batteries ...",0,0,0,0,36,0,0,0,0,0,,85108,71204,66628,39998,21933,9866,7360,5629,6276,9581,,135,572,0,1,36,3,183,108,934,6454
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,2,0,0,0,0,,227,82,126,3,18,408,391,452,138,1138,,898,2790,3682,42074,3522,1026,1150,1071,1614,2060
720915,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",0,0,0,0,0,0,0,0,0,0,,146,105,43,10,3,62,30,23,0,14,,2802,1884,7568,8224,4093,1185,533,695,1957,994
721069,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,3847,44,39,19,36,94,77,15,0,26,,44325,62209,74212,64212,58106,63228,54518,57962,11889,9539
320290,"Inorganic tanning substances; tanning preparations, whether or not containing natural tanning ...",11,0,0,0,0,0,0,0,0,0,,232,105,196,1000,428,365,926,1529,4119,1141,,20584,16910,17482,15877,13412,14392,13751,14639,10043,9983
320413,Basic synthetic organic dyes; preparations based on basic synthetic organic dyes of a kind ...,0,0,0,0,0,0,0,0,0,0,,971,762,1155,619,610,364,282,373,306,545,,6156,8760,9211,8226,8730,7967,11308,9368,7551,9719
320414,Direct synthetic organic dyes; preparations based on direct synthetic organic dyes of a kind ...,0,0,0,0,0,0,0,0,0,0,,72,73,106,100,108,18,18,167,31,81,,8061,8085,8207,7969,11002,10008,9151,9445,9544,10688
320619,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,0,0,0,0,0,0,0,1,0,0,,7620,3632,11293,5922,1553,16218,21956,23410,5091,3554,,31277,22242,22004,21220,22406,23616,26571,26753,23083,21636
300339,"Medicaments containing hormones or steroids used as hormones, not containing antibiotics, not ...",0,0,0,0,0,0,0,0,0,0,,645,112,44,50,24,147,9150,11866,11460,8451,,4379,3766,657,1066,1094,767,813,1196,1771,1511
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",0,0,0,47,0,0,6,107,0,0,,15592,19688,18893,10862,10450,37232,24811,26477,26005,27778,,141937,176476,232388,197068,236109,232791,299101,340618,347816,367295
300441,"Medicaments containing ephedrine or its salts, not containing hormones, steroids used as hormones ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,175,63,50,245,382,,0,0,0,0,0,3,57,24,3,3
300442,"Medicaments containing pseudoephedrine """"INN"""" or its salts, not containing hormones, steroids ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,2,12,142,72,,0,0,0,0,0,0,0,0,0,57
293722,Halogenated derivatives of corticosteroidal hormones,0,0,0,0,0,0,0,0,0,0,,416,14,166,229,260,13,1,12,30,70,,7578,8351,6784,7309,8245,8345,8651,6365,8787,7288
293944,Norephedrine and its salts,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
293969,"Alkaloids of rye ergot and their derivatives; salts thereof (excluding lysergic acid, ergotamine ...",0,0,0,0,0,0,0,0,0,0,,9,162,164,20,0,0,0,2,0,94,,6919,3802,4686,3704,3319,3548,2675,2755,4157,2531
294000,"Sugars, chemically pure (excluding sucrose, lactose, maltose, glucose and fructose); sugar ...",0,0,2,0,0,0,0,0,0,0,,179,64,112,41,381,189,82,127,188,50,,22943,20578,23733,30337,35927,33324,36108,33442,33152,42802
294130,Tetracyclines and their derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,285,117,247,4,246,152,465,111,76,276,,4631,5684,5301,5934,7168,5432,7042,6834,6151,11095
292212,Diethanolamine and its salts,0,0,0,0,0,0,0,0,0,0,,137,79,5,10,25,18,21,5,8,19,,6158,4445,5237,3142,2581,2917,3062,3242,2720,3859
292310,Choline and its salts,0,0,0,0,0,0,0,0,0,0,,28,191,41,31,316,59,94,101,42,99,,33574,41393,35854,33714,42536,50594,53040,71265,52495,78117
292320,"Lecithins and other phosphoaminolipids, whether or not chemically defined",0,0,0,0,0,0,0,0,0,0,,124,338,155,209,293,234,320,188,174,166,,17154,13887,19133,17711,20915,20499,24754,23022,20894,24672
292340,Didecyldimethylammonium perfluorooctane sulphonate,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,84,0,0,0,,0,0,0,0,0,2,0,0,1,0
292411,"Meprobamate """"INN""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0
291221,Benzaldehyde,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,,4277,4967,5903,6808,6788,6705,6358,6464,4595,6300
291242,"Ethylvanillin """"3-ethoxy-4-hydroxybenzaldehyde""""""""",0,0,0,0,0,0,0,0,0,0,,2,1,8,2,0,0,0,7,0,0,,360,196,314,271,321,423,330,303,363,543
291419,"Acyclic ketones, without other oxygen function (excluding acetone, butanone """"methyl ethyl ...""",0,0,0,0,0,0,0,0,0,0,,76,77,74,45,22,79,427,537,281,430,,5274,3944,4403,4101,5461,6531,9041,7734,6811,9484
291461,Anthraquinone,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,21,,10,11,6,5,28,61,166,218,287,889
291512,Salts of formic acid,0,0,0,0,0,0,0,0,0,0,,8,14,2,6,21,65,33,53,5,2,,4510,5341,4092,4100,3247,4131,6994,5017,3198,4810
291524,Acetic anhydride,0,0,0,0,0,0,0,0,0,0,,1,2,0,3,1,2,1,1,0,2,,12335,12298,12715,10176,9865,9658,15345,12621,10194,21841
291540,"Mono- di- or trichloroacetic acids, their salts and esters",0,0,0,0,0,0,0,0,0,0,,2,1,0,9,1,1,1,1,0,1,,2132,2075,2644,2383,2533,2730,3598,3245,4688,8830
291550,"Propionic acid, its salts and esters",0,0,0,0,0,0,0,0,0,0,,54,54,9,0,73,34,124,33,6,94,,5723,8795,9189,5541,5778,5948,7020,5883,5023,5681
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, ...",0,0,0,0,0,0,0,0,0,0,,5407,5966,7435,5816,2531,13,33,18,116,403,,5131,4307,4415,3909,4180,6022,5415,10265,10418,16324
291634,Phenylacetic acid and its salts,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,57,6,14,27,19,73,134,14,2,9
291811,"Lactic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",0,0,0,0,0,0,0,0,0,0,,62,60,38,25,14,375,689,286,62,312,,27348,30173,40122,49198,47724,62466,67096,61088,44251,47897
291812,Tartaric acid,0,0,0,0,0,0,0,0,0,0,,2684,4076,2637,2498,1058,2366,3151,1932,2314,4936,,2033,1720,2083,1769,1640,1562,1725,1853,3063,5384
291821,Salicylic acid and its salts (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,0,0,0,0,,3,8,6,152,9,2,4,9,9,0,,2044,1770,2647,2462,1410,1451,1800,1783,1259,2078
293040,Methionine,0,0,0,0,0,0,0,0,0,0,,230,352,241,415,90,44,61,190,147,154,,46602,39757,27025,41835,31018,23729,23010,23105,24079,32832
293080,"Aldicarb (ISO), Captafol (ISO) and methamidophos (ISO)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,9,1,0,4,1
293134,Sodium 3-(trihydroxysilyl)propyl methylphosphonate,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,28,14,0,8,,0,0,0,0,0,0,0,2,1,1
293333,"Alfentanil """"INN"""", anileridine """"INN"""", bezitramide """"INN"""", bromazepam """"INN"""", carfentanil ...""",0,0,0,0,0,1,0,0,0,0,,1,37,7,11,18,17,13,3,33,84,,1016,1018,691,930,678,688,686,986,926,1161
293354,"Derivatives of malonylurea """"barbituric acid"""" and salts thereof (excluding salts of malonylurea)""""",0,0,0,0,0,0,0,0,0,0,,4,4,1,0,1,0,0,1,1,0,,993,265,179,203,109,151,158,251,70,200
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",0,0,0,0,0,0,0,0,0,0,,14,17,27,6,7,9,37,7,30,10,,71389,71177,101453,106024,113399,103521,140104,125545,134941,196184
293550,"Perfluorooctane sulphonamides (excl. N-Methylperfluorooctane sulphonamide, N-Ethylperfluorooctane ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,9,15,2,6,12
293626,"Vitamin B12 and its derivatives, used primarily as vitamins",0,0,0,0,0,0,0,0,0,0,,63,101,72,23,46,37,82,15,50,120,,7503,2776,2704,3329,4525,5351,6787,8081,7825,8866
370239,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,9,0,,25,24,7,39,0,0,11,116,0,4,,42,37,18,157,161,109,149,251,286,3599
370254,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...""",0,0,0,3,2,2,0,0,0,0,,475,58,0,2,11,45,64,95,67,83,,604,532,393,443,675,1274,1223,2023,2452,2834
370296,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,1,0,0,11,0,,30,260,53,2,2,5,10,582,313,153,,101,47,78,55,93,80,82,113,161,181
380130,Carbonaceous pastes for electrodes and similar pastes for furnace linings,0,0,0,0,0,0,0,0,0,0,,34,13,26,25,16,40,17,77,4,0,,22858,19809,18547,17060,13461,14946,17153,15358,14422,16274
320740,"Glass frit and other glass in the form of powder, granules or flakes",0,0,15,3,0,0,0,0,0,0,,127,118,58,198,49,228,961,1184,876,85,,55884,43673,33136,30449,35371,31178,26861,24462,26919,29194
330130,Resinoids,0,0,0,2,0,0,0,0,1,0,,232,239,70,226,97,138,247,198,316,157,,296,274,253,277,410,246,408,397,372,141
390290,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene, polyisobutylene ...",0,0,0,21,0,0,20,9,0,0,,4806,3173,2170,841,834,1422,2748,3249,3292,2749,,105928,115128,111195,113179,108551,112122,104325,93018,87832,108311
390450,"Vinylidene chloride polymers, in primary forms",0,0,0,0,0,0,0,0,0,0,,37,48,0,7,3,33,0,0,0,28,,3037,1994,1848,1896,2093,1880,1375,2297,1873,1674
390750,"Alkyd resins, in primary forms",0,0,0,0,0,0,0,0,0,0,,4166,9456,11929,15352,15548,14687,11631,11028,11949,13449,,10785,7555,4796,3256,2095,1925,1571,1844,1313,1455
390760,"Poly""""ethylene terephthalate"""", in primary forms""""",15,49,98,0,17,0,0,0,0,0,,0,0,0,259,352,0,0,0,0,0,,43107,50301,57939,57780,52652,69,0,0,0,0
391212,"Plasticised cellulose acetates, in primary forms",0,0,0,0,0,0,0,0,0,0,,0,7,62,0,0,0,0,0,2,75,,1128,1192,1087,1387,1123,1338,1143,1208,990,1132
391220,"Cellulose nitrates, incl. collodions, in primary forms",0,0,0,0,0,0,0,0,0,0,,81,0,5,0,0,8,4,3,0,26,,2481,3512,3761,3418,9342,3475,2638,2414,1389,3122
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",0,0,0,0,0,0,0,0,0,0,,1228,3150,1649,804,762,1232,1638,961,658,894,,32097,35753,33966,34792,38931,43470,48059,53766,52825,53531
391290,"Cellulose and chemical derivatives thereof, n.e.s., in primary forms (excluding cellulose acetates, ...",0,0,0,0,0,0,0,0,0,0,,8213,417,658,370,399,368,493,201,209,151,,19312,22612,22013,22892,24836,24429,25238,28015,28424,28475
391530,"Waste, parings and scrap, of polymers of vinyl chloride",0,0,0,0,0,0,0,42,0,0,,105,277,221,289,130,84,22,4,64,40,,12982,15417,12523,9336,7402,6546,8946,7029,3719,2757
391690,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",7,0,0,0,0,0,0,0,5,0,,1070,2636,2095,1933,1308,475,610,1012,2883,2266,,17481,17157,19209,17930,19794,26526,26316,29636,38096,51564
381511,"Supported catalysts with nickel or a nickel compound as the active substance, n.e.s.",0,0,0,0,0,0,0,0,0,0,,186,1993,297,0,175,21,479,28,10,18,,74677,53967,63677,55472,47410,45899,84397,94929,73578,113717
381239,"Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures ...""",0,0,0,0,0,33,0,0,0,0,,0,0,0,0,0,1949,2617,2575,4215,4366,,0,0,0,0,0,98960,114444,107888,120786,161475
340510,"Polishes, creams and similar preparations, for footwear or leather, whether or not in the form ...",0,0,0,0,5,0,1,1,0,0,,1019,1001,940,976,1006,2120,799,629,1062,891,,1247,1579,1799,1740,1991,2330,2217,2261,2316,2357
350219,"Egg albumin (excluding dried [e.g. in sheets, scales, flakes, powder])",0,0,0,0,0,0,0,0,0,0,,192,252,0,7,166,19,0,0,0,140,,241,628,740,543,777,2151,610,480,1492,2709
380700,Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar ...,0,0,0,0,0,0,0,0,0,0,,3,16,17,13,6,46,1,5,0,3,,157,312,470,382,10168,11195,9282,269,259,3968
382474,"Mixtures containing hydrochlorofluorocarbons """"HCFCs"""", whether or not containing perfluorocarbons ...""",0,0,0,0,0,0,0,0,0,0,,0,0,5,6,0,0,0,0,0,0,,719,251,536,745,1266,1313,2723,5829,8709,7895
382477,"Mixtures containing bromomethane """"methyl bromide"""" or bromochloromethane""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,34,13,18,32,34,32,43,22,0,0
382487,"Mixtures and preparations containing perfluorooctane sulphonic acid, its salts, perfluorooctane ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
401019,"Conveyor belts or belting, of vulcanised rubber (excluding reinforced only with metal or only ...",20,0,19,0,0,1,0,0,37,0,,8230,6326,5179,5196,5189,4121,2991,6517,7318,12199,,13788,12118,10449,13660,7563,5985,5218,4640,3928,4615
401032,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",0,0,0,0,0,0,0,0,0,0,,196,220,197,270,175,198,161,137,406,326,,912,1532,1114,1417,1530,1784,1833,1586,1919,2662
401130,"New pneumatic tyres, of rubber, of a kind used for aircraft",0,0,0,0,0,0,0,0,0,0,,3302,5101,4347,3896,3207,2060,3421,3511,1847,2764,,6432,5831,6960,10708,9236,10121,6573,7083,10165,11886
401161,"Pneumatic tyres, new, of rubber, having a """"herring-bone"""" or similar tread, of a kind used ...""",1,0,0,0,0,0,0,0,0,0,,850,1516,924,1240,2288,0,0,0,0,0,,984,1567,2648,3060,3107,0,0,0,0,0
401219,"Retreaded pneumatic tyres, of rubber (excluding of a kind used on motor cars, station wagons, ...",0,0,0,0,0,0,0,0,0,0,,418,1116,818,1256,944,323,283,746,227,326,,3,85,20,51,7,33,19,7,19,46
401310,"Inner tubes, of rubber, of a kind used on motor cars, incl. station wagons and racing cars, ...",1,0,0,0,0,0,0,0,0,0,,102,406,92,48,41,91,161,115,34,21,,1260,1352,393,757,161,25,127,108,69,69
400211,"Styrene-butadiene rubber latex """"SBR""""; carboxylated styrene-butadiene rubber latex """"XSBR""""""""",613,206,0,0,0,0,0,0,0,0,,8675,5753,637,323,394,336,6774,7527,3325,2788,,23249,18401,10044,10214,17426,27160,31587,27246,21858,16327
