Product code,Product label,"Korea, Republic of's imports from Australia-Value in 2012","Korea, Republic of's imports from Australia-Value in 2013","Korea, Republic of's imports from Australia-Value in 2014","Korea, Republic of's imports from Australia-Value in 2015","Korea, Republic of's imports from Australia-Value in 2016","Korea, Republic of's imports from Australia-Value in 2017","Korea, Republic of's imports from Australia-Value in 2018","Korea, Republic of's imports from Australia-Value in 2019","Korea, Republic of's imports from Australia-Value in 2020","Korea, Republic of's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",13,0,0,0,0,0,0,0,0,1,,144,259,294,60,24,147,35,205,50,10,,94811,99581,105079,98230,95294,113413,133329,126419,128778,193755
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",0,0,0,0,0,0,0,0,0,1,,98,64,32,16,17,35,1306,143,35,9,,32318,30920,34312,33221,34277,35392,48447,48042,44718,56859
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",1,6,9,2,1,1,3,3,3,1,,232,247,133,1686,812,710,92,1575,130,106,,195381,199579,186444,176323,212338,227873,279117,312427,294151,335844
441400,"Wooden frames for paintings, photographs, mirrors or similar objects",4,0,1,0,2,3,4,2,1,1,,314,404,336,942,1268,1427,1163,953,585,512,,4400,4733,6208,7422,7024,6330,6031,5519,5020,5984
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",59,5,0,1,0,2,2,0,0,1,,142,101,236,129,365,463,195,280,203,423,,4471,5095,4689,5120,4517,4939,4526,4413,4634,5289
920890,"Fairground organs, mechanical street organs, mechanical singing birds, musical saws and other ...",1,0,1,1,0,2,2,1,2,1,,93,89,74,55,193,36,11,547,45,102,,1074,1210,1409,1152,1326,1232,1312,1416,2194,3195
950611,"Skis, for winter sports",0,5,1,3,1,0,22,1,4,1,,105,171,139,143,181,143,194,55,1055,81,,5260,4892,5874,4561,4424,5057,6031,4916,4892,3621
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",0,2,2,16,1,2,3,2,7,1,,140,165,57,7,183,79,7,88,182,586,,6089,7668,15098,12049,12208,20587,10025,8159,6546,8704
901811,Electro-cardiographs,0,1,2,1,3,3,0,0,4,1,,1457,1698,1153,570,612,692,707,1550,1158,1856,,12645,9883,6680,5627,6393,6882,6814,7230,7934,10041
900661,Electronic discharge lamp flashlight apparatus for photographic purposes,1,1,0,0,0,0,0,0,0,1,,373,90,798,10299,5432,1257,2449,1549,429,327,,8142,2987,2245,2152,2712,2622,3035,3663,2487,3529
910212,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",1,0,11,4,3,1,0,0,0,1,,563,474,988,1361,1250,1001,2034,2528,3258,1223,,3283,5290,3922,2802,2694,1847,1678,2101,2737,4250
910229,"Wrist-watches, whether or not incorporating a stop-watch facility, with hand winding only (excluding ...",0,1,1,2,1,2,3,1,0,1,,2247,2245,2547,3621,3346,4507,4212,3428,1889,3050,,11691,12995,15808,11821,12543,12249,15446,16390,13655,21771
620799,"Men's or boys' singlets and other vests, bathrobes and dressing gowns of textile materials ...",3,0,0,1,0,0,0,0,0,1,,56,52,79,58,21,133,25,123,29,167,,15047,15154,15397,14960,10352,9051,9705,8767,6707,7361
621290,"Corsets, braces, garters, suspenders and similar articles and parts thereof, incl. parts of ...",7,3,3,0,1,1,1,1,1,1,,1722,813,803,810,1204,556,448,254,176,2909,,6736,14113,7696,11076,9988,9985,9288,7957,11992,13453
630590,"Sacks and bags, for the packing of goods, of textile materials (excluding man-made, cotton, ...",4,0,0,0,1,3,0,0,0,1,,633,476,386,411,389,398,375,575,514,648,,5638,10777,11509,4641,4024,3458,2929,4261,3045,4023
720260,Ferro-nickel,4956,0,717,17,0,0,1520,7146,0,1,,3372,0,0,415,1742,2211,432,0,32,160,,623737,388156,526116,194287,168211,180205,293342,300169,167700,260487
711320,"Articles of jewellery and parts thereof, of base metal clad with precious metal (excluding ...",0,0,0,0,0,0,1,2,0,1,,3019,433,287,300,1471,5163,16268,5413,1971,10642,,1965,3516,2334,3984,3411,5793,3457,3231,3053,3390
711411,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of silver, whether or not ...",9,0,0,0,0,2,1,1,2,1,,1145,281,774,344,2615,844,3917,22,63,539,,311,773,708,336,278,391,1061,850,655,2617
731589,"Chain of iron or steel (excluding articulated link chain, skid chain, stud-link chain, welded ...",36,0,5,4,0,16,0,0,0,1,,1727,3115,1368,1583,1404,2176,2354,1989,1513,1721,,34696,23962,25582,58880,20144,22841,23016,28053,32427,32403
720918,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",0,0,0,0,0,0,0,0,0,1,,0,0,0,0,46927,169407,133986,143007,138166,109801,,44461,58503,73347,55878,44233,62894,49045,38900,34929,75390
481960,"Box files, letter trays, storage boxes and similar articles, of paperboard, of a kind used ...",0,1,1,0,0,2,0,1,0,1,,573,736,654,894,729,951,660,415,742,629,,7485,9211,8761,8477,9203,7620,6881,6592,5757,7363
590610,"Adhesive tape of rubberised textile fabrics, of a width of <= 20 cm (excluding that impregnated ...",0,0,0,0,0,2,0,0,0,1,,866,846,862,936,767,1402,1630,1701,930,1068,,1868,2236,2580,2160,2261,2703,2744,3310,2223,3088
