Product code,Product label,Singapore's imports from United States of America-Value in 2012,Singapore's imports from United States of America-Value in 2013,Singapore's imports from United States of America-Value in 2014,Singapore's imports from United States of America-Value in 2015,Singapore's imports from United States of America-Value in 2016,Singapore's imports from United States of America-Value in 2017,Singapore's imports from United States of America-Value in 2018,Singapore's imports from United States of America-Value in 2019,Singapore's imports from United States of America-Value in 2020,Singapore's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
847990,"Parts of machines and mechanical appliances, n.e.s.",260387,295838,249276,188236,167310,140355,122507,115018,131038,164472,,1771923,2003150,2579924,2101466,1917400,2510973,2749692,2614615,2458093,2248487,,1163247,1213267,1108630,962742,905282,987185,877797,965347,870378,999715
901420,Instruments and appliances for aeronautical or space navigation (excluding compasses and radio ...,108558,88904,48776,55757,73765,92279,166971,239049,189118,162864,,133641,242612,180176,195682,245402,261245,358524,362914,252374,187338,,137905,114887,72870,93342,106011,148082,248278,377808,296392,276215
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",100604,111601,135466,127868,121853,99603,134786,135212,138376,161352,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,569206,677830,690970,730168,721403,729213,938227,1122284,1062679,1372680
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",33531,41259,47791,48820,51741,69626,98935,129460,107396,149550,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,73899,84630,114459,157929,137804,181663,218391,268330,261957,295029
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,753506,564489,434112,413719,320674,313575,263545,161382,141512,145874,,14818043,15281123,15842133,15699350,15501732,15525762,17741162,16202841,12433380,15620848,,6108184,5602044,5239490,4732478,4262698,4871556,4903298,5647645,5311899,4788830
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",248495,318243,169513,207308,318551,133739,108141,90015,123682,145047,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,10127466,15519644,15882763,13281866,11392067,11588707,11557479,12638712,19324754,29917531
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",63820,64964,56525,65291,74687,103022,135983,112332,108700,142318,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,230210,200295,166404,226998,245638,279682,336820,321035,324269,440262
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",12541,20282,43238,17530,30128,34995,39486,73755,32872,136800,,5172709,5322076,7371661,7865346,8116187,8637945,10893804,8895346,5815189,6228829,,121020,154193,179033,196182,409271,459297,229394,277796,202955,665164
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",138187,182407,107131,106639,149515,187292,173336,171584,122236,136771,,1782484,1721120,1750853,2005847,1845017,1797565,2061982,2507461,1999064,2377755,,257460,376016,273870,218252,252693,296641,329414,352861,341122,688820
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",44346,36064,36517,17128,24618,55423,77793,144995,115943,135733,,1635204,1654760,1506009,1433613,1383835,1501563,1679352,1459876,1361362,1274712,,328500,366979,303446,266714,251410,280143,281294,341228,294731,437810
