Product code,Product label,Saudi Arabia's imports from India-Value in 2012,Saudi Arabia's imports from India-Value in 2013,Saudi Arabia's imports from India-Value in 2014,Saudi Arabia's imports from India-Value in 2015,Saudi Arabia's imports from India-Value in 2016,Saudi Arabia's imports from India-Value in 2017,Saudi Arabia's imports from India-Value in 2018,Saudi Arabia's imports from India-Value in 2019,Saudi Arabia's imports from India-Value in 2020,Saudi Arabia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
210230,Prepared baking powders,0,0,0,0,0,0,36,31,53,51,,1165,1627,1024,745,833,1348,1434,1081,1336,1167,,9851,9348,9384,15829,13418,11024,13878,20662,22899,25868
844820,"Parts and accessories of machines for extruding, drawing, texturing or cutting man-made textile ...",0,0,0,0,0,57,20,143,67,51,,18737,38420,52433,28141,25601,32792,45777,48630,37029,14075,,4843,5354,305,958,636,975,2605,3033,1212,4156
520859,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, printed ...",334,337,398,647,771,577,107,18,7,51,,24378,29897,27303,26004,26010,22307,34410,57903,43342,55386,,1013,725,943,3109,1511,1103,517,487,141,218
731812,Wood screws of iron or steel (excluding coach screws),0,62,0,158,68,0,195,88,183,51,,2891,3446,3351,1768,1523,1387,1071,1297,1464,1459,,1371,1450,1541,3130,2727,1670,1532,2644,1715,1226
841690,"Parts of furnace burners such as mechanical stokers, incl. their mechanical grates, mechanical ...",404,865,0,119,159,96,77,372,28,51,,5769,4295,4280,2306,3456,3519,4657,5501,4841,4572,,17705,31183,26189,41333,26945,28157,22005,19360,11181,9174
41000,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.",0,0,0,0,0,0,0,0,0,51,,3,69,6,77,523,6,1,2,8,347,,807,330,982,446,1598,1173,453,174,423,298
560741,"Binder or baler twine, of polyethylene or polypropylene",82,39,73,0,0,0,71,31,64,51,,58,83,349,183,66,214,294,340,321,513,,739,896,544,1045,889,624,998,865,421,634
290512,"Propan-1-ol """"propyl alcohol"""" and propan-2-ol """"isopropyl alcohol""""""""",89,192,375,134,192,75,109,133,82,51,,9490,6778,9784,6019,7063,10236,8386,8917,13691,13857,,17907,17772,15542,13371,9730,12269,24269,11094,11535,7924
610120,"Overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets ...",0,0,0,131,0,0,221,24,33,51,,4409,3840,4873,4212,3127,3634,11368,20717,14279,14586,,49,284,170,1870,3696,789,1977,1312,819,2631
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",86,454,102,131,188,0,12,62,16,51,,49503,60484,53573,80266,108578,95073,101841,93351,84983,101101,,48018,44731,51283,44732,27378,25031,30349,21603,13603,5584
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",892,270,601,692,226,165,354,87,67,51,,3455,3543,4336,3810,3715,3567,2337,2418,2352,3032,,10613,10403,12608,12265,15831,12094,14194,13653,11428,6163
481022,"Lightweight coated paper used for writing, printing or other graphic purposes, total weight ...",0,0,0,33,241,131,708,215,182,51,,4,56,18,16,38,76,373,379,49,140,,4005,3045,1637,3190,5039,6580,8667,6358,5559,4855
720853,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",0,510,0,173,0,0,90,102,406,51,,2727,9882,3986,5074,2966,4655,4779,4898,6100,10728,,3535,3531,3010,3400,2027,1152,5105,2564,1901,3482
540744,Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides ...,335,548,93,106,577,671,457,24,0,51,,2114,2487,1406,1742,2126,2345,2057,598,957,1503,,1372,807,816,267,2263,1869,1713,212,19,166
293020,Thiocarbamates and dithiocarbamates (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,4,0,0,50,,1791,4920,2153,2933,2706,3455,4735,5707,11543,11204,,207,58,0,450,22,20,533,73,120,316
170219,"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, ...",27,0,0,91,75,0,279,20,22,50,,449,730,480,231,645,582,881,417,2273,3749,,588,580,717,839,893,1473,951,3714,826,936
282890,"Hypochlorites, chlorites and hypobromites (excluding calcium hypochlorites)",0,0,0,0,0,0,25,78,0,50,,2317,520,866,628,811,1111,1146,1266,1581,1559,,164,687,774,240,629,1334,1143,1828,1788,2885
251710,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for ...",234,0,0,0,0,0,0,4,54,50,,14167,6967,19308,29680,36996,34173,36039,64189,86456,80000,,2817,1604,1170,1387,865,548,1615,943,2035,1036
300640,Dental cements and other dental fillings; bone reconstruction cements,0,0,0,45,0,0,0,4,0,49,,5398,5929,4841,6437,6067,5303,7889,9853,8227,12219,,22947,15572,18539,23841,17312,20724,21593,25012,15209,25823
821195,"Handles of base metal for table knives, pocket knives and other knives of heading 8211",0,0,0,0,0,0,0,21,36,49,,115,56,180,240,86,81,33,12,45,89,,95,59,578,713,804,279,367,745,586,1347
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",114,129,554,0,0,135,24,84,7,49,,13752,27312,23103,18225,10060,14240,20547,20724,13418,18015,,53304,57503,69029,53140,35272,40742,60120,68826,73998,78460
961210,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether ...",0,0,0,0,0,0,57,18,10,49,,774,789,406,754,1114,1130,2570,3359,3103,2882,,24375,23048,16568,27929,14017,9174,11836,10593,9837,8515
854320,"Signal generators, electrical",61,0,0,0,0,0,69,0,18,49,,6232,6905,6027,6035,4658,5355,5556,5419,5928,4667,,5748,5161,8304,5447,3634,5682,4124,2667,8158,4349
560811,Made-up knotted fishing nets of man-made textile materials (excluding landing nets),104,169,0,83,0,76,104,52,96,49,,32433,38171,43457,48210,45396,49768,59053,63554,67842,65403,,750,585,1263,1026,1148,772,396,983,966,357
611530,"Women's full-length or knee-length hosiery, knitted or crocheted, measuring per single yarn ...",110,0,0,0,0,0,27,8,18,49,,63,96,89,260,147,110,356,668,1397,1223,,1372,866,859,943,1700,1141,814,916,354,403
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",30,0,115,39,0,0,0,24,0,49,,3256,2947,457,1354,1211,1298,10334,1864,146,31,,29565,25250,18988,23573,14791,12567,19740,20650,19276,14339
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",70,0,157,0,42,0,140,13,49,48,,14088,20723,13883,26991,26935,15291,22038,22088,13995,20302,,3717,3383,4039,4633,1605,1801,2591,2143,2241,3665
902920,"Speed indicators and tachometers, stroboscopes",0,99,0,0,0,31,55,49,41,48,,10133,12680,10708,13784,11453,27175,32511,45781,50510,53694,,5611,2657,4084,2900,2005,2351,2051,2220,2774,2623
611780,"Ties, bow ties, cravats and other made-up clothing accessories, knitted or crocheted, n.e.s. ...",0,0,41,625,120,258,220,355,77,48,,3041,4421,4494,5053,4970,4504,3062,3122,8567,5402,,256,577,913,4983,2472,4529,4547,4774,3619,3467
441192,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",0,55,0,183,88,214,94,0,10,48,,139,1823,2431,2312,2350,2294,3196,4679,3526,4946,,5101,6810,8924,9741,9408,10639,10502,11536,6922,7645
847439,"Machinery for mixing or kneading solid mineral substances, incl. those in powder or paste form ...",530,752,1196,1437,1078,764,1077,987,1106,48,,4575,7010,6373,6805,5848,7208,8835,12354,5451,8591,,42769,38644,47956,57977,29180,18287,15158,10944,6259,6002
620729,Men's or boys' nightshirts and pyjamas of textile materials (excluding of cotton or man-made ...,0,33,0,696,1074,410,392,329,276,48,,477,290,539,2134,8954,9315,4665,2399,2539,3585,,2217,2251,854,1991,1899,711,840,1665,1862,405
