Product code,Product label,Singapore's imports from China-Value in 2012,Singapore's imports from China-Value in 2013,Singapore's imports from China-Value in 2014,Singapore's imports from China-Value in 2015,Singapore's imports from China-Value in 2016,Singapore's imports from China-Value in 2017,Singapore's imports from China-Value in 2018,Singapore's imports from China-Value in 2019,Singapore's imports from China-Value in 2020,Singapore's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",303,364,361,571,495,923,6030,54481,104266,282218,,67754,72545,94701,66858,89701,258565,394842,521071,751876,1171837,,5931,3974,16332,26636,83873,112767,126224,379461,588471,1046857
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",527597,282732,32695,4336,4672,92671,54236,22804,442322,278735,,0,0,0,0,0,0,64217,77544,283635,991239,,7398625,15735286,12290283,533831,714225,11793332,12188693,8528482,15256771,12831051
854110,Diodes (excluding photosensitive or light emitting diodes),115493,152045,169770,238357,185531,208323,246982,200957,161692,272951,,1908403,2508753,2826450,2554477,2055089,2139155,2334318,2377114,2587145,3022485,,451280,444943,438117,492021,465711,502099,554697,462318,413110,621831
854233,Electronic integrated circuits as amplifiers,59176,65058,59287,58011,52669,88415,168701,155176,154144,263404,,4495569,14659409,2370256,3164898,2639676,1394123,1477668,2143208,2789049,3622431,,303465,317761,321459,278957,323398,770405,1728399,2236167,3051087,4908681
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",54054,47296,58314,53818,52113,82177,132553,279219,255499,253929,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,88421,82426,90699,95281,90511,123902,187048,344042,319521,450759
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",106830,103366,76228,126269,169269,169272,173868,152311,176287,239033,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,243209,220931,181335,240082,275211,264661,306558,242895,258876,323423
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",208890,258134,249713,267575,292161,366259,548556,356395,193029,236334,,1892289,1373345,896558,997657,993140,1162958,1173770,1281498,1137923,1135443,,855241,787088,950178,1004962,1181821,1255190,1835753,1442325,1182363,1070132
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",97147,122772,124119,53520,56154,111563,74372,124460,139341,214645,,1806044,2100562,2671167,2616412,3216610,3772956,3214479,2605054,2711790,3540136,,1799832,1349398,1229680,1074420,1317220,1826491,1962134,1605801,1401879,1557441
841112,Turbojets of a thrust > 25 kN,8949,0,0,0,180,5892,64434,128959,369203,213409,,362809,442343,819502,1331664,1555739,1585217,953125,602264,706757,583113,,275126,237821,462152,136903,213973,314994,2922759,4635153,5170250,4795793
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",118076,135860,218626,116263,135895,277934,157574,174528,154954,207186,,10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292,,579404,645127,684966,443014,430223,628745,453924,486314,405298,676940
