Product code,Product label,Singapore's imports from Viet Nam-Value in 2012,Singapore's imports from Viet Nam-Value in 2013,Singapore's imports from Viet Nam-Value in 2014,Singapore's imports from Viet Nam-Value in 2015,Singapore's imports from Viet Nam-Value in 2016,Singapore's imports from Viet Nam-Value in 2017,Singapore's imports from Viet Nam-Value in 2018,Singapore's imports from Viet Nam-Value in 2019,Singapore's imports from Viet Nam-Value in 2020,Singapore's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
240220,"Cigarettes, containing tobacco",37291,44549,43417,46052,59328,62911,95776,94652,56787,28987,,237262,276669,245912,250440,245327,230686,214546,264656,181619,75191,,622017,642787,678250,696726,760671,785017,838456,787352,523423,570953
999999,Commodities not elsewhere specified,9096,14933,11515,13701,12022,11880,12512,21489,4441,25368,,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",8378,12976,9637,9682,9066,6383,6354,5625,23057,25365,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,855439,769407,815004,825515,799065,1013888,1774216,2663059,2664601,2356525
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",6710,9071,6435,5597,6439,6458,14190,4279,23543,24691,,254313,323449,410055,385145,467446,460632,400160,422751,463728,376070,,274928,258500,259179,256376,259963,254980,329031,310950,345335,292137
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",31431,33313,34969,30946,30569,31078,39424,33886,26026,24345,,1619728,1584158,1610008,1422509,1530189,1570980,1973718,1721349,1242897,1050681,,31652,33899,36269,31658,30753,31377,40195,34537,26364,24836
844851,"Sinkers, needles and other articles used in forming stitches, for machines of heading 8447",6290,16110,19001,16168,15606,15396,18383,21305,17982,23796,,13921,19733,24367,21480,22211,21234,24773,28303,24488,59092,,47028,54579,136723,124241,167658,213294,211033,153810,171112,230839
481950,"Packing containers, incl. record sleeves, of paper, paperboard, cellulose wadding or webs of ...",68,15,52,38133,32386,29410,31373,29956,23129,23180,,20700,39449,42722,49733,48887,59894,49469,51343,42541,89057,,5837,6889,8620,57496,50088,42679,40909,39895,33556,34534
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",5915,7865,9331,8083,9874,11281,12966,14580,13031,23080,,8717,11679,16673,13216,25974,35793,33992,30379,37181,119485,,150491,107782,83744,42915,33696,39890,58568,64617,29551,44811
150410,"Fish-liver oils and their fractions, whether or not refined (excluding chemically modified)",16592,20965,17705,11960,28438,19044,18221,36069,26303,23066,,0,26,0,0,0,0,152,0,0,23626,,17401,22199,20635,12570,28839,19322,18677,36526,26611,23388
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",14875,15194,9985,11025,14344,22273,42084,15951,9208,21071,,214839,293188,371350,447719,571373,756802,848735,454469,382545,428138,,349506,404234,373461,288861,287166,278911,315846,326784,310436,456454
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,3651,5764,10143,15178,15298,22245,28793,20330,19172,20536,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,54243,55259,76678,85798,82654,94372,121197,98933,76125,91970
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",6283,10371,9245,9623,7789,25403,15582,15023,16241,20274,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,149116,175494,165592,159966,156467,158899,164825,156752,125049,160310
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",4891,9840,18681,12520,12040,13620,14799,12550,17098,20156,,95556,111020,271563,318329,356457,605328,2439625,2897438,5170175,13926661,,579404,645127,684966,443014,430223,628745,453924,486314,405298,676940
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",4287,10917,23512,44488,20508,20715,19407,17067,23734,19743,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,2715151,2286796,2049821,2116711,1738126,1817311,1824985,1807007,2117912,2901987
852580,"Television cameras, digital cameras and video camera recorders",828,655,199,947,2173,3543,4796,3515,2444,18700,,73245,110450,365356,871378,901312,1358865,2268382,1976684,2066189,2436098,,1302958,1121103,954246,753061,619294,746818,726467,657970,536540,703569
701790,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated (excluding ...",0,0,0,0,3,1,0,29,0,18260,,3402,24,34,40,33,56,55,28,49,18388,,16741,27241,34591,30835,26742,26036,25317,26613,21299,54332
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,331,528,1303,2196,2968,11331,50162,64788,43740,17022,,3205,1616,1502,3042,2188,4530,7976,11960,16289,128821,,1392644,1344025,1297631,1488246,2210377,2464860,2770746,2452341,2725191,3837167
