Product code,Product label,Germany's imports from China-Value in 2012,Germany's imports from China-Value in 2013,Germany's imports from China-Value in 2014,Germany's imports from China-Value in 2015,Germany's imports from China-Value in 2016,Germany's imports from China-Value in 2017,Germany's imports from China-Value in 2018,Germany's imports from China-Value in 2019,Germany's imports from China-Value in 2020,Germany's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
261590,"Niobium, tantalum or vanadium ores and concentrates",0,0,0,0,0,0,0,0,0,0,,2320,3,6159,0,0,0,0,970,52,850,,0,0,0,0,0,0,0,0,0,0
262019,"Slag, ash and residues containing mainly zinc (excluding hard zinc spelter)",0,0,0,4,0,0,0,0,0,0,,0,0,58,0,0,0,287,250,0,0,,15333,14825,16107,15634,15906,31016,31069,23705,17805,22877
110520,"Flakes, granules and pellets of potatoes",0,0,0,0,0,0,0,85,260,0,,4498,2751,2487,1732,676,554,472,531,716,726,,14851,19149,20699,19204,18200,20957,23590,25513,22531,27197
90832,"Cardamoms, crushed or ground",0,0,0,0,0,2,3,1,0,0,,0,0,0,0,34,3,0,18,0,0,,632,925,447,602,1102,1020,1993,3053,2214,4076
100210,Rye seed for sowing,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14709,16104,19090,18285,11015,15578,15520,17227,17485,13979
110311,Groats and meal of wheat,0,0,0,1,0,0,0,1,1,0,,0,21,0,0,0,2,9,6,0,0,,33919,37621,28395,36580,30773,27591,32050,29745,42888,33377
110710,Malt (excluding roasted),32,0,0,0,0,0,0,0,0,0,,87852,143268,165141,153002,152656,151355,191362,223324,160343,144582,,132729,116722,117726,82806,92145,72410,112146,92198,82665,76813
120710,Palm nuts and kernels,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,0,0,0,1,0,0,,279,47,2,1,1,4,0,48,155,375
120921,Alfalfa seed for sowing,0,0,0,0,0,0,0,2,1,0,,1073,775,817,483,1175,910,232,309,168,226,,5566,9444,7501,7455,7655,5872,6932,7992,9229,8808
71120,"Olives, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,53,25,,3997,5362,7363,7015,5708,5790,5775,7149,8595,7791
