Product code,Product label,China's imports from Australia-Value in 2012,China's imports from Australia-Value in 2013,China's imports from Australia-Value in 2014,China's imports from Australia-Value in 2015,China's imports from Australia-Value in 2016,China's imports from Australia-Value in 2017,China's imports from Australia-Value in 2018,China's imports from Australia-Value in 2019,China's imports from Australia-Value in 2020,China's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
750120,Nickel oxide sinters and other intermediate products of nickel metallurgy (excluding nickel ...,416488,365481,370205,163272,115263,66725,0,0,98925,281178,,301624,136241,148453,107100,12003,0,1938,2542,461,43,,994833,908293,999494,836878,723187,1107511,1318449,1352089,1233190,1730495
20130,"Fresh or chilled bovine meat, boneless",9786,48015,18331,44557,51530,59703,107695,212532,279662,236038,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,9988,52084,18331,44557,51530,66896,130435,283031,395512,482320
40221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",15308,68295,81402,23158,53681,54318,74467,127991,187319,210289,,362325,435966,363182,203697,231521,231219,242972,196323,161106,272799,,1354897,2612029,3308680,952435,1053572,1517089,1746636,2176005,2224362,3040231
260400,Nickel ores and concentrates,521308,433064,302064,245321,119733,109586,240744,290084,258634,208515,,1224786,903328,684773,523934,210358,212803,193955,307498,300458,445174,,5247147,5136583,4577269,2660981,1527180,2095076,2974961,3933177,2900563,4154279
10229,Live cattle (excluding pure-bred for breeding),37,0,8268,2550,996,44743,163141,185493,182950,207341,,390808,501329,910835,870262,978019,767039,946665,1039483,931978,831455,,37,0,9218,2843,1175,54594,195027,212361,299466,526114
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",41265,56624,80011,57647,51972,93712,101066,149192,174177,206209,,538507,484432,675054,484448,349434,379837,346720,336760,394565,648061,,554729,958501,1124388,517141,396189,600627,609118,871548,986853,1298473
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",39675,76280,53243,150887,166771,193749,167642,240964,236734,182087,,36608,59855,40945,135336,296782,371862,574547,664689,423931,334455,,1044772,1470345,1565868,2517935,3071719,4071606,4888489,5330787,5215817,3991017
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",854526,1033321,1011786,739624,811560,1079193,489981,200745,141009,180312,,353695,400515,299278,235445,178289,247728,286184,252749,267791,494266,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
80610,Fresh grapes,4813,17130,24315,48555,101871,130416,140426,181768,184948,160846,,107444,188314,212977,188041,325701,299432,295920,406353,457188,374168,,383679,514637,603206,586056,628860,589242,586198,643863,642814,526550
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",5969,8808,19304,34216,70143,106627,150549,218694,214080,152929,,199015,228651,225310,219951,283126,371090,421873,485240,477092,492473,,999917,1123503,1923142,2721208,3580664,5078685,8824071,11714719,15889177,16977906
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",1469,13518,19801,19974,8125,7710,3152,53288,71272,148189,,133746,174311,212792,208074,238895,215364,226552,265614,177536,174193,,4226239,5679913,7764428,6693533,7106304,7212350,8136090,7350291,5627046,8705045
260700,Lead ores and concentrates,287610,189928,376411,316531,31925,52139,95593,329001,122107,140921,,1211398,1048874,1004569,717711,383891,338970,441416,674487,560462,697812,,3174532,2106746,2150568,2094514,1474991,1721454,1686412,2138966,1714467,1726460
760110,"Aluminium, not alloyed, unwrought",226380,189773,155296,48807,55724,30990,19777,15193,99496,139721,,2699037,2591341,2487668,2354220,1989538,2101616,2639721,2247243,2163671,3128382,,1121464,762582,538044,299920,360676,240015,276232,151580,1934052,3833274
261400,Titanium ores and concentrates,270525,198366,149605,80219,51237,118623,85312,87657,86553,135287,,135411,85640,67036,83598,63569,85006,77060,87219,80219,59059,,1003209,642834,417763,273986,295817,551382,546120,467378,642983,1090863
410150,"Whole raw hides and skins of bovine """"incl. buffalo"""" or equine animals, whether or not dehaired ...""",344412,460805,554318,468394,299309,284733,211575,136591,102396,127225,,301550,397794,424588,353910,233391,232666,182324,128835,109325,172640,,2222122,2726095,2788864,2484756,1737649,1705895,1202818,847854,774747,1023184
260900,Tin ores and concentrates,0,6,16,0,0,3,14308,64627,55364,125211,,112239,126681,144123,99660,96625,134843,125021,130708,121349,249154,,175863,290933,388256,373552,814647,923176,739457,661679,554712,1159932
300432,"Medicaments containing corticosteroid hormones, their derivatives or structural analogues ...""",174506,238476,336329,440638,499996,554218,593004,788754,536460,122560,,6951,6274,2865,2007,10459,97885,117152,94466,111524,109527,,575128,705853,828369,1096187,1105281,1320751,1531358,1864013,1613687,860334
410210,"Raw skins of sheep or lambs, with wool on, fresh or salted, dried, limed, pickled or otherwise ...",276941,313414,267471,192854,192142,210113,191855,137717,95456,116986,,406274,428832,348113,307247,287030,287140,278094,213819,168370,239702,,576561,628003,482644,379167,354674,383908,343659,233343,161311,179627
30214,"Fresh or chilled Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""",2064,1150,4468,38149,10068,70937,52793,51902,65460,106599,,21119,15243,14414,64010,27869,107811,86356,85310,191106,283497,,145864,151784,261351,307930,327648,356030,651843,686312,326295,529612
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",8436,88850,131133,136826,80572,63491,99408,184417,129646,93544,,167050,248705,352822,286477,216745,255374,298897,453852,356865,415507,,19540,165059,258725,279846,262403,286840,422665,726643,765139,1105392
40120,"Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing ...",11113,19344,40676,55338,51888,53469,59308,72512,74618,91153,,79530,86056,123098,126383,131109,150152,163984,179840,198570,244015,,68040,148890,278782,307766,373620,391509,421165,513266,569470,695367
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",144123,181257,173499,95153,54529,66235,80037,76012,63093,87422,,3935,3313,3839,3315,4115,3264,179136,5352,4685,111124,,258031,356415,340690,243656,189189,315698,360203,299293,255338,249060
790120,Unwrought zinc alloys,134724,126025,121071,111252,76629,97272,125645,96289,75395,87091,,139587,1779,2373,24,558,635,4,0,61862,387500,,296252,283928,261511,255004,233435,313730,323884,243707,186204,237311
80211,Fresh or dried almonds in shell,0,0,0,0,276,0,27540,182945,53397,87042,,59815,104986,104716,160529,98269,143183,200327,247456,111081,218734,,7405,17929,3653,19628,13085,24618,68426,299315,158216,203862
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",34646,23901,15812,22828,61178,97294,137604,107203,64441,82476,,130510,107391,98373,119375,93852,102302,108556,76049,87244,140343,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,101672,102525,107799,82661,84166,109487,99316,81729,87034,81632,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,560872,550272,615343,536474,505433,608902,634916,527145,504335,567198
80212,"Fresh or dried almonds, shelled",424,321,224,118,273,1533,50562,123236,81805,80966,,96838,224162,297070,406034,245901,206331,212259,297251,277849,275805,,26160,25412,26316,44049,45218,70767,134910,226069,170141,169133
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",4518,4526,10842,11910,28835,42396,51350,37859,56279,80511,,312046,274646,274728,276877,243993,314637,343796,327227,343306,398003,,55395,64722,96815,101646,141441,181891,174937,159401,206326,297444
10221,Pure-bred cattle for breeding,85711,129112,204988,229457,154291,65145,52566,82910,80679,75595,,247835,238688,213492,151646,116293,122957,148692,204286,202818,220242,,147216,166616,478612,363760,218604,143782,72342,122788,187692,179328
80261,"Fresh or dried macadamia nuts, in shell",15536,14378,21685,30400,21615,48754,40857,59145,71529,73835,,27907,39265,0,93884,113514,100893,80573,62642,77264,92927,,20528,25586,31068,78455,45101,83966,73096,128846,134987,172852
20443,Frozen boneless cuts of sheep,6295,23055,18531,4583,3916,23540,34961,79897,76633,72746,,242409,277985,384186,339963,323058,440236,454425,403083,403969,470575,,23556,54023,30023,12269,13691,48526,60075,112394,110907,101562
