Product code,Product label,United States of America's imports from India-Value in 2012,United States of America's imports from India-Value in 2013,United States of America's imports from India-Value in 2014,United States of America's imports from India-Value in 2015,United States of America's imports from India-Value in 2016,United States of America's imports from India-Value in 2017,United States of America's imports from India-Value in 2018,United States of America's imports from India-Value in 2019,United States of America's imports from India-Value in 2020,United States of America's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
842539,"Winches and capstans, non-powered by electric motor",1277,652,580,573,426,844,1054,1591,1815,2847,,738,2048,3264,3868,4821,4709,6707,5172,5506,11493,,150433,179394,151240,145163,118461,149539,166911,163924,160750,202271
521011,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",727,800,958,1076,1525,2511,2498,3108,2023,2844,,3085,5558,6204,8648,7886,8257,4507,3758,4706,8661,,31995,35061,36008,34901,35687,33172,35315,36251,22148,30156
392094,"Plates, sheets, film, foil and strip, of non-cellular phenolic resins, not reinforced, laminated, ...",18,1991,2330,2117,2237,2413,2811,3195,2487,2840,,823,75,571,1077,1528,2359,4103,2871,513,83,,970,3102,5097,4181,3612,4177,4627,4745,5401,7430
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",3683,1236,2068,2064,2463,1722,1835,2719,1677,2833,,14264,11157,13455,12411,15211,16219,23906,37917,38972,50686,,237133,242630,255414,273460,272400,288376,297403,277914,250675,315857
841410,Vacuum pumps,1450,1540,1589,1569,2225,3585,4848,5047,3026,2832,,9899,9694,8623,7815,8977,11912,14859,18112,12213,15827,,633593,651173,733667,707060,713335,759506,834426,792821,687659,765280
580890,"Ornamental trimmings of textile materials, in the piece, not embroidered, other than knitted ...",1592,1920,2132,1643,1383,1944,1996,2953,2314,2815,,10166,12062,10625,10022,6898,6592,5118,10103,11702,18287,,27243,29310,30781,35564,31838,29563,32559,27381,21651,25094
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",7087,3748,3059,2515,6351,9374,9355,2956,2212,2811,,13507,24308,16378,20066,35869,29276,28037,29198,24260,34842,,1564933,1547838,1643245,1657710,1652315,1775436,1900268,1992722,1985196,2398980
630190,"Blankets and travelling rugs of textile materials (excluding of wool or fine animal hair, cotton ...",172,416,2138,1113,1806,1485,1645,2273,2053,2808,,53152,59925,68361,59895,60621,78165,63770,60764,61684,67771,,7966,8432,10591,11288,14248,13948,17186,28005,26785,43583
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",1661,1913,1583,2029,1755,1624,1248,817,916,2794,,26547,82009,98865,61921,23786,15636,22184,20786,48046,57543,,1015845,930080,1030680,1039629,1021927,1067680,1027920,924498,788692,830919
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",141,412,236,194,346,187,3944,1946,729,2793,,393082,310786,384443,444985,396545,432791,202984,49340,120494,140888,,520627,443795,278662,295019,260374,388953,496679,1074629,1465068,1506809
540783,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",1553,1463,1814,1828,2174,2111,2494,2250,1768,2790,,9330,6029,9104,5078,5399,6768,7011,7133,5410,7060,,8417,8472,10745,11077,7622,6957,8695,6991,6226,7921
294000,"Sugars, chemically pure (excluding sucrose, lactose, maltose, glucose and fructose); sugar ...",1433,469,1618,1439,953,1442,2259,2081,348,2785,,3794,4521,3421,5776,7293,6220,8914,15179,14041,25571,,127466,143298,138969,146085,129502,134275,155119,161746,242534,269967
560391,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing <= 25 ...",172,125,2,419,0,0,8,0,1677,2784,,173,433,823,1178,276,121,176,378,1951,2129,,24720,20557,22452,17607,22767,22559,23794,11826,23837,18645
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",5998,4180,4046,2146,2091,2694,2299,2495,1813,2772,,40532,52517,45682,38539,41445,45492,44315,36657,26509,37299,,191781,179395,126022,94721,98560,96584,95604,101791,70799,66568
845710,Machining centres for working metal,24,7,403,51,285,0,173,386,1981,2762,,15243,15273,15676,19466,13338,15891,16468,12709,8556,15935,,1622436,1331230,1364769,1176497,1087711,1231161,1556088,1444778,975627,1193362
903300,"Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ...",984,4633,6937,7050,8514,10813,14542,9935,3073,2753,,220634,128366,104642,80289,83814,77092,79707,67740,58994,73113,,106276,116968,117224,131123,105542,113566,134888,135661,137153,151338
852692,Radio remote control apparatus,0,1313,1667,1412,1537,1605,2140,1830,1738,2752,,3583,10648,3960,2193,622,260,407,2840,2729,2817,,521784,524866,666424,792503,671462,764207,959888,1213675,1070609,1280686
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",4850,2776,724,161,204,709,1202,1914,1751,2750,,35505,37352,24922,25548,23365,31912,25622,26886,23865,35764,,378921,396465,377483,219919,159432,179003,219205,298906,204436,243170
741121,"Tubes and pipes of copper-zinc base alloys """"brass""""""""",662,1188,1182,1111,1443,1480,2113,1654,841,2748,,8316,10370,6856,7270,7233,7778,9055,10078,7892,16598,,97604,89888,91184,77395,66503,76566,106071,87780,65363,85754
200490,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ...",1079,410,647,1163,1637,1768,1632,1770,2730,2738,,17171,22076,22157,25972,24030,23474,25849,29396,35523,44500,,100201,100569,101360,112757,159586,206727,244068,252382,296675,356599
482370,"Moulded or pressed articles of paper pulp, n.e.s.",132,154,92,142,139,90,223,274,821,2737,,3752,2920,1966,2415,3034,4731,6409,6515,8344,13443,,126714,141476,144182,172505,178513,202865,266874,350952,349736,390484
491000,"Calendars of any kinds, printed, incl. calendars blocks",469,417,605,538,668,740,4217,908,1484,2736,,3758,4698,5195,4421,3864,4362,8084,4986,4186,5629,,147327,150751,148697,151870,148214,146893,156689,171720,157558,167608
902580,"Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...",524,564,577,473,882,1015,631,1226,1414,2723,,4925,7324,8788,10765,12381,15029,13730,14631,15574,15150,,172480,156867,179582,187451,184870,199184,211123,225694,218365,262121
930700,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof, and scabbards and sheaths ...",2178,1748,2220,2353,1830,1929,2137,1978,1573,2717,,1623,5106,4870,5543,5881,6539,6664,5802,5391,7412,,19605,25493,26608,26408,19899,22325,21068,23383,20088,34692
292511,Saccharin and its salts,2666,2600,2636,1442,2192,2354,1999,2288,2661,2716,,3777,3324,3190,3430,6306,5035,4841,6090,6291,6981,,23920,24806,26571,22117,27705,26843,21848,20967,27277,22039
845929,"Drilling machines for working metal, not numerically controlled (excluding way-type unit head ...",9,212,823,557,1745,258,714,6,1849,2708,,2315,5446,4342,4719,3822,1901,4248,4053,4461,8753,,25147,30405,32083,27216,34410,37302,33880,32212,28211,30975
631090,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",665,147,125,9,146,249,756,1272,1949,2706,,6892,7306,10558,9417,5293,9171,14271,12476,9153,15763,,29132,25358,29805,27681,25718,28291,31463,29808,27060,39199
843699,"Parts of agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",580,398,337,383,361,437,428,478,920,2702,,1953,2378,2669,2488,4940,2916,31308,3837,3617,6648,,164218,165388,201246,201361,191220,230579,227914,217114,234098,334591
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,659,784,1253,397,476,2402,1689,1105,1351,2701,,1344,2905,3460,3750,3627,5590,5827,7339,6983,8448,,616364,641604,671155,699831,712482,738324,824798,814783,864243,977155
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",4211,2632,2497,4314,4140,5273,3809,4102,3631,2698,,13752,27312,23103,18225,10060,14240,20547,20724,13418,18015,,2871361,2978136,2857405,2651440,2861888,2866618,3364602,3112556,3424658,4214164
740929,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",28,25,0,7,39,80,125,58,39,2690,,1075,1995,2313,4668,2190,4077,2648,2937,2987,5184,,27622,28042,24374,21630,24010,31826,34315,39260,30706,38720
283340,"Peroxosulphates """"persulphates""""""""",1021,1817,1272,800,799,1201,730,2226,1969,2687,,2277,3487,3340,2646,2904,3717,4522,5105,5606,11012,,9884,12239,14757,11780,12729,14286,15080,14236,7952,14997
540500,Artificial monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ...,2,7,0,0,0,59,348,462,471,2687,,0,7,1,0,2,21,3,7,36,2,,2113,536,670,1400,1261,1656,958,920,793,3014
741300,"Stranded wire, cables, plaited bands and the like, of copper (excluding electrically insulated ...",2388,1982,1639,1590,1880,1159,1847,2202,1677,2687,,13188,9972,9860,10431,10914,7410,12664,7780,8781,8232,,149318,139263,127447,56402,40752,34051,37379,39625,36515,63070
901780,"Instruments for measuring length, for use in the hand, n.e.s.",2723,2006,2219,1817,1974,1965,1863,2452,2438,2685,,2278,3003,2841,2735,2327,3054,4084,3510,2794,2945,,136424,145718,148418,148198,148439,163365,177754,164950,166151,224801
721661,"Angles, shapes and sections, of iron or non-alloy steel, from flat-rolled products simply cold-formed ...",0,37,12,66,40,137,161,520,209,2676,,24,21,32,27,8,55,4276,76,303,1138,,46824,47095,47307,43557,50829,69823,69694,74521,84782,152940
711320,"Articles of jewellery and parts thereof, of base metal clad with precious metal (excluding ...",6497,7669,6086,5168,5561,7202,4874,4094,1560,2673,,913,749,342,318,263,594,977,525,69,507,,41327,39348,41987,29605,21845,26739,37108,27390,38061,273760
847910,"Machinery for public works, building or the like, n.e.s.",6,0,29,12,394,30,130,539,4297,2667,,3772,4439,4883,9286,8450,3161,5384,7021,7838,14229,,171203,179960,203065,239683,317878,318763,394973,352810,265258,363176
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",4024,4825,4269,3145,2827,2324,2432,1570,2085,2652,,2193,1023,1174,690,869,2722,587,421,238,1208,,233565,242659,235798,239872,216878,226850,267219,270623,199541,251688
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",931,1756,1122,2009,1075,1447,621,525,779,2647,,18321,22718,22988,27364,30143,35057,40679,51408,32347,54741,,369526,350427,412201,432376,437298,498272,546718,481114,456116,644188
381129,Prepared additives for oil lubricants not containing petroleum oil or bituminous mineral oil,778,775,1255,675,1313,1038,1865,3446,1530,2645,,5893,14924,15442,15008,19222,17857,24998,190606,13040,18439,,89152,103771,102096,87164,83042,80947,98958,81956,71543,103783
120400,"Linseed, whether or not broken",4,37,896,3848,971,1759,4034,4720,4059,2644,,1854,26112,13327,11301,8366,8297,10392,11813,12109,13760,,122783,118587,134656,97392,64791,71441,88255,81155,76590,116714
841392,"Parts of liquid elevators, n.e.s.",8,28,429,367,313,463,453,757,126,2643,,324,484,2158,1169,3232,3290,513,1435,550,1203,,7917,8721,8505,9263,12060,10109,22025,22330,18797,19652
391721,"Rigid tubes, pipes and hoses, of polymers of ethylene",320,154,468,490,222,139,150,1011,1477,2638,,40108,39654,37238,33758,34479,27639,34259,26725,16345,38078,,60425,55300,56233,57076,55670,110678,275953,179003,94210,175989
291469,Quinones (excluding anthraquinone),1297,1006,4383,11631,8765,9271,10814,5418,3725,2630,,12416,15092,22364,20473,28215,26098,29662,26849,27935,22489,,129190,107345,149519,158894,111233,119389,96582,37484,44761,44254
230910,"Dog or cat food, put up for retail sale",788,1877,3345,955,592,1881,1724,2057,1133,2629,,20024,28897,29534,38040,41141,33276,38138,36998,38321,60170,,735663,663765,689918,765332,779633,842945,985190,1027878,1231728,1534992
871680,Vehicles pushed or drawn by hand and other vehicles not mechanically propelled (excluding trailers ...,548,499,735,1393,1524,1471,1636,1799,1075,2629,,619,9320,989,2483,2077,3035,3155,11780,2192,7949,,389731,442995,484481,536326,559631,621374,672970,656861,729998,940319
300341,"Medicaments containing ephedrine or its salts, not containing hormones, steroids used as hormones ...",0,0,0,0,0,0,0,37,2655,2624,,0,0,0,0,0,29,11,0,0,9,,0,0,0,0,0,850,682,37,2655,2624
540247,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",1940,1668,1537,1311,1138,673,651,1196,1356,2616,,43344,50117,28801,17288,23305,45420,51391,40806,27894,41688,,42367,49248,54021,55852,55516,53133,66587,52066,42756,52263
520949,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, made of ...",2203,2337,2296,2298,1681,1737,1738,1379,1270,2616,,1184,832,604,660,596,723,1218,2563,1724,1135,,9569,9065,8294,7820,6883,6098,6207,5503,4102,6605
580500,"Hand-woven tapestries of the type Gobelin, Flanders, Aubusson, Beauvais and the like, and needle-worked ...",89,180,178,287,1135,2422,1249,3230,3145,2614,,253,388,339,530,625,1523,1808,3426,3693,2690,,3664,2433,4701,3887,4073,6154,6582,6859,5105,5251
401150,"New pneumatic tyres, of rubber, of a kind used for bicycles",4158,2389,1906,3720,2116,1435,1609,1238,1393,2608,,62393,57799,50324,46627,38274,41131,33707,42739,39016,58730,,79231,70739,74569,83316,70773,66627,79326,64491,76429,108600
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",3946,1900,1810,1819,2747,2556,1911,1751,2040,2605,,19937,19345,16008,13174,15104,6372,5232,10417,9143,7218,,2871010,2902594,3287716,4118822,3819865,2957827,3316947,2818694,3060614,3155247
441011,"Particle board of wood, whether or not agglomerated with resins or other organic binding substances ...",0,0,0,0,3,12,11,9,2144,2599,,311,753,1354,1591,3041,2942,5927,4040,3360,6105,,206157,238870,270164,273378,308581,323181,314829,346126,306725,336267
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",1112,1287,1295,2410,1862,2682,3193,3452,1971,2594,,9366,5439,8458,5676,7575,11785,14845,16379,12472,19519,,924121,1097484,1397764,1616927,1713296,1664812,1941513,1833918,1477332,1754591
441194,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",0,0,0,33,544,2715,2646,1776,1921,2590,,9765,11481,9198,8872,9170,10298,11281,9403,10826,13674,,17456,20423,24533,22326,30719,26661,32065,32881,31396,35735
900150,Spectacle lenses of materials other than glass,3269,3298,2912,1263,252,358,739,1061,1005,2575,,113558,109625,98413,109073,113752,121911,136370,139777,116818,125585,,571352,634067,644565,685911,712927,810449,878236,892162,809432,1196682
320500,Colour lakes (other than Chinese or Japanese lacquer and paints); preparations based on colour ...,1068,2171,1551,1289,2299,2834,3155,4075,3138,2574,,19201,26593,31521,34518,42352,46643,48424,55719,48791,54281,,5427,6214,6363,7908,10367,11927,13048,12184,10640,14601
283525,"Calcium hydrogenorthophosphate """"dicalcium phosphate""""""""",1508,1322,847,532,762,725,1200,1218,1442,2571,,3436,3184,3084,3049,3676,3677,5349,5305,7631,13585,,11179,15962,13782,13007,21183,18821,22887,11455,9077,16037
610452,"Women's or girls' skirts and divided skirts of cotton, knitted or crocheted (excluding petticoats)",4640,6441,4374,4620,2934,3038,2367,2489,1477,2562,,16215,16717,17118,14217,11403,9619,8126,8435,5168,7098,,143717,129572,132494,118367,84744,63731,60284,63226,47824,54745
251690,"Porphyry, basalt and other monumental or building stone, whether or not roughly trimmed or ...",473,483,1821,490,2850,3230,3242,2971,3071,2559,,72469,67443,56133,59788,69591,72275,52230,55871,71389,77824,,3752,3918,4969,5078,9182,8889,7952,8185,6847,8240
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,4035,1543,1682,1150,1192,1873,1889,1764,1277,2555,,13443,12673,12866,13031,19455,18460,23732,23715,21177,27559,,730195,696075,700364,761758,781302,939536,999387,976880,972943,1086380
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",8,0,0,0,0,0,20,15,151,2555,,4505,921,288,4546,3638,1759,1355,2947,1256,15,,66060507,62626915,60847022,58263034,50612821,47621466,39650709,37906084,30137642,33601887
731519,"Parts of articulated link chain, of iron or steel",3511,3307,3925,4550,4011,5290,5113,9222,1277,2554,,396,266,1891,1494,1952,1554,1557,2084,1757,2554,,41148,39730,51445,53536,54850,61169,69610,68841,51969,71210
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",54,17,36,40,676,814,1000,1196,1202,2553,,1401,1064,480,340,1227,1780,2903,3604,3307,5919,,37785,52661,56797,55494,59951,61363,73682,80717,70853,81733
80280,"Fresh or dried areca nuts, whether or not shelled or peeled",61,302,1830,1967,2357,2548,3938,3125,2161,2549,,0,5005,8090,11296,22410,10401,8848,9006,10310,18858,,233,892,2823,2735,3088,3171,5457,4413,3539,3849
732490,"Sanitary ware, incl. parts thereof (excluding cans, boxes and similar containers of heading ...",2090,2570,3706,5026,4790,4140,4056,2153,931,2539,,4858,8091,6643,5836,5579,4552,3399,3569,3232,4536,,233275,242743,221227,233486,232649,241382,259937,231670,222979,252287
551120,"Yarn containing predominantly, but < 85% synthetic staple fibres by weight, put up for retail ...",0,46,31,6,4,17,3,77,1193,2533,,49,259,2137,1009,210,1170,523,587,2392,3552,,21032,28374,29886,25770,16677,18800,15022,14728,15885,15861
290389,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons (excluding 1,2,3,4,5,6-Hexachlorocyclohexane ...""",20,17,4,20,0,15,17,42,57,2530,,0,1104,1972,1014,308,1259,625,1989,2755,5628,,19213,12387,21289,13883,17749,15958,39467,17158,17791,19450
381210,Prepared rubber accelerators,248,27,85,90,110,373,351,183,1032,2519,,20912,22818,22611,22105,22565,26591,26260,28421,26965,35716,,19429,17506,20469,21753,20688,24355,30703,32517,30101,42117
732410,"Sinks and washbasins, of stainless steel",40,561,2201,1370,2044,2063,1558,2193,2062,2517,,2102,3314,3960,3888,3395,3703,3406,3177,4372,6388,,178607,192503,228048,254190,278107,292539,344195,284094,322958,435330
190532,Waffles and wafers,979,1344,1605,1528,1602,1961,1071,1757,1546,2517,,7775,8441,10924,9007,14150,19672,17515,20735,17152,23486,,353880,333685,346011,407869,445931,490048,550538,590618,597570,735977
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",301,448,355,456,641,1357,1468,1912,1635,2514,,18033,12254,11770,10586,14798,22122,19141,23153,26427,34978,,95498,86521,78648,91888,94334,86913,109838,106629,142387,195367
150500,"Wool grease and fatty substances derived therefrom, incl. lanolin",0,0,82,113,763,62,241,397,414,2501,,4297,3840,2499,3568,2698,2561,2306,1712,2481,6710,,32033,37559,32077,27595,23017,23353,23075,24315,22589,27489
291829,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, ...",2296,2219,2325,1651,1474,1492,3087,2556,2110,2488,,4536,8730,14092,8088,5850,5662,6061,8998,11495,20756,,118629,129539,135352,121672,104229,108434,127817,105268,103682,150258
391890,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",444,256,341,439,660,1700,1976,1784,2571,2486,,24830,31614,33648,30994,28129,19360,11705,34079,5089,2489,,43326,43493,51043,55818,70441,89072,122753,98376,99613,137619
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",43,2149,3506,3689,3531,4226,3746,3416,6999,2481,,1401,3795,5053,4851,4724,4881,4632,5058,12531,6907,,207743,203038,234538,236432,235588,271822,297937,265642,401232,307694
610469,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of textile materials, ...",296,374,999,1043,959,1104,740,1190,812,2480,,23059,48225,75521,92906,96472,95666,66199,75896,67210,109553,,104067,142300,199622,231024,230325,262759,275426,251224,217099,327403
701912,Rovings of glass fibres,2434,50,49,0,0,95,1976,2073,1038,2478,,8049,9031,8395,16501,4036,2263,2605,18174,17680,12392,,240556,230800,249681,230185,229935,271705,337607,250990,219985,308466
631010,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",1887,1869,2359,3333,3840,4152,4285,2870,2785,2462,,8982,16960,17987,15507,18042,15037,17430,14674,12113,12277,,83875,63607,62070,75785,68189,72679,74874,78264,71517,85822
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",1432,2115,1195,1411,1266,1559,1972,2121,2329,2456,,30749,28020,33752,25164,32066,33645,36743,39404,42515,43717,,510607,541497,628258,687450,636311,577460,652256,772669,778211,845612
611130,"Babies' garments and clothing accessories of synthetic fibres, knitted or crocheted (excluding ...",813,564,503,746,1515,1586,2008,2727,2325,2451,,14050,29660,26928,28566,62535,126226,67331,52895,24435,31400,,282025,294604,305950,308829,270719,272921,279088,289962,223046,278367
110311,Groats and meal of wheat,1021,827,1506,2026,2758,3340,3147,3068,3526,2450,,802,955,746,1357,2280,2842,7800,6119,7332,8121,,18628,19930,27490,32331,16488,17947,22733,25914,34450,32120
630539,"Sacks and bags, for the packing of goods, of man-made textile materials (excluding of polyethylene ...",1668,1371,1298,743,1220,1571,1157,1023,942,2438,,1910,5221,4463,4350,3327,3257,4464,4272,3454,4542,,21974,20793,20348,18034,23271,34220,30354,27465,26485,43012
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",756,929,1540,1460,2350,963,2121,2481,2677,2432,,0,3546,2741,3513,3575,7771,6115,6414,5666,6005,,323191,245634,274960,332351,303971,325559,439327,563557,558380,720774
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",27,77,206,118,337,325,611,1339,2577,2430,,6246,6496,8546,8574,16996,17472,15434,18355,24875,23163,,1022164,1067473,1171723,1185749,1167486,1092652,1184744,1222945,1103063,1372891
440839,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",1297,1659,1234,2184,3030,1304,1549,2292,2423,2426,,2025,1916,3326,2380,2707,2586,4185,4500,4579,9973,,37884,31526,33997,36100,33405,31566,37466,30611,22931,22633
970300,"Original sculptures and statuary, in any material",3014,2837,6172,14086,11198,8592,7804,8626,2879,2416,,37203,168166,44115,62686,124428,13842,12041,33215,6064,8273,,828063,1132857,1198943,1249736,1261180,1230641,1862964,1605263,623113,965333
621710,"Made-up clothing accessories, of all types of textile materials, n.e.s. (excluding knitted ...",6757,5926,6400,2829,3037,3365,2586,3075,2163,2410,,43503,28203,30554,28895,22884,16652,15221,13251,20182,20309,,179330,190890,184581,174301,159661,157082,164406,185261,190964,217607
570490,"Carpets and other floor coverings, of felt, not tufted or flocked, whether or not made up (excluding ...",402,760,2280,3700,3259,937,858,1187,1144,2406,,5119,11505,67233,5101,2675,2763,3628,6578,2925,3748,,39788,46046,46953,49524,41877,44733,54594,50112,43431,62636
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ...",2319,1337,2263,2324,1554,2652,2986,1816,1865,2397,,3193,3697,2949,801,431,3270,10704,10814,14958,20040,,56342,57539,63143,63085,60687,57649,61811,55487,53610,60110
853510,Fuses for a voltage > 1.000 V,1450,1387,1014,1758,1395,1508,1558,2097,1722,2393,,18192,14234,9777,9041,8106,9127,7387,13481,12122,14569,,102652,87029,62903,90550,97435,103691,110510,145753,130376,127272
842191,"Parts of centrifuges, incl. centrifugal dryers, n.e.s.",1218,1089,1627,1106,1799,1524,2630,3306,1724,2384,,9918,7941,7513,7196,8920,8243,9496,12092,10439,21674,,139852,137568,130910,122641,117764,123642,159232,170121,160027,177744
844391,"Parts and accessories of printing machinery used for printing by means of plates, cylinders ...",1161,860,1088,1352,883,955,1960,1569,1418,2378,,9015,9645,9931,10090,9483,10489,14766,13664,10347,15507,,252142,250105,283229,254659,300877,306834,294743,322852,295401,313970
841280,"Engines and motors (excluding steam turbines, internal combustion piston engine, hydraulic ...",2251,358,569,2241,1611,2251,1935,2151,1814,2376,,16399,17503,28338,32631,33505,27858,34011,45398,40372,54257,,122963,83329,114051,118597,116871,116201,128534,144424,114772,105853
292217,Methyldiethanolamine and ethyldiethanolamine,0,0,0,0,0,0,0,0,0,2372,,0,0,0,0,0,3748,11739,17845,17418,20099,,0,0,0,0,0,45,168,0,23,3458
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",5182,23,7,3909,3839,302,4491,5204,5716,2368,,0,172223,320458,136804,74715,18809,19179,370078,532951,1340793,,1223943,775298,922898,1201195,1280095,1205072,1117365,1179082,1262504,1287203
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",5748,6780,4422,2867,2979,2396,2147,2694,1385,2356,,30455,26286,19144,65336,59333,60523,66254,102790,92236,72511,,676572,649362,697301,588110,516584,557216,583028,590881,466031,547628
283529,"Phosphates (excluding phosphates of monosodium, disodium, potassium, calcium and mercury)",521,507,651,508,505,396,898,1657,1120,2350,,1064,1313,1741,1008,2427,1118,2072,3289,3691,6361,,24394,19876,21853,28309,29612,22390,19520,18103,14649,19295
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",0,6,0,90,371,158,26,161,299,2349,,1395,2047,2214,3689,3180,4128,5753,7475,4363,12262,,205826,166476,176292,143072,133780,168610,190650,152765,128401,237211
80450,"Fresh or dried guavas, mangoes and mangosteens",5226,3941,3731,5241,6923,10743,14562,13271,231,2348,,166858,203419,196136,183567,202540,182216,160065,151406,137459,185236,,424835,501521,492174,544149,583376,655950,637205,658227,718787,818223
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",3457,6097,6698,10052,3359,2592,3744,2780,1880,2340,,6827,23371,36871,38508,33646,34239,37031,29036,16541,16372,,489258,403554,405342,357734,346999,352221,413756,428821,364932,343624
860730,"Hooks and other coupling devices, buffers, and parts thereof, for railway or tramway locomotives ...",1389,1081,1312,511,241,181,1045,2740,1302,2331,,1717,1374,5945,4381,4580,4039,7839,6957,3145,4666,,66784,61378,81161,91855,84359,70477,110768,125129,87469,89351
392079,"Plates, sheets, film, foil and strip, of non-cellular cellulose derivatives, not reinforced, ...",2517,2652,2546,2472,2384,1909,2327,1814,1626,2330,,24,122,2,115,288,538,786,319,690,3107,,28204,30053,31373,29826,29702,29935,37622,34394,37997,47858
520420,"Cotton sewing thread, put up for retail sale",934,1180,776,1311,671,890,954,1122,1565,2330,,5722,8413,8149,9579,8133,11431,10315,8932,10562,14714,,5545,4896,4452,5429,3353,3609,5455,3889,5172,6081
540234,Textured synthetic filament yarn of polypropylene (excluding sewing thread and yarn put up ...,94,156,101,315,304,202,89,71,369,2322,,1093,492,432,314,648,893,600,1847,3171,6101,,5537,8756,9157,6114,8260,9458,21497,17194,9254,17599
620332,"Men's or boys' jackets and blazers of cotton (excluding knitted or crocheted, and wind-jackets ...",9729,6415,5926,4907,4931,3556,2740,4498,2903,2321,,54873,51508,50494,40385,30501,32529,32477,39304,40183,56463,,99523,116047,114646,103781,90290,89463,91309,95436,64515,57965
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",1254,692,375,249,958,1939,1700,1240,1009,2320,,3102,2942,2255,2430,3837,2626,3565,3128,2349,3975,,51732,48624,54746,60349,64514,70812,77522,77510,65325,83854
