Product code,Product label,United States of America's imports from India-Value in 2012,United States of America's imports from India-Value in 2013,United States of America's imports from India-Value in 2014,United States of America's imports from India-Value in 2015,United States of America's imports from India-Value in 2016,United States of America's imports from India-Value in 2017,United States of America's imports from India-Value in 2018,United States of America's imports from India-Value in 2019,United States of America's imports from India-Value in 2020,United States of America's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
820231,"Circular saw blades, incl. slitting or slotting saw blades, of base metal, with working parts ...",107,61,16,34,37,59,52,76,71,92,,118,234,97,104,125,401,461,815,906,1307,,112351,119698,137251,162390,174270,192498,211285,209194,181671,217080
110320,Cereal pellets,5,0,0,39,0,0,0,0,34,91,,243,1221,426,433,324,540,624,880,1295,1297,,2980,2919,5361,5674,4739,6599,3969,5150,5285,5181
691190,"Household and toilet articles, of porcelain or china (excluding tableware and kitchenware, ...",49,27,14,52,37,70,93,14,67,91,,2076,1943,1898,1616,1255,312,556,610,481,501,,9149,8175,9340,9549,8321,9311,10334,13505,9488,14700
820810,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for m ...",201,406,401,516,144,173,67,92,73,91,,632,645,1251,429,295,1279,450,757,6585,745,,34609,33268,38580,38720,37982,43116,50008,43139,37410,51750
291513,Esters of formic acid,206,105,76,856,979,644,585,1073,255,90,,170,640,1171,1538,4858,1758,1169,1369,3108,5431,,7730,10589,9029,9887,10042,9037,10663,9630,8022,8770
950661,Tennis balls (excluding table tennis balls),51,6,16,39,27,31,30,49,63,90,,427,366,255,308,296,365,732,2162,254,531,,68546,76342,66017,70828,66296,66619,63232,66816,51870,67268
846040,"Honing or lapping machines, for working metals, metal carbides or cermets (excluding gear cutting, ...",54,0,0,15,105,0,340,119,313,90,,1271,1819,913,3319,2273,2519,2136,2857,1664,1377,,18909,31586,22509,17936,30173,31438,20923,22725,19937,14549
480640,"Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or ...",0,0,0,3,0,0,0,0,0,89,,217,411,270,346,437,579,620,1288,511,829,,30607,27937,24229,24186,40059,35928,42119,30925,62346,102145
294120,Streptomycins and their derivatives; salts thereof,31,205,226,45,27,0,0,0,0,89,,308,90,52,878,1,189,342,260,763,137,,4993,4023,4237,7866,15671,16105,29005,14920,18321,5972
291714,Maleic anhydride,109,47,40,73,52,0,0,0,13,89,,44,68,82,47,271,362,96,282,106,303,,13485,18583,16317,13057,14778,11726,15868,9007,8039,27142
550931,Single yarn containing >= 85% acrylic or modacrylic staple fibres by weight (excluding sewing ...,849,125,719,201,105,102,60,135,156,89,,6465,5512,5365,5883,5832,4362,3202,3626,2524,2978,,9640,10511,12674,11246,6977,6338,5797,5456,2524,2012
280610,"Hydrogen chloride """"hydrochloric acid""""""""",3016,179,2360,2295,136,124,186,300,61,89,,8885,8408,9455,9659,9575,10546,9504,12756,8185,11824,,40771,42775,54007,39197,20925,31633,52144,40959,22816,35000
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",3,3,2,0,9,35,67,93,178,89,,60,71,1,27,1,34,205,101,231,244,,7671,6519,7316,10606,10409,8528,8984,9333,13806,12178
920190,Harpsichords and other keyboard stringed instruments (excluding pianos),3,0,7,5,8,8,20,63,3,89,,302,791,269,333,295,193,215,363,336,374,,495,864,984,1014,750,757,668,794,750,819
401035,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 60 cm but <= ...",37,30,28,7,4,1,53,147,93,88,,60,26,268,170,71,197,764,1284,970,1082,,15046,13796,13565,13637,14827,14487,16982,17515,14735,19974
