Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",249074,246107,257258,260900,238450,281389,296784,264586,268958,312668
842911,"Self-propelled bulldozers and angledozers, track laying",706292,132257,89033,107405,79225,157690,251976,307852,232694,311521
940350,Wooden furniture for bedrooms (excluding seats),273486,279003,290252,262681,268145,266025,301467,280386,312562,310393
890610,Warships of all kinds,729643,0,773614,84046,2,16,1805,92,17,308782
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",146737,165258,185488,191138,183596,206940,238193,226773,212139,306790
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",189765,195120,206521,214753,208384,238728,257536,256739,279916,306258
870195,"Tractors, of an engine power > 130 kW (excl. those of heading 8709, pedestrian-controlled tractors, ...",0,0,0,0,0,257451,254231,222144,244841,305169
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,348996,384655,342766,300219,290062,303054,295215,276456,275232,304366
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",129833,127179,165789,212373,211413,229425,236119,283825,260719,301952
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",349950,246845,261246,216087,188372,235223,269604,301012,298007,301452
761699,"Articles of aluminium, n.e.s.",197820,197728,202345,193157,195690,210251,238111,223514,230804,301393
841191,"Parts of turbojets or turbopropellers, n.e.s.",494096,195883,206957,221895,192694,176596,213027,232756,241449,298914
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",62116,46834,65466,67951,149139,191173,211011,169901,166454,296176
220830,Whiskies,301626,321323,280190,263255,278204,292636,310844,341401,296169,294301
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),215603,233869,252440,422374,477852,237255,245937,233808,219914,294024
