Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",233428,268366,326361,373028,409914,492649,554623,555469,607182,920050
721061,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",221558,344819,331719,174894,200719,324608,508578,287982,372206,916197
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",495843,589240,619227,603436,658759,665475,727989,764007,604495,911005
392321,"Sacks and bags, incl. cones, of polymers of ethylene",396946,449274,515122,516201,541101,637727,756788,792276,762485,904378
252329,"Portland cement (excluding white, whether or not artificially coloured)",119387,263205,286647,224341,226692,190482,378412,482287,580238,894217
851829,"Loudspeakers, without enclosure",256128,284373,458970,482990,558091,685614,778495,801412,857683,887477
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",41746,68072,55619,13984,35979,40344,27967,39467,100485,885725
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",196260,187772,129197,62507,77375,143262,230957,389835,537846,881747
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",400673,539016,705758,803556,893999,1006157,1190022,1178020,1035429,880378
902140,Hearing aids (excluding parts and accessories),45571,46707,49538,53764,55295,74438,95608,169961,155996,860999
950450,Video game consoles and machines (excluding operated by any means of payment),0,0,0,5,119,3599,168,316465,954748,848716
851822,"Multiple loudspeakers, mounted in the same enclosure",10918,6099,6337,9661,36093,90730,70840,113119,183245,844700
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",3506,549,191,577,516323,3053276,3024161,1445286,2726,836763
850720,Lead acid accumulators (excluding spent and starter batteries),312087,348723,433029,399594,413398,491690,621269,693858,747407,821922
