Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),310782,285843,243964,207569,206237,274411,373629,462001,551967,668321
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,399439,455096,482369,508232,440110,538469,508777,556516,680033,660384
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",1021983,1046193,934111,732187,708167,681141,724113,704165,553718,637464
841122,Turbopropellers of a power > 1.100 kW,145936,180879,201265,125563,187784,1047158,343093,1256040,938912,627157
240220,"Cigarettes, containing tobacco",759410,800408,919222,1163746,1147763,1046181,1055353,1061119,607482,619477
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",193209,142450,141092,192765,190442,319378,453598,418389,481202,616954
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",62156,22663,41071,830,2785,535,1182,140314,446360,616243
900130,Contact lenses,438896,591776,527599,526355,589547,593365,580110,726015,737888,605398
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",24393,130128,708225,821023,2084293,936201,1076208,658525,1061378,588188
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",38379,149224,250592,364303,518063,542036,649873,791128,727977,585714
910121,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",474154,461087,399928,318661,311662,272693,349194,384444,385633,567242
852610,Radar apparatus,70871,102334,127788,202972,303283,403738,380544,403987,309205,550805
850450,Inductors (excluding inductors for discharge lamps or tubes),325281,368186,339778,263901,215578,251460,345436,341506,368150,547607
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",794300,796874,1025334,1009971,954179,1084478,1163082,1152438,683868,527617
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",733032,548322,584865,520248,472364,539467,561239,481623,377850,526726
760110,"Aluminium, not alloyed, unwrought",345548,248629,404452,223955,271229,168725,204430,161417,114319,521439
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,85186,58703,72427,93004,141144,182149,324252,242719,341886,510907
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",579211,667658,660338,559988,498371,478746,500900,500150,424304,510761
290270,Cumene,0,0,625789,330358,188773,378879,407797,329436,304661,509037
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",388659,346569,429013,252464,234341,303031,307679,305240,224287,496962
902720,Chromatographs and electrophoresis instruments,239045,230211,228740,249255,301119,347328,406423,453422,397632,494386
