Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,34257,47105,57071,55354,63982,78431,81731,85757,71137,72691
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",31974,33577,38052,38970,43665,52095,68539,65935,66383,72604
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",650,1310,1042,1628,1977,2268,2206,2337,1867,72502
845180,"Machinery for dressing, finishing, coating or impregnating textile yarns, fabrics or other ...",26365,23886,50640,77463,79360,101950,104234,111737,67676,71994
843999,"Parts of machinery for making or finishing paper or paperboard, n.e.s.",23976,11352,5190,13861,8998,14067,14112,10933,13864,71794
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",15260,18176,17797,17712,20246,25754,29225,31534,28264,71781
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",6489,9578,10077,13545,21370,26378,32720,48349,36585,71567
520939,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, dyed (excluding ...",127041,164728,244642,205952,171097,162170,211738,201261,133586,71210
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",2072,3645,4047,4686,5505,7520,9228,10153,12337,71165
610432,"Women's or girls' jackets and blazers of cotton, knitted or crocheted (excluding wind-jackets ...",61,135,541,246,272,277,509,525,344,71011
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",37552,37354,33825,34343,33753,37718,45544,50355,55111,70493
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",72266,71081,46212,17821,28944,51203,52809,40812,50503,70327
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",45868,66431,69473,65769,63759,69607,80888,70460,67955,70135
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",52289,63852,65802,212139,90122,69618,85782,65471,89177,69995
851410,Resistance heated industrial or laboratory furnaces and ovens (excluding drying ovens),24102,18588,9369,21440,13689,23384,67328,36847,31098,69941
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",29633,27106,23806,25968,32343,39923,53553,55235,53274,69668
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",16724,16375,23989,26552,34899,37870,43219,55462,49907,69612
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,11175,11260,13460,14806,11254,15229,21044,17343,15995,69576
