Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",1449368,1152005,1447950,1141604,1036176,1245721,1430761,1143085,985913,1966328
854160,Mounted piezoelectric crystals,1423340,1291407,1412354,1641288,2055093,1825089,1725086,1588377,1689049,1932560
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",1137186,1232404,1242827,1030303,1074594,1498559,1569491,1368201,1026805,1921634
842951,Self-propelled front-end shovel loaders,1214684,1151026,1273866,1031418,1307373,1393017,1533813,1448294,1443112,1909591
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,1629635,1882674,1967193,1559544,1897973
848640,Machines and apparatus specified in Note?9 C to chapter 84,1154300,880532,941290,889524,1102677,1400828,1494680,1425698,1482298,1889755
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",3315846,2931950,2731860,2326533,2091920,1920482,1972977,1890080,1499539,1876580
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",2394879,1800837,1664899,1478428,1134363,937630,1598357,1511982,1235856,1871661
903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",2665907,2543335,2335328,2122118,2291074,2248606,2439873,2405399,1865454,1835443
841430,Compressors for refrigerating equipment,1788703,1583292,1408478,1183748,1268087,1274628,1395504,1311744,1266744,1803557
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),1881928,1733711,1706274,1501360,1524229,1717858,1767450,1566577,1443922,1803101
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",2122377,1806264,1580917,1343001,1477026,1618298,1707286,1668870,1500359,1792014
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,1211158,871629,923983,996663,927046,1328902,1359412,1308664,1471363,1763480
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",2291970,1596532,1556977,1209474,1306332,1818446,2090725,1733903,1258041,1743400
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,701590,512970,694970,599068,641788,1043991,1498329,1126235,1440515,1728008
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,469768,457471,456332,441980,592313,668790,855127,1072940,1206440,1667727
848120,Valves for oleohydraulic or pneumatic transmission,1195586,1000749,1008659,772742,900738,1211678,1416645,1253438,1388817,1667659
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",1371225,1309590,1395164,965605,985280,940690,1003959,987625,1239569,1651732
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,575071,643971,682523,1665821,1641918
710610,"Powder of silver, incl. silver plated with gold or platinum",1031166,1024680,935067,795854,1168299,1137753,843826,914987,1285718,1631220
847990,"Parts of machines and mechanical appliances, n.e.s.",1756674,1284145,1332438,1307005,1326474,1499871,1607811,1388143,1451393,1630782
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",1863733,2331113,2789698,3128602,2818878,3469433,2388034,1524461,1467540,1619690
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",1921294,1279150,1186511,961815,964088,1065141,1050982,1054340,1334483,1619299
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",877350,1400513,1943895,1483907,1071297,1699836,1633144,1527156,872097,1610589
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",3911542,4290059,5135990,5050134,4756115,4172000,3875794,4428643,2961241,1592560
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1597037,1829482,1696221,1418917,1289101,1505310,1494247,1255092,1497660,1580959
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",1906997,1737528,1596214,1388781,1492724,1571814,1632706,1513264,1302542,1577118
290243,P-Xylene,4411749,4802057,2959557,2281518,2260060,2615482,3292385,3115071,1360557,1577062
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",1908268,1768968,1744892,1500562,1596589,1785867,1765344,1599953,1398596,1547836
850450,Inductors (excluding inductors for discharge lamps or tubes),880772,871717,998639,1038191,1081067,1109622,1041731,1050110,1242910,1492318
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",1942122,1592109,1458902,1219660,1159769,1330908,1282437,1323489,1366756,1488327
841199,"Parts of gas turbines, n.e.s.",1671296,1479186,1126880,1217212,1337906,1166024,1384250,1266756,1406211,1487130
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",2189262,1810572,1764678,1646656,1633985,1755841,1883089,1763290,1461943,1483485
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",508279,493031,593425,561735,625905,853118,957574,1201807,1405589,1460695
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",598001,430873,433931,388800,385709,430269,526374,646933,960902,1457851
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",1230358,1229205,1169294,1157825,1148026,1167403,1276358,1300457,1362315,1457168
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",1019586,960104,931655,911030,1045179,1095231,1207066,1232647,1237683,1390820
722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...""",863855,896359,866766,709220,719746,930220,1050586,995382,778347,1348017
848610,Machines and apparatus for the manufacture of boules or wafers,915012,571242,648288,546658,774842,792380,898338,947973,917117,1340414
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",1378136,1254760,1363998,1139419,1222540,1362544,1641240,1142389,964896,1323932
870210,"Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition ...""",2241506,2018568,1981699,1823694,1846985,1749013,1800405,2090392,1452758,1301704
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",1334105,1079156,1329377,1115588,1175851,1357817,1411780,1194129,1109108,1299094
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",1934838,1714100,1467536,1092747,1149036,1117428,1148206,1043796,1170681,1280401
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",2039157,1712779,1751569,1528625,1330606,1489161,1711430,1675040,1021468,1251784
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",2057692,1937663,1847033,1091705,944008,1122565,1087394,946217,924378,1213307
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",1118375,993488,994584,926994,1012453,1099375,1170819,1003165,985966,1199299
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",1055391,828356,791873,714852,794327,994587,1044290,1027416,1087277,1193137
210690,"Food preparations, n.e.s.",358200,330414,340994,415253,482199,518955,738042,829158,1202292,1192338
847710,Injection-moulding machines for working rubber or plastics,1471617,1198160,1106453,1055935,995196,1143643,1256376,1084603,929768,1189764
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",1913724,1746010,1570909,1370836,1301618,1322710,1350612,1069275,811851,1185481
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",472526,441388,476903,404826,440350,529001,572341,610339,747811,1166709
290321,"Vinyl chloride """"chloroethylene""""""""",353812,590508,583168,523763,507297,619680,595756,578445,579740,1163216
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",579608,510827,553367,500737,534459,713998,772174,757096,820461,1152444
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",917045,873654,870464,788880,866763,993941,1103469,1122376,1003965,1145074
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",1330227,1524574,1377647,1434131,1212913,1046845,971913,934327,776466,1123495
