Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
850680,"Primary cells and primary batteries, electric (excluding spent, and those of silver oxide, ...",4977,2950,3696,3046,2047,2165,2159,5242,5006,3099
330420,Eye make-up preparations,1382,1552,2605,2244,2895,2622,4827,3413,1859,3097
282710,Ammonium chloride,6952,1893,735,732,1067,2015,3729,3503,1518,3094
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",1804,1893,1608,1349,1208,1663,2054,1917,1804,3093
846019,"Flat-surface grinding machines, for working metal, in which the positioning in any one axis ...",1339,1410,1132,900,846,633,1636,2194,2239,3087
293392,"Azinphos-methyl """"ISO""""""""",0,0,0,0,0,177,144,217,419,3083
540730,"Woven fabrics of synthetic filament yarn, incl. monofilament of >= 67 decitex and with a cross ...",3522,7844,9018,4200,1085,664,2086,2101,3653,3077
900410,Sunglasses,817,581,1051,1195,1293,1116,4883,4056,9187,3069
701919,"Glass fibre cakes """"textile cakes"""" and chopped glass fibre strands of a length >50mm""""",2578,1068,1484,1252,1632,1596,2383,2583,1766,3068
842699,"Ships' derricks; cranes, incl. cable cranes (excluding overhead travelling cranes, transporter ...",25572,9685,9238,13460,57386,10488,7752,3127,7311,3051
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",1153,4386,2013,2209,1895,5458,6883,3229,3264,3047
845221,"Automatic sewing machines, industrial type",6148,6348,5892,3657,15463,1870,2794,4017,3079,3042
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",3455,3543,4336,3810,3715,3567,2337,2418,2352,3032
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",22568,24522,25240,39798,32746,67104,7429,3519,16210,3021
